learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.8167,5.587111434174908E-8,5000.0,75.68,46.17025251286646,24.891908585546638,-15.26066350710901,82.27921888662196,61.24920331421288,71.55893536121673,91.09004739336493,63.76695514813721,5000.0,264440.0,10.0,0.6107470751768848,0.38925292482311524,7856.4,81.09007337522877,20303.2,2989.5401653097083,10.600000000000001,2.065591117977289,5.800000000000001,1.0327955589886444,5.800000000000001,1.0327955589886444,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.557767,1.5117779156193136E-7,10000.0,78.22,51.083298315293526,33.79939209726443,-3.5663338088444836,84.26527958387516,64.6313738226697,73.85082942889704,94.6267237280076,64.89945168429865,10000.0,497128.0,10.0,0.9108334280085435,0.08916657199145639,15780.900000000001,80.97386409618046,42716.8,5559.635095939301,23.2,4.049691346263317,12.1,2.0248456731316584,12.1,2.0248456731316584,7.8,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.273394,2.837139208614826E-7,15000.0,81.02000000000001,55.93605016139757,41.992665036674836,8.749999999999998,86.54473273784205,67.79776043434,77.07070707070707,96.0576923076923,65.7891327231176,15000.0,715896.0,10.0,0.9376079249745424,0.062392075025457495,23732.600000000002,106.89579557265608,63753.6,5858.505596329343,35.599999999999994,4.0055517028799486,18.299999999999997,2.0027758514399743,18.299999999999997,2.0027758514399743,9.5,1.269295517643985,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.895488,4.3589386882467405E-7,20000.0,82.23,57.823961344438246,44.916305021698705,12.806673209028466,87.56473058082575,68.87915936952714,78.57950263752826,96.49165848871442,66.1572295985561,20000.0,945592.0,10.0,0.8412064149573341,0.15879358504266602,31610.1,113.59328031769026,85944.79999999999,7324.334308772824,46.99999999999999,4.714045207910318,23.999999999999996,2.357022603955159,23.999999999999996,2.357022603955159,10.5,1.178511301977579,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.466741,5.971422841544781E-7,25000.0,82.97200000000001,59.21458883177905,47.13114754098361,16.18428824571767,88.14040952778937,69.8192130450195,79.40866422368354,96.94821815317975,66.39971430225873,25000.0,1091112.0,10.0,0.8007175392096142,0.19928246079038586,39470.200000000004,79.69776241108232,100076.8,8157.795083367946,53.199999999999996,5.692099788303083,27.099999999999998,2.8460498941515415,27.099999999999998,2.8460498941515415,11.4,1.1737877907772671,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.971007,7.586985738554763E-7,30000.0,83.50333333333333,60.22805347184046,48.61385110580415,18.708935611038076,88.54795788499364,70.51534107834375,80.01421880227501,97.20762155059133,66.56234677970465,30000.0,1238416.0,10.0,0.6070257146783447,0.39297428532165535,47339.09999999999,128.77754290075615,114329.6,6882.316715887014,60.2,3.9101008796307153,30.6,1.9550504398153576,30.6,1.9550504398153576,12.0,1.3333333333333335,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.489547,9.472390339833996E-7,35000.0,84.00285714285715,61.21069119771189,49.82974910394266,21.08527131782948,88.92624750301617,71.19707803899377,80.56262318580899,97.53347427766033,66.72632491443488,35000.0,1405480.0,10.0,0.7622121133920597,0.2377878866079402,55254.5,136.59123934816225,130362.4,6016.989339454665,70.2,4.6380072349136245,35.6,2.3190036174568123,35.6,2.3190036174568123,12.6,1.349897115421106,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.010811,1.152578832678911E-6,40000.0,84.3075,61.78709455396575,50.72998430141288,22.333580796832457,89.16170249503583,71.57799411365181,80.89165987843849,97.7975748577085,66.83734635967883,40000.0,1522712.0,10.0,0.8815453757352717,0.1184546242647282,63124.8,171.64226363767935,141783.20000000004,7447.31439737395,74.60000000000001,5.316640543300502,37.800000000000004,2.658320271650251,37.800000000000004,2.658320271650251,13.4,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.54321,1.3777959987293515E-6,45000.0,84.62444444444445,62.38203450397047,51.79740838790582,23.715545755237073,89.40607248396137,71.9753736481834,81.25800166991372,97.96030871003308,66.93622158068581,45000.0,1635184.0,10.0,0.7793388551282743,0.2206611448717257,71060.9,164.8106320734327,152700.8,8815.91869291,79.4,6.2396581102920505,40.2,3.1198290551460253,40.2,3.1198290551460253,13.700000000000001,1.3374935098492586,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.170088,1.6658127521371676E-6,50000.0,85.54,64.33864613519708,54.92518703241897,27.19033232628401,90.08366479220958,73.31118493909192,81.95657599201398,100.0,67.44564033205074,50000.0,1775976.0,10.0,0.869014051019386,0.13098594898061403,78990.2,221.20317458039594,166221.6,6024.691180651687,87.60000000000001,3.657564459825388,44.300000000000004,1.828782229912694,44.300000000000004,1.828782229912694,14.6,1.6465452046971292,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,6.812544,1.987099375019057E-6,55000.0,85.99,65.36630876046982,56.57160570365778,30.124688279301747,90.39687435739255,74.10829791166142,82.4765478424015,100.0,67.5419402746178,55000.0,1933088.0,10.0,0.7046754213856796,0.2953245786143203,86899.2,198.47350788791294,181447.20000000004,7586.833460380923,94.2,5.513619500836087,47.6,2.7568097504180433,47.6,2.7568097504180433,15.4,1.3498971154211057,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,7.441279,2.317941909626954E-6,60000.0,90.74,75.8447654198044,72.40762812872467,55.437921077959565,93.79273361040354,81.77882723337268,88.31103256753346,100.0,68.61323352086197,60000.0,2034024.0,10.0,0.6882602486783113,0.3117397513216888,94856.19999999998,226.0023598696888,191047.2,8766.811314396029,101.4,6.5861808187885185,51.2,3.2930904093942592,51.2,3.2930904093942592,15.9,1.5238839267549944,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,8.058007,2.653591280426416E-6,65000.0,91.97,78.23297279040277,74.92192379762648,59.990034877927236,94.71119014687478,83.32987336516504,89.95370949580884,100.0,68.91184758367186,65000.0,2103752.0,10.0,0.9432008584577773,0.056799141542222605,102769.80000000002,219.40312972546712,197626.4,11055.33302377937,111.2,9.016035098028894,56.1,4.508017549014447,56.1,4.508017549014447,15.899999999999997,2.558211180579985,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,8.685308,3.0150505325756964E-6,70000.0,93.11333333333334,81.08778149851656,78.6746490503716,66.01973684210527,95.48652073229344,85.4772950934908,91.3628762541806,100.0,69.16698566769058,70000.0,2227336.0,10.0,0.6688952515690284,0.33110474843097154,110689.6,198.7036878257552,209567.2,12138.060002414808,117.2,10.261037417770627,59.1,5.1305187088853135,59.1,5.1305187088853135,15.899999999999997,2.558211180579985,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,9.306938,3.3950062896125013E-6,75000.0,93.905,83.08442647394108,81.26344912388566,70.04914004914008,96.02167031102118,86.97510417779677,92.34777150031387,100.0,69.3447495309331,75000.0,2362672.0,10.0,0.8819007129039538,0.11809928709604625,118601.5,184.69629726180878,222506.4,15552.583459562806,126.10000000000001,12.296792716440784,63.3,6.290204024248074,63.3,6.290204024248074,16.099999999999998,2.4698178070456933,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,9.933743,3.7981921290978785E-6,80000.0,94.556,84.67462736260717,83.14342333415901,73.09745008895037,96.46686223099088,88.14356651276243,93.1748658542701,100.0,69.49368062174253,80000.0,2486424.0,10.0,0.8039321266767284,0.1960678733232715,126521.5,197.85025201455218,234433.59999999998,17736.797175489275,132.9,13.98769300333531,66.69999999999999,6.976946164173676,66.69999999999999,6.976946164173676,16.099999999999998,2.4698178070456933,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,10.578455,4.23416786622256E-6,85000.0,95.06,85.9271946612727,84.61059190031153,75.45544882411394,96.80892295766763,89.06918424546393,93.81520741173524,100.0,69.60876514702284,85000.0,2613960.0,10.0,0.9257433156801325,0.07425668431986751,134422.90000000002,209.0892685486832,246856.8,19112.345636612303,137.5,13.656500283747661,69.0,6.863753427324667,69.0,6.863753427324667,16.200000000000003,2.485513584307634,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,11.22904,4.691899091864211E-6,90000.0,95.46571428571428,86.97861062907707,85.87575649697402,77.43174061433447,97.07998307236564,89.86007283879624,94.32565789473685,100.0,69.70036906192406,90000.0,2719624.0,10.0,0.8206385194282036,0.17936148057179635,142341.59999999998,284.5113549774697,257125.6,19286.101404321656,141.9,12.688139693780522,71.2,6.477310827461931,71.2,6.477310827461931,16.200000000000003,2.485513584307634,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,11.906406,5.18925546929861E-6,95000.0,95.775,87.82778378287782,86.82363948230157,79.04005953119186,97.28225910201982,90.51414458913337,94.70833202868147,100.0,69.76896373543924,95000.0,2838224.0,10.0,0.8201858984584681,0.17981410154153193,150265.10000000003,311.4879879973873,268499.2,20416.271053582073,149.1,14.255213471257141,74.8,7.269418439218121,74.8,7.269418439218121,16.400000000000002,2.1705094128132942,0.0,0.0,0.0,0.0,1.0,0.0
