learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.915366,1.1749737389385702E-7,5000.0,79.38,51.964972727658996,34.24744897959182,-0.6835937500000332,85.42756183745584,64.75213675213676,76.00603621730382,92.48046875,64.90117583050862,5000.0,496176.0,10.0,0.9514617000853015,0.0485382999146985
10000.0,1.634592,2.495732428133488E-7,10000.0,80.63,54.513509182494346,38.81869867340493,4.862475442043232,86.37354906788603,66.51685393258427,77.0843797086891,94.49901768172889,65.49492296934511,10000.0,709840.0,10.0,0.7277724257343723,0.2722275742656277
15000.0,2.267387,4.109191071593928E-7,15000.0,81.72666666666667,56.89750607491991,43.320926385442526,11.552113585027445,87.1585851487468,68.33044482957828,78.16149903369465,95.41787673443046,65.87476295367695,15000.0,985592.0,10.0,0.7526575088547707,0.24734249114522938
20000.0,2.939946,6.199622319286897E-7,20000.0,82.43,58.062790194989645,45.26479750778816,13.788027477919536,87.73900907187718,69.01234567901236,78.95629238884703,96.00098135426889,66.13570778012358,20000.0,1201456.0,10.0,0.9102960870030773,0.08970391299692261
25000.0,3.57916,8.567955094431009E-7,25000.0,82.896,58.857121814509775,46.60339660339662,15.427215189873422,88.11628036240343,69.49636182051647,79.48756518251103,96.34098101265823,66.30017839251438,25000.0,1432184.0,10.0,0.9034854175553877,0.09651458244461229
30000.0,4.262946,1.1443561135708457E-6,30000.0,83.11,59.35217316743279,47.45956034840314,16.578860717813615,88.26675929142064,69.86619090098127,79.65811251358355,96.7072769180112,66.40131576851371,30000.0,1625592.0,10.0,0.8116899953297224,0.1883100046702776
35000.0,4.772161,1.3829479806042378E-6,35000.0,83.43714285714286,59.95680169884287,48.222579492675955,17.90114714629653,88.5223830360148,70.26111937618631,80.01360105945095,96.9834301090497,66.52011559830994,35000.0,1811160.0,10.0,0.9668884968037094,0.03311150319629065
40000.0,5.264436,1.6366635190240208E-6,40000.0,83.6225,60.34438171385553,48.65182630506348,18.812740116495245,88.65922271271532,70.53744097144143,80.19479502677649,97.18676415912752,66.5923342408689,40000.0,1992240.0,10.0,0.9698058675257522,0.0301941324742478
45000.0,5.842474,1.9581600705078906E-6,45000.0,83.81111111111112,60.65157803610012,49.13419913419915,19.306601683650893,88.81450659460455,70.70885770576173,80.40142332925609,97.39698715108551,66.67053518615656,45000.0,2149920.0,10.0,0.8495176982330127,0.15048230176698732
50000.0,6.354042,2.267318629651434E-6,50000.0,84.42,63.065192637541614,52.091020910209096,25.66793893129769,89.06666666666668,72.90434782608696,80.28846153846155,100.0,67.13576944119683,50000.0,2336040.0,10.0,0.7156519950050119,0.28434800499498813
55000.0,6.974555,2.66812925601792E-6,55000.0,85.16,64.00378784938641,53.45043914680051,27.111984282907674,89.72583771808364,73.29013678905687,81.36614766449021,100.0,67.33612471483829,55000.0,2496840.0,10.0,0.8577548135532691,0.14224518644673095
60000.0,7.468052,3.0029534658831025E-6,60000.0,89.66,72.84986701161164,66.42857142857142,47.987927565392326,93.10206804536357,79.36127744510978,87.09435846230654,100.0,68.39121991570018,60000.0,2622616.0,10.0,0.6471413575437084,0.3528586424562914
65000.0,8.029058,3.4027985702868964E-6,65000.0,90.85,75.39885315099555,70.50290135396517,53.57686453576864,93.95760417354553,81.16121062384187,88.60381118445635,100.0,68.66655138865944,65000.0,2755032.0,10.0,0.7203392282392986,0.2796607717607014
70000.0,8.583053,3.821946740024206E-6,70000.0,91.38,76.6984717609506,72.36589014746738,56.52320107599191,94.31873105145218,82.14335036597156,89.24829536005322,100.0,68.78377267932699,70000.0,2924584.0,10.0,0.5390791485021066,0.46092085149789336
75000.0,9.154596,4.281176572460682E-6,75000.0,92.04,78.18791201485985,74.55242966751918,59.655347187024844,94.78306462183772,83.21383382539013,90.08346829450605,100.0,68.93538066452271,75000.0,3105872.0,10.0,0.7704333703153086,0.2295666296846915
80000.0,9.718356,4.755033185500652E-6,80000.0,92.73599999999999,80.0257577972314,77.07649583438526,63.69452219112354,95.24358302776322,84.63620981387479,90.91909190919093,100.0,69.08673749519349,80000.0,3249040.0,10.0,0.7595713907638657,0.2404286092361343
85000.0,10.29732,5.265475579171131E-6,85000.0,93.23666666666666,81.21727719207212,78.63535853427398,66.10424323421317,95.58903454422924,85.50817798728662,91.55076205546764,100.0,69.20093244593379,85000.0,3407984.0,10.0,0.7885363843062686,0.2114636156937314
90000.0,10.851278,5.7744163111618E-6,90000.0,93.61714285714285,82.26872391799928,79.97490139835065,68.33451452870304,95.8364395407783,86.33137542829174,92.00572553229559,100.0,69.28306530680777,90000.0,3551344.0,10.0,0.7203025532208968,0.27969744677910335
95000.0,11.388105,6.292047302712583E-6,95000.0,93.9525,83.13560427747726,81.0897435897436,70.08409596834038,96.06083798791708,86.98832768543919,92.42025443379082,100.0,69.35781398548235,95000.0,3727248.0,10.0,0.7785306749790342,0.22146932502096592
100000.0,11.910134,6.8159434175056716E-6,100000.0,94.2488888888889,83.84073427703446,82.0127884348068,71.42857142857144,96.26529669822212,87.50000000000001,92.79951032218574,100.0,69.42613166563902,100000.0,3879296.0,10.0,0.7863198085620725,0.21368019143792744
