learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.283031,1.8985795219532317E-7,5000.0,83.91999999999999,60.96513604038495,61.34615384615384,46.79020516214426,88.67924528301886,72.2567287784679,90.25508741759816,69.29185969556585,63.15594728787701,5000.0,2592968.0
10000.0,0.787947,8.668964880187479E-7,10000.0,84.05,62.126227418920685,61.220520301483106,46.09665427509295,88.58512846203392,73.53575576572092,87.89944610140606,74.8901655964853,63.79451616281202,10000.0,5183184.0
15000.0,1.223296,1.7414997483231127E-6,15000.0,84.32,63.502482979463615,61.99095022624434,46.557600545330594,88.61237532681322,74.83415364861973,86.33833380507595,79.45921381504203,64.38119826861683,15000.0,7765616.0
20000.0,1.81825,3.331599568594247E-6,20000.0,84.295,63.91584720639384,62.09268645908761,46.699473952146604,88.47804555959064,75.34343355051418,85.48947331112214,81.43560156117428,64.59974358933177,20000.0,1.0331024E7
25000.0,2.462632,5.485794582869857E-6,25000.0,84.768,65.49881933843072,63.51092372556535,48.94758010457165,88.68955684923368,76.68381092334067,85.11487372441708,83.95227242257675,65.01291143822776,25000.0,1.2922424E7
30000.0,3.269092,8.70979981959487E-6,30000.0,85.30333333333333,66.80062377780138,64.76182864450128,50.59943977591035,89.06525135785323,77.59540627064384,85.20047449584817,85.54621848739495,65.33503902639897,30000.0,1.5453088E7
35000.0,4.194398,1.3045028482387877E-5,35000.0,85.83428571428571,67.91910578736338,65.93376391370072,52.22125855256819,89.48417748366845,78.30386837038333,85.67193274580677,86.21952394719091,65.5536911037429,35000.0,1.811044E7
40000.0,5.32567,1.90863801086218E-5,40000.0,86.215,68.79903655227383,66.93451667066442,53.64828513786145,89.76006536918733,78.9155705108596,85.99131796185596,86.74344317417619,65.7142985080173,40000.0,2.064284E7
45000.0,6.478566,2.5998721743319184E-5,45000.0,86.60444444444444,69.72084893148852,67.91227509847758,55.158818716060374,90.03570483998942,79.56887201735357,86.30097918053046,87.31681916238935,65.88205338764871,45000.0,2.3175944E7
50000.0,7.623723,3.3669241112700354E-5,50000.0,91.02,80.16577699795562,78.45489443378119,70.04669779853235,93.18768016992868,86.8289821061895,87.71779491573835,98.73248832555038,68.27339951278402,50000.0,2.5891792E7
55000.0,9.091207,4.4457674914497057E-5,55000.0,91.32000000000001,80.81275320589494,79.41176470588236,71.07630789736756,93.41925701288855,87.25403817914831,88.02686098014001,99.00033322225926,68.37894306773089,55000.0,2.84176E7
60000.0,10.650787,5.6942269405497034E-5,60000.0,93.42,85.14875440933031,84.15984593163218,77.90463398253861,95.10052122114669,89.9847792998478,90.94275135289092,99.26124916051042,68.95723321621186,60000.0,3.094348E7
65000.0,12.289407,7.112973125194303E-5,65000.0,94.11,86.47102870714487,85.60606060606062,79.68965517241381,95.6815015763619,90.74044961484043,91.90140845070422,99.51724137931033,69.17706444877784,65000.0,3.3467928E7
70000.0,13.986357,8.697181322247825E-5,70000.0,94.47333333333333,87.42482197552557,86.68914579319204,81.41672270791301,95.91202722027712,91.47207077461167,92.27630705000475,99.66375252185608,69.27121688909847,70000.0,3.6086568E7
75000.0,15.930677,1.0648913804363253E-4,75000.0,94.55,87.60509867109032,86.95704200071796,81.72673931265717,95.96654825340438,91.59987669543771,92.39045244032775,99.6311818943839,69.28593550185919,75000.0,3.8802072E7
80000.0,17.874623,1.2727571401573512E-4,80000.0,94.612,87.7446422341719,87.08904437841464,81.95579370395177,96.01255143423818,91.69492570442074,92.48360422013117,99.6115204286671,69.2991927530181,80000.0,4.13334E7
85000.0,19.995857,1.5134399609099868E-4,85000.0,94.76333333333334,88.06604981843076,87.52184273232724,82.43711570709894,96.13082777134694,91.900809403516,92.69057231061507,99.64225824482952,69.34205624212564,85000.0,4.3859016E7
90000.0,22.132259,1.7698454808875714E-4,90000.0,94.90857142857143,88.37473198696688,87.87260106165783,82.90483499616272,96.24415124562661,92.09896249002394,92.90364583333334,99.63545663852648,69.37923004614922,90000.0,4.6392392E7
95000.0,24.425304,2.0600514794855485E-4,95000.0,95.00999999999999,88.59608241779209,88.12046184977977,83.25081815893259,96.32155099332867,92.2449296759655,93.05629740412348,99.613996811278,69.40286273191501,95000.0,4.8921096E7
100000.0,26.60298,2.349924057374067E-4,100000.0,95.03111111111112,88.61790096718657,88.12974465148378,83.26597814698398,96.34449385299503,92.24472807991121,93.13483785321449,99.5210297859602,69.40026434372831,100000.0,5.1453656E7
