learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.040872,1.1721834748983383E-7,5000.0,79.32000000000001,57.238687854662494,49.92736077481841,30.88235294117648,83.34407216494844,72.73206751054852,73.82990867579909,92.17914438502673,64.4222502441559,5000.0,435312.0,10.0,0.43901371060075484,0.5609862893992452
10000.0,1.764104,2.432777749498685E-7,10000.0,82.02000000000001,62.44383285124416,56.695568400770725,39.66442953020136,85.66873904033157,75.87872283337805,76.55270655270655,94.8993288590604,65.46984714579816,10000.0,673752.0,10.0,0.7933964663843108,0.2066035336156892
15000.0,2.466287,4.132692993059754E-7,15000.0,83.74000000000001,65.62895710899706,60.79408455232278,44.718948322756134,87.20960721590015,77.68731131643948,78.53230071779372,96.23753399818676,66.10027131487065,15000.0,935792.0,10.0,0.683292525539703,0.316707474460297
20000.0,3.185757,6.274766274583009E-7,20000.0,85.28999999999999,68.67228501158593,64.6776323688318,50.33760972316003,88.49432929213921,79.61191961191962,80.37794828076159,96.96151249155976,66.58443150848427,20000.0,1150864.0,10.0,0.7218278527259048,0.27817214727409517
25000.0,3.932784,8.92615158226755E-7,25000.0,86.248,70.68219033147962,67.11306676870097,54.23322683706071,89.2313474910731,80.97820073033087,81.45013723696249,97.4174653887114,66.87069661400162,25000.0,1371952.0,10.0,0.6462968086535412,0.3537031913464589
30000.0,4.631378,1.1739460108967291E-6,30000.0,87.03333333333333,72.2169317207885,68.99410170572293,56.81616341030195,89.8940039488725,81.9137065278036,82.4171112804878,97.79085257548846,67.12077991501147,30000.0,1556664.0,10.0,0.8354113593919249,0.16458864060807507
35000.0,5.261325,1.458243884185536E-6,35000.0,87.52,73.14081609184727,69.93805918788712,58.26884494124391,90.31743216882425,82.44937319189971,83.03917172787673,98.02235597592434,67.27955255941455,35000.0,1744504.0,10.0,0.7200601243007895,0.2799398756992106
40000.0,5.77942,1.7153914490487013E-6,40000.0,87.85,73.82283814474728,70.76515880654473,59.435773307737236,90.58066516784247,82.88973384030419,83.4005496270388,98.25557132125866,67.38993265842782,40000.0,1918560.0,10.0,0.623308316632558,0.37669168336744213
45000.0,6.357924,2.0263573391383723E-6,45000.0,88.19555555555556,74.5208669495021,71.67839624653445,60.646021632834504,90.86186134526062,83.33228741763415,83.83277252237953,98.37753741295006,67.49264958781245,45000.0,2077824.0,10.0,0.7090044155908655,0.2909955844091346
50000.0,7.052767,2.432754879527622E-6,50000.0,88.44800000000001,74.99437265153934,72.27209447458117,61.35162261625964,91.08394307060604,83.59929581464024,84.16203109399515,98.50117096018735,67.57647557659813,50000.0,2260824.0,10.0,0.7432865619029039,0.2567134380970961
55000.0,7.868229,2.917491713745727E-6,55000.0,88.34,75.16436673650747,72.38275698720985,61.82056319580877,90.840534171249,83.9614855570839,83.2421537575583,99.93451211525868,67.67138720922178,55000.0,2297760.0,10.0,0.7828105389589589,0.21718946104104114
60000.0,8.633359,3.4030694147158003E-6,60000.0,88.91,76.27309094659029,73.78870243441267,63.69885433715221,91.32441523898929,84.63350422613274,84.04607631389489,99.96726677577742,67.82575895072466,60000.0,2453160.0,10.0,0.739601510229008,0.26039848977099195
65000.0,9.330277,3.875476502784425E-6,65000.0,89.14666666666666,76.68314155806073,74.13820492454329,64.25905598243686,91.54900332225914,84.83606557377048,84.42316898037339,99.97804610318332,67.89720448655392,65000.0,2620216.0,10.0,0.8235985831711999,0.17640141682880006
70000.0,10.072708,4.413975189870431E-6,70000.0,89.51,77.38616854209309,75.0979228486647,65.41948244601944,91.85875048506014,85.25650035137035,84.94940070336611,99.98351738915444,67.99502152593978,70000.0,2803696.0,10.0,0.635785929065008,0.3642140709349922
75000.0,10.737801,4.929121557447232E-6,75000.0,89.828,78.01561845158497,75.86141433317512,66.49097377783633,92.12327706365186,85.64493367202934,85.41152145195566,99.96046910001317,68.07569143093019,75000.0,2993992.0,10.0,0.5813771638658791,0.4186228361341209
80000.0,11.538462,5.5837252682613005E-6,80000.0,90.13666666666667,78.61729964084579,76.64377614649932,67.47279322853687,92.38450649852014,86.00614802553795,85.86327321437113,99.95602946026162,68.15777700941999,80000.0,3160328.0,10.0,0.7687689907586367,0.2312310092413634
85000.0,12.267148,6.2125230175546475E-6,85000.0,90.44857142857143,79.2772495481199,77.44721041624504,68.65741608850554,92.62633169376008,86.44528240684426,86.28667707734034,99.94374648415526,68.2331340994783,85000.0,3335592.0,10.0,0.4610807057602899,0.5389192942397099
90000.0,12.987048,6.855938797878723E-6,90000.0,90.595,79.5418612455724,77.71194976005688,69.0319394138953,92.75925783355146,86.58536585365853,86.51802384029872,99.94237734606519,68.27525195602794,90000.0,3454792.0,10.0,0.7309286399987527,0.2690713600012474
95000.0,13.918152,7.729163225578766E-6,95000.0,90.74,79.8513742204121,78.07188338683365,69.57950065703021,92.87095173735264,86.79197438904562,86.71011436968884,99.94889764929187,68.31160443493124,95000.0,3625184.0,10.0,0.5941864427686179,0.4058135572313822
100000.0,14.695516,8.486027713057897E-6,100000.0,90.848,80.06445065516579,78.38144281192422,69.92639327024183,92.96129945240878,86.92123013604665,86.87327506899723,99.93427970557308,68.33878012786194,100000.0,3763536.0,10.0,0.6694090244393127,0.33059097556068723
