learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.442803,1.4554703496396542E-8,5000.0,75.32,48.76850955554482,40.98517455762793,17.897538256819683,80.17989078059749,67.30259671436143,71.37546468401487,84.49767132401863,62.424581698244786,5000.0,127056.0,10.0,0.5909914794633034,0.4090085205366965,2846.9,48.52593808126399,7053.599999999999,1226.922002410911,4.599999999999999,0.8432740427115677,2.7999999999999994,0.42163702135578385,2.7999999999999994,0.42163702135578385,1.7999999999999998,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.877553,3.701004095375538E-8,10000.0,74.63,49.1287889026408,38.8527355989395,16.710439921208124,78.83540502210728,68.33894920753775,67.946505608283,89.88837820091923,62.81617701858381,10000.0,199656.0,10.0,0.48319920043941117,0.5168007995605888,5776.4,38.644246373526045,14083.999999999998,2030.7651541010616,8.0,1.0540925533894596,4.5,0.5270462766947298,4.5,0.5270462766947298,3.2000000000000006,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.392719,7.737388094266255E-8,15000.0,75.9,51.78211866658463,41.862335155998714,20.022123893805315,79.90215155390004,69.90760009989178,68.56870229007633,92.89823008849557,63.5348196618539,15000.0,302864.0,10.0,0.7289885236317099,0.2710114763682903,8614.1,63.96257586363394,24102.4,3525.0263103825037,12.4,2.3190036174568114,6.7,1.1595018087284057,6.7,1.1595018087284057,4.6000000000000005,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.834058,1.240110551007092E-7,20000.0,77.13499999999999,54.1572479175431,45.11521843494958,24.20023205701971,80.96882933122475,71.36685242001127,69.6498890241283,94.46378252942151,64.0534291731422,20000.0,408472.0,10.0,0.7259018938478708,0.27409810615212926,11492.7,61.2935559418765,34258.4,3124.293456127321,18.400000000000002,2.6749870196985173,9.700000000000001,1.3374935098492586,9.700000000000001,1.3374935098492586,6.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.251856,1.7952073289081454E-7,25000.0,78.56400000000001,56.82843047591153,48.89376311272173,29.43112983934686,82.211969329837,73.03376440396518,71.14788004136504,95.56228601527522,64.55814550787535,25000.0,513576.0,10.0,0.7079281916684922,0.29207180833150787,14439.3,80.57853312142166,44386.399999999994,3515.1422035404353,24.0,3.018461712712472,12.5,1.509230856356236,12.5,1.509230856356236,7.200000000000001,0.42163702135578424,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.670235,2.466333267651498E-7,30000.0,79.75333333333333,58.99935659455703,51.88529784537388,33.53758616916511,83.2837956847204,74.33231913455037,72.53247687071568,96.2359120253857,64.9554441321321,30000.0,620064.0,10.0,0.8120164134981557,0.1879835865018443,17351.9,88.51798310701237,54720.799999999996,4489.83119702487,28.599999999999998,2.6331223544175333,14.799999999999999,1.3165611772087666,14.799999999999999,1.3165611772087666,8.2,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.051895,3.1660061392312246E-7,35000.0,80.87142857142857,61.013921998748145,54.591698317959846,37.236336364488615,84.31018724660777,75.50221376559698,73.92430033288127,96.71885253585826,65.31522656868373,35000.0,708632.0,10.0,0.6351074196509997,0.3648925803490004,20252.399999999998,96.11243415916593,63278.40000000001,3088.752470209006,33.0,2.1081851067789197,17.0,1.0540925533894598,17.0,1.0540925533894598,8.7,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.416769,3.911410082607633E-7,40000.0,81.67,62.41405839502497,56.51245551601423,39.51992081168027,85.07572056668295,76.25032391811351,74.96502493094665,97.0881794935247,65.5845264571742,40000.0,789680.0,10.0,0.8423223101863897,0.15767768981361038,22996.8,114.02611786584524,71112.8,2459.6366850049662,37.0,2.309401076758503,19.0,1.1547005383792515,19.0,1.1547005383792515,9.0,1.247219128924647,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.797134,4.778139170528286E-7,45000.0,82.28444444444445,63.59073760300088,58.07299884295784,41.79747389939404,85.59658885596589,76.99411289391665,75.67325815417053,97.39358983719063,65.77743685933672,45000.0,880816.0,10.0,0.7802639616658651,0.21973603833413494,25964.0,103.19453043214614,79925.6,4765.1744797249785,41.4,3.502380143083652,21.2,1.751190071541826,21.2,1.751190071541826,9.5,0.9718253158075503,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.117696,5.567131562427514E-7,50000.0,82.83,64.5540349620535,59.25873196659075,43.37444759580505,86.11313307775676,77.51381649597946,76.40288182783662,97.59910296154607,65.95490595652886,50000.0,951400.0,10.0,0.6021398005319615,0.3978601994680385,28739.8,119.88309119953325,86769.59999999999,3707.42208129704,44.6,2.2705848487901865,22.8,1.1352924243950933,22.8,1.1352924243950933,10.099999999999998,1.4491376746189435,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,4.437237,6.400346747599542E-7,55000.0,85.78,70.26392585102887,66.25533934504034,53.00727032385988,88.64761296503274,80.97404335028098,79.60997992543733,100.0,67.0093239641763,55000.0,1007936.0,10.0,0.6236820859470962,0.3763179140529038,31601.6,114.5912542716749,92273.6,3597.835991568019,46.8,1.7511900715418254,23.9,0.8755950357709127,23.9,0.8755950357709127,10.4,1.349897115421106,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,4.782483,7.356271472759544E-7,60000.0,86.0,70.54944966177304,66.57115568290352,53.145917001338674,88.91001267427123,81.01952277657267,80.0342270393611,100.0,67.08841685405929,60000.0,1070280.0,10.0,0.7290970317908558,0.2709029682091443,34412.100000000006,127.77275835551862,98317.6,2238.224852173902,49.6,2.3190036174568114,25.3,1.1595018087284057,25.3,1.1595018087284057,10.7,1.3374935098492586,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,5.117132,8.347681554034352E-7,65000.0,86.49333333333334,71.43569820374248,67.80038143674507,54.64517573315424,89.359243697479,81.51459854014598,80.76521408905344,100.0,67.22447732951396,65000.0,1145160.0,10.0,0.670259880052215,0.32974011994778496,37241.1,131.95407450237278,105560.8,4501.315086850855,53.2,4.157990967870046,27.1,2.078995483935023,27.1,2.078995483935023,11.299999999999999,1.159501808728406,0.0,0.0,0.0,0.0,1.0,0.0
