learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.797447,1.4611032703332603E-6,5000.0,76.24,53.68025212914881,50.45871559633027,41.01290963257199,76.91410804508355,75.52533992583436,66.36485580147551,90.83250743310208,62.68918631522059,5000.0,3142152.0
10000.0,4.647908,6.07257444344668E-6,10000.0,77.23,55.60954931586068,52.935097147581644,43.84710234278668,77.79186579537696,76.63896583564174,67.12674633900016,92.01773835920177,63.07624051459509,10000.0,6253552.0
15000.0,8.965831,1.654168104375402E-5,15000.0,77.73333333333333,56.4481942925854,54.083035468792964,45.14698636886189,78.45995098671483,76.95598178556644,68.29459975300325,91.5312653865091,63.21112741035243,15000.0,9372104.0
20000.0,15.754734,3.8379919114270146E-5,20000.0,77.96,57.04584933642609,54.51449798782375,45.398241050414946,78.56031128404669,77.32510288065842,67.73463054600353,93.05435186331559,63.40129778035287,20000.0,1.2434272E7
25000.0,24.723929,7.442299706231803E-5,25000.0,77.732,56.56293901705671,53.839137645107805,44.82656095143706,78.39149167410628,77.03098568304658,67.74453240305917,92.48068159302557,63.290049375096224,25000.0,1.5533552E7
30000.0,37.936414,1.3817829771226687E-4,30000.0,78.06333333333333,57.15790074885463,54.71685130392898,45.86212569924316,78.7249862606278,77.35920459627756,68.25112107623318,92.45888157894737,63.385724468365225,30000.0,1.8652376E7
35000.0,53.231416,2.2434509550622148E-4,35000.0,78.57714285714286,58.12756650749089,55.685579196217496,47.02557580895859,79.29415663316027,77.80868947555345,68.88494386335285,92.8450346094081,63.58655095080267,35000.0,2.1776736E7
40000.0,73.596817,3.550888570489714E-4,40000.0,78.7925,58.492819930633246,56.00103734439834,47.551626066526524,79.57527749018853,77.94733147892998,69.36865082696667,92.66905674372606,63.647016342223914,40000.0,2.481592E7
45000.0,96.360046,5.190967711279831E-4,45000.0,78.48888888888888,57.944855452384324,55.325826103009035,46.61077712205614,79.27106085913744,77.6453743476052,68.89633351944909,92.69920044113591,63.56011602423823,45000.0,2.785052E7
50000.0,124.146026,7.42666042777155E-4,50000.0,76.94,55.48379424787303,52.19734660033167,42.06030150753769,77.21794111835607,76.65519335897955,65.00332667997338,94.93480441323972,63.23332410470231,50000.0,3.1102032E7
55000.0,154.877977,0.001015034279901944,55000.0,77.58,56.53886534259471,53.388773388773394,43.83767535070142,78.04973565694145,77.08972000817495,66.38907395069953,94.3943943943944,63.400210635512465,55000.0,3.4258528E7
60000.0,189.519721,0.0013491212114441022,60000.0,79.2,59.92273102541702,57.516339869281055,47.607052896725456,79.41409342834521,78.981406628941,66.55607166556071,98.38872104733132,64.21541729072779,60000.0,3.7278816E7
65000.0,226.056321,0.0017304907170006094,65000.0,79.58,60.52637937783618,57.8360520338633,47.961264016309876,80.11684518013634,79.01336073997946,67.7201646090535,97.93630573248407,64.35380143036183,65000.0,4.0347832E7
70000.0,264.494764,0.002163176417381252,70000.0,79.68666666666667,60.605810491684984,57.949213359094664,48.486897717666935,80.30763265042332,79.02526330281545,68.39498018494055,97.02501690331304,64.30785276470004,70000.0,4.3512008E7
75000.0,308.007142,0.002688717190953342,75000.0,79.325,59.88270887705524,57.2079064472731,47.79040404040404,79.92815882724139,78.68446827156039,68.15961586224026,96.35147077389219,64.13093766586694,75000.0,4.6687E7
80000.0,352.906003,0.003266309829122372,80000.0,79.31200000000001,59.809082636312084,57.29149463253511,47.95733547997586,79.92391895039205,78.6616057430481,68.35535489011355,95.91508200020122,64.0840145610266,80000.0,4.9726592E7
85000.0,400.057547,0.003909813629618318,85000.0,79.37666666666667,59.924823364572866,57.48935000687096,48.27355572276565,79.95983545492824,78.75854018608165,68.42776361015633,95.88697542217021,64.09265539676261,85000.0,5.2754264E7
90000.0,450.45984,0.004637285562488563,90000.0,79.34,59.84197943864918,57.56206350137918,48.357377517497504,79.89322359091288,78.75547198636778,68.41929799495165,95.71520388488182,64.05749407365103,90000.0,5.5791536E7
95000.0,504.526476,0.005460025260863356,95000.0,79.4,59.94945611640886,57.4950995563809,48.474237118559294,79.97180496815905,78.79458541355704,68.52584662806682,95.72312886888014,64.07982824121545,95000.0,5.8821416E7
100000.0,559.932516,0.0063465973376119166,100000.0,79.52222222222223,60.19244388103678,57.721600293631866,48.65723200356587,80.11565932287509,78.89227386215268,68.62592880115338,95.94406373614129,64.14241820692736,100000.0,6.1852792E7
