learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.365262,1.4007722462217012E-9,5000.0,75.66000000000001,49.88616706675377,49.249374478732285,39.572989076464765,79.20724414830002,70.6534844465879,77.73306505700872,72.59663032705649,61.304505418457055,5000.0,14824.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
10000.0,0.577773,2.7593576349318025E-9,10000.0,77.19,54.33186944384426,52.852418354692034,43.748458692971646,79.20503236393472,74.74255342708449,73.11900353475845,83.14855875831486,62.50351235992129,10000.0,24712.0,11.0,6.0,6.0,5.0,0.0,0.0,1.0
15000.0,0.739793,4.709564325296216E-9,15000.0,79.19333333333334,58.45732687633387,57.09375859224637,48.743636065035325,80.89846379827407,77.1539418783398,74.2000673627484,86.49269653700968,63.38232480348091,15000.0,46528.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
20000.0,0.903077,7.3410524945292205E-9,20000.0,81.16,62.18985103955281,61.11856361572593,53.3259011519881,82.95176907067233,78.94736842105263,76.88501216136878,87.47059551813793,64.10062551947264,20000.0,62296.0,31.0,16.0,16.0,9.0,0.0,0.0,1.0
25000.0,1.063833,1.0419872521112363E-8,25000.0,82.296,64.40674926007857,63.300165837479284,56.13478691774034,84.04700115340253,80.11322789360172,78.21682543942036,88.31979393699227,64.52453397282552,25000.0,74032.0,37.0,19.0,19.0,9.0,0.0,0.0,1.0
30000.0,1.225121,1.4123078205933173E-8,30000.0,83.28333333333333,66.38037509535057,65.49232780568362,58.74465284633102,84.93043661167702,81.23198982074024,79.2152466367713,89.25164473684211,64.89739813228522,30000.0,88752.0,45.0,23.0,23.0,10.0,0.0,0.0,1.0
35000.0,1.372935,1.799108896197544E-8,35000.0,84.11428571428571,68.0247937786515,67.13947990543736,60.71781828458387,85.7164876946,82.10722790757546,80.04510123788504,90.10453453877666,65.22070909164161,35000.0,101152.0,49.0,25.0,25.0,10.0,0.0,0.0,1.0
40000.0,1.527512,2.244844297154082E-8,40000.0,84.735,69.26856373275602,68.32987551867221,62.24805242982566,86.2811180012582,82.79612306998762,80.60196457056502,90.82086784522191,65.46427125077216,40000.0,111464.0,53.0,27.0,27.0,11.0,0.0,0.0,1.0
45000.0,1.653791,2.649776486886872E-8,45000.0,85.20444444444445,70.19637179994847,69.27266014399115,63.27836302465391,86.7349378386994,83.27471864951768,81.02363670202865,91.39784946236558,65.65468112868919,45000.0,123952.0,63.0,32.0,32.0,12.0,0.0,0.0,1.0
50000.0,1.774997,3.067038099798891E-8,50000.0,91.12,82.18720286930463,82.33890214797135,77.97619047619048,91.94776931447225,90.1025412394115,85.21008403361344,99.80246913580247,68.00965982296484,50000.0,133072.0,67.0,34.0,34.0,12.0,0.0,0.0,1.0
