learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.460178,2.2257284695903458E-9,5000.0,84.66,69.47773904461742,68.09484193011647,62.94685990338165,85.6608711908768,83.50892281229842,78.32478632478632,93.59036144578313,65.55820844306407,5000.0,18696.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
10000.0,0.681385,4.156776418288548E-9,10000.0,85.00999999999999,70.23063138149809,68.71216864955123,62.93273986152323,86.07524384579656,83.76827287493231,77.8524617711309,95.52976043467523,65.83734164701028,10000.0,33744.0,17.0,9.0,9.0,5.0,0.0,0.0,1.0
15000.0,0.838312,6.067114832500617E-9,15000.0,85.87333333333333,71.923603369528,70.4215522054718,64.99834819953749,86.91571472676752,84.6504889532778,78.7160272900123,96.43505528965176,66.17232854064909,15000.0,47056.0,23.0,12.0,12.0,7.0,0.0,0.0,1.0
20000.0,1.02274,9.127531262735525E-9,20000.0,86.49,73.1263108445013,71.65040394502151,66.63373672511732,87.49652938454419,85.30723219140836,79.46541144826426,96.80365296803653,66.38318017696591,20000.0,64144.0,33.0,17.0,17.0,9.0,0.0,0.0,1.0
25000.0,1.198673,1.2558193993237284E-8,25000.0,87.132,74.33898272420869,73.21844821844822,68.12326595323029,88.17844412596922,85.88230131215167,80.5072804133396,96.90997325938397,66.59903409072903,25000.0,75376.0,37.0,19.0,19.0,11.0,0.0,0.0,1.0
30000.0,1.370277,1.6161217325263555E-8,30000.0,87.55,75.13079183771858,74.09667799431305,69.1907943578322,88.60411899313499,86.2809917355372,81.24440465532676,96.84201846965699,66.72451257315106,30000.0,81160.0,39.0,20.0,20.0,12.0,0.0,0.0,1.0
35000.0,1.511392,1.957092922801773E-8,35000.0,87.86571428571428,75.74167243739984,74.6916155175496,70.0472529797588,88.90456409854481,86.6122371780727,81.74000768639507,96.8556119571348,66.81983606002223,35000.0,93400.0,43.0,22.0,22.0,13.0,0.0,0.0,1.0
40000.0,1.641169,2.287428346772989E-8,40000.0,88.29249999999999,76.56099588149219,75.66261303398815,71.09616096778176,89.33281702011342,87.02734147760326,82.414996007229,96.92108348244585,66.95821075299034,40000.0,98392.0,45.0,23.0,23.0,13.0,0.0,0.0,1.0
45000.0,1.770951,2.6398014985024935E-8,45000.0,88.54222222222222,77.03480764780694,76.12962962962962,71.67655460338386,89.59350906228556,87.25465961338806,82.84498525624277,96.92459772639903,67.03908989959548,45000.0,104952.0,51.0,26.0,26.0,14.0,0.0,0.0,1.0
50000.0,1.903147,3.032025280512042E-8,50000.0,88.768,77.46680687320169,76.64864864864866,72.19389018171016,89.82571832312765,87.46484531940538,83.19685884958722,96.98544698544698,67.11600141453494,50000.0,114688.0,53.0,27.0,27.0,14.0,0.0,0.0,1.0
