learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.657328,3.336541050010258E-8,5000.0,74.82,48.59742417160604,47.49791492910759,37.487586891757694,78.08529155787642,70.41128084606345,75.21797451374917,74.23191278493559,61.12484914064916,5000.0,196208.0,10.0,4983.3,68.98478093028926,13842.400000000001,1201.3565665529948,6.8,0.6324555320336759,3.9,0.31622776601683794,3.9,0.31622776601683794,2.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.264133,8.210358059447674E-8,10000.0,77.85,55.779893351084716,54.21661843737081,45.376078914919844,79.66584044799411,75.67804985176238,73.0348426190877,84.89775806848976,62.835619016521484,10000.0,310472.0,10.0,9980.100000000002,62.197624106105835,24888.0,2367.7417276571546,12.4,1.6465452046971292,6.7,0.8232726023485646,6.7,0.8232726023485646,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.874147,1.6198880067509082E-7,15000.0,80.35333333333334,60.8847360374037,59.48583997800385,51.60124815240598,81.83667180277348,78.60617059891108,74.53688110474907,88.85606433612342,63.91262501276107,15000.0,506208.0,10.0,15012.599999999999,85.42599136094356,43688.0,3106.8394801720215,23.799999999999997,2.347575581554534,12.399999999999999,1.173787790777267,12.399999999999999,1.173787790777267,7.800000000000001,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.419064,2.580122103335129E-7,20000.0,82.325,64.70836460079052,63.522856258384074,56.212064907717085,83.81187892109722,80.53735616362937,76.75081774721127,90.55342330073047,64.67307033223754,20000.0,681160.0,10.0,20015.699999999997,77.68747932868267,60623.99999999999,3765.3408876222607,32.0,2.8674417556808756,16.5,1.433720877840438,16.5,1.433720877840438,9.1,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.910025,3.634026718698442E-7,25000.0,83.524,67.03937180406739,65.84577114427861,59.17740336967293,84.97976151405754,81.75576914559063,78.16986448410036,91.43055280364572,65.11536248991978,25000.0,829768.0,10.0,24972.3,79.35580914113629,74996.80000000002,4961.879500529794,39.2,3.1902629637347735,20.1,1.5951314818673867,20.1,1.5951314818673867,9.9,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.36358,4.7409275885671377E-7,30000.0,84.53666666666668,69.04168154854857,68.07954310878691,61.83777558407372,85.9086905015036,82.86864359836035,79.26569506726457,92.26973684210526,65.48576790214989,30000.0,943368.0,10.0,29947.7,105.47885517433784,86001.59999999999,6730.713998777049,44.39999999999999,5.420127099780758,22.699999999999996,2.710063549890379,22.699999999999996,2.710063549890379,10.2,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.824189,5.998216823095248E-7,35000.0,85.28571428571429,70.50383347071484,69.56264775413712,63.61452592906599,86.64141938161444,83.62375985754261,80.13146531043085,92.87328718745586,65.7656354979344,35000.0,1055128.0,10.0,34964.7,95.31357604128526,96803.2,6891.829829588075,50.0,4.242640687119286,25.5,2.121320343559643,25.5,2.121320343559643,10.6,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.300089,7.430958200597928E-7,40000.0,85.8825,71.68681611558749,70.71058091286307,65.08594039816988,87.19820452948245,84.26537379141242,80.73209638149609,93.46643590060576,65.99214579821258,40000.0,1163736.0,10.0,39927.5,131.33946686185203,107295.2,6864.608571830184,55.400000000000006,5.561774297230457,28.200000000000003,2.7808871486152285,28.200000000000003,2.7808871486152285,11.2,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.758267,8.940104073017007E-7,45000.0,86.32888888888888,72.55958989254438,71.60790105224294,66.06916331145551,87.64162314182403,84.70412729985082,81.19858552019356,93.92886683209264,66.16786462329848,45000.0,1273208.0,10.0,44919.2,112.1752597005638,117849.6,9355.022266141328,61.199999999999996,6.069962474714684,31.099999999999998,3.034981237357342,31.099999999999998,3.034981237357342,11.6,0.8432740427115677,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.146435,1.031860452681366E-6,50000.0,86.82,73.54740831074118,72.74832520056239,67.30502083746774,88.08145843883382,85.25990874116489,81.60522788203754,94.53869047619048,66.35961090117769,50000.0,1372744.0,10.0,49915.3,145.87365156950807,127475.2,9216.231632891564,66.0,5.754225500544024,33.5,2.877112750272012,33.5,2.877112750272012,12.4,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,5.566786,1.1921829250040982E-6,55000.0,91.64,83.24224813660214,82.73440726972325,79.70873786407768,92.36111111111113,90.76855123674912,85.95238095238096,99.75728155339806,68.13766625475571,55000.0,1474296.0,10.0,54895.799999999996,133.27815524933845,137379.2,8682.297453247422,69.4,5.641118880348316,35.2,2.820559440174158,35.2,2.820559440174158,12.8,0.632455532033676,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,6.136996,1.4265256043233806E-6,60000.0,91.35,82.61003405457932,82.32890704800818,78.63670041985675,92.19806981149092,90.29507461012005,85.88472525625946,99.38256359594962,68.0564634792701,60000.0,1588616.0,10.0,59897.6,142.66915885673762,148412.0,10334.624779513442,74.8,6.214677966091422,37.9,3.107338983045711,37.9,3.107338983045711,13.4,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,6.698079,1.673704179684735E-6,65000.0,91.27333333333333,82.45793469023418,82.11259907078436,78.41002803892462,92.13104899308686,90.20576131687243,85.74465704375069,99.42272802243114,68.03811157472366,65000.0,1702888.0,10.0,64919.7,169.8084214637199,159512.0,11221.64258129006,79.19999999999999,5.2873013490395575,40.099999999999994,2.6436506745197788,40.099999999999994,2.6436506745197788,13.9,1.100504934614612,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,7.235887,1.9209115857486095E-6,70000.0,91.405,82.7040234003395,82.43767879035553,78.67510234462226,92.27589305773984,90.312764158918,86.00385291900494,99.4045403796055,68.08237534388222,70000.0,1776792.0,10.0,69921.3,163.5019877555015,166660.8,12034.266453202148,83.8,4.0221608343995605,42.4,2.0110804171997803,42.4,2.0110804171997803,14.4,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,7.682557,2.1315292742330996E-6,75000.0,91.532,82.96465181183876,82.65464973371569,79.09548731114842,92.3730950751162,90.48239895697525,86.19646339003563,99.36802606892465,68.11102874332474,75000.0,1822680.0,10.0,74902.79999999999,168.76992886438492,171154.4,16159.882529826069,87.6,4.993328882953066,44.3,2.496664441476533,44.3,2.496664441476533,14.3,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,8.172496,2.3646383345044324E-6,80000.0,91.60666666666667,83.10164557490752,82.7321355095323,79.22099356329429,92.46062638481347,90.53454627471619,86.34380941729113,99.37283380095725,68.13894686929208,80000.0,1839160.0,10.0,79908.4,164.31555008580364,172690.4,18519.25567978728,93.2,5.4528280124476085,47.1,2.7264140062238043,47.1,2.7264140062238043,14.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,8.651309,2.59929329826807E-6,85000.0,91.56571428571428,83.00876997765823,82.5531914893617,79.03855712561244,92.44317018226499,90.45771916214119,86.32213032461634,99.35383085990202,68.13148339507191,85000.0,1894376.0,10.0,84894.7,178.90844958618806,178096.8,14522.034237667942,96.80000000000001,5.028805910838963,48.900000000000006,2.5144029554194813,48.900000000000006,2.5144029554194813,14.8,1.3165611772087666,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,9.160215,2.8594170086354847E-6,90000.0,91.6225,83.11323051126706,82.62019604792282,79.13969123505976,92.50821614612444,90.49927702645233,86.4346590909091,99.35258964143426,68.15189812696771,90000.0,1975808.0,10.0,89911.5,189.59445022351193,185998.40000000002,14255.971966551815,100.4,5.891613625409519,50.7,2.9458068127047596,50.7,2.9458068127047596,15.5,1.4337208778404378,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,9.604923,3.0977192662925358E-6,95000.0,91.72888888888889,83.32354109535392,82.78843930635838,79.41940834946088,92.60598355119394,90.61570268771116,86.5985509938696,99.36411390655239,68.18406428565658,95000.0,2071360.0,10.0,94896.0,216.497882976568,195252.8,13152.757588345406,104.8,5.613475849338903,52.9,2.8067379246694517,52.9,2.8067379246694517,16.0,1.4142135623730951,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,10.06269,3.351232336246305E-6,100000.0,91.848,83.55851389934594,83.06605733277938,79.73248470986026,92.71596554558776,90.74519776576903,86.79112717053097,99.3635323952066,68.21925306790921,100000.0,2140712.0,10.0,99860.20000000001,231.09247788132856,201936.00000000003,14287.734226718152,108.6,7.647802879839993,54.8,3.8239014399199966,54.8,3.8239014399199966,16.2,1.398411797560202,0.0,0.0,0.0,0.0,1.0,0.0
