learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.498504,1.9574571798245114E-8,5000.0,68.34,40.09493382514775,35.38775510204082,20.691382765531063,66.91745036572621,69.64525407478428,53.38446148716238,90.75462268865567,60.02896887666363,5000.0,151784.0,10.0,0.758270129754387,0.24172987024561282,3233.0,56.146633420397045,9404.8,1018.7239076413197,5.200000000000001,0.6324555320336761,3.1000000000000005,0.31622776601683805,3.1000000000000005,0.31622776601683805,2.1000000000000005,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.941023,4.684828265673585E-8,10000.0,68.23,40.78547866842068,34.49484536082474,19.87389659520807,65.68002592632602,70.427254956716,50.41459369817579,95.2896725440806,60.35401110163606,10000.0,238240.0,10.0,0.887976285497331,0.11202371450266893,6265.9,50.10755099450249,17764.800000000003,1535.7277536508013,9.400000000000002,1.2649110640673522,5.200000000000001,0.6324555320336761,5.200000000000001,0.6324555320336761,4.200000000000001,0.6324555320336761,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.279885,7.607260225133765E-8,15000.0,70.17333333333333,44.29864373048989,38.27262693156732,24.14377755171244,68.26500212796141,71.86517419192555,52.89655930526547,96.79823818397425,61.174912645879544,15000.0,333368.0,10.0,0.7290026105421908,0.2709973894578091,9289.1,83.29925970059212,26937.6,2331.7001522494265,14.4,1.3498971154211057,7.7,0.6749485577105528,7.7,0.6749485577105528,6.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.741784,1.2860485737729406E-7,20000.0,72.285,47.915890486897055,42.32650088440329,29.710880040578235,70.92272989560931,73.52533791851747,55.826244941778846,97.5415029780763,61.92086641832767,20000.0,439624.0,10.0,0.7149863994164831,0.285013600583517,12359.3,75.73205691412616,37196.0,3867.831089038577,19.8,2.859681411936962,10.4,1.429840705968481,10.4,1.429840705968481,7.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.199373,1.9507586269328995E-7,25000.0,74.752,52.1478051317191,47.18875502008031,36.20375985445723,74.00543612552508,75.45687845089043,59.499370902589234,98.02000202040611,62.7533610500257,25000.0,561512.0,10.0,0.6090871001272651,0.3909128998727349,15424.4,80.43796781785736,49004.0,5065.458452433831,25.4,3.2386554137309647,13.2,1.6193277068654823,13.2,1.6193277068654823,8.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.596592,2.6179231005203395E-7,30000.0,76.82,55.74881950717268,51.657977059436924,41.66107382550335,76.4972286061917,77.1340260423517,62.611341632088525,98.35639412997904,63.43653043831834,30000.0,649240.0,10.0,0.6674961660429755,0.3325038339570243,18522.3,91.75577487124302,57479.2,6634.872933556789,29.8,4.541169697580373,15.4,2.2705848487901865,15.4,2.2705848487901865,9.4,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.958263,3.315106218660044E-7,35000.0,78.4,58.53884119746584,54.86028182469549,45.517440184491214,78.44311377245509,78.3567134268537,65.13092475969506,98.58799798285426,63.976347727607376,35000.0,745136.0,10.0,0.7138217129169964,0.28617828708300386,21565.9,81.05067002259212,66730.4,6841.547375330298,34.8,4.565571644870382,17.9,2.282785822435191,17.9,2.282785822435191,10.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.27219,4.0073930072080765E-7,40000.0,79.5125,60.519616574031645,57.26205997392437,48.224665150366434,79.78190610120149,79.23581726505688,66.90528406504738,98.75576327922693,64.35469045537286,40000.0,852432.0,10.0,0.629814901142971,0.3701850988570291,24573.1,109.22194529183885,77132.0,7032.499287040293,39.6,4.427188724235731,20.3,2.2135943621178655,20.3,2.2135943621178655,10.8,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.599989,4.793913073258268E-7,45000.0,80.56,62.396306209581844,59.32108811904209,50.91459993266748,80.98095486564048,80.11998909190073,68.53862289772937,98.88371571212207,64.69589218216476,45000.0,927480.0,10.0,0.6123885671211633,0.3876114328788366,27642.8,80.89059827253648,84407.2,9051.93112361482,43.0,6.599663291074443,22.0,3.2998316455372216,22.0,3.2998316455372216,10.9,0.8755950357709132,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.981022,5.777534753249752E-7,50000.0,88.2,76.51237980707985,75.01058873358745,69.98982706002035,89.22964585615189,86.95267580716498,80.55372445616348,100.0,67.18514055506684,50000.0,997856.0,10.0,0.6847609366858176,0.3152390633141823,30683.5,123.37859529828417,91239.2,9625.172515625658,46.0,6.055300708194984,23.5,3.027650354097492,23.5,3.027650354097492,11.400000000000002,0.9660917830792953,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,4.39986,6.959985571313236E-7,55000.0,89.05,78.18369085249927,77.07286432160804,72.63184203949011,89.95689259836742,87.96306474661976,81.7469578263044,100.0,67.40677967131799,55000.0,1091288.0,10.0,0.3992473428356543,0.6007526571643457,33797.4,101.21725808049425,100220.0,8248.49292632027,51.4,4.501851470969102,26.2,2.250925735484551,26.2,2.250925735484551,12.4,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,4.724052,7.931205271888111E-7,60000.0,93.47999999999999,86.77736473041318,86.47302904564314,83.70814592703647,94.25246826516221,92.46765249537894,89.1297099033011,100.0,68.76221889658977,60000.0,1158024.0,10.0,0.33862369690170835,0.6613763030982918,36885.9,106.66921871947004,106635.19999999998,8271.713900059916,55.199999999999996,5.452828012447608,28.099999999999998,2.726414006223804,28.099999999999998,2.726414006223804,12.8,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,5.125435,9.230585027051469E-7,65000.0,93.78,87.34879161840765,86.8748681156362,84.34038267875124,94.56008396011896,92.73873453187018,89.68148639681488,100.0,68.86245101592283,65000.0,1251352.0,10.0,0.544984847510918,0.455015152489082,39947.8,131.3103194726131,115638.4,9861.851653946356,60.0,7.0710678118654755,30.5,3.5355339059327378,30.5,3.5355339059327378,13.5,1.178511301977579,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,5.702639,1.1249660142490433E-6,70000.0,94.0,87.81988830350369,87.37019365703058,85.08204873197413,94.71644945403311,93.058769088385,89.96319839411174,100.0,68.91356876445155,70000.0,1352152.0,10.0,0.5333373490932483,0.46666265090675185,43095.7,129.43041888726705,125344.0,12171.791943305272,65.39999999999999,9.22797678559908,33.199999999999996,4.61398839279954,33.199999999999996,4.61398839279954,14.2,1.1352924243950933,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,6.295061,1.3460233268369404E-6,75000.0,94.49,88.78536062550495,88.37307448828867,86.26106470514897,95.17850892544628,93.57209519365377,90.80056766007179,100.0,69.06528933915932,75000.0,1442368.0,10.0,0.46243775772667617,0.5375622422733239,46148.7,136.3606737051911,134074.4,12084.497794005898,69.6,8.329332372872258,35.3,4.164666186436129,35.3,4.164666186436129,14.8,1.3984117975602017,0.0,0.0,0.0,0.0,1.0,0.0
