learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.844616,8.9406086653471E-8,5000.0,74.6,50.600149833246334,48.16326530612245,36.37274549098196,75.31104199066873,73.84678747940691,64.58819606535512,89.60519740129935,62.08731623017991,5000.0,409176.0,10.0,0.758270129754387,0.24172987024561282
10000.0,1.588248,2.267440643078751E-7,10000.0,76.63,54.850438454984705,51.814432989690715,41.059268600252196,77.03194103194103,76.21374045801527,64.99170812603649,94.3073047858942,63.10685638500993,10000.0,713896.0,10.0,0.887976285497331,0.11202371450266893
15000.0,2.379875,4.3732520793047214E-7,15000.0,79.38,59.92286670011163,57.32615894039734,47.55849440488299,80.14125200642054,78.5580589254766,68.60503462680005,95.98509232593597,64.14634185842868,15000.0,1028256.0,10.0,0.7290026105421908,0.2709973894578091
20000.0,3.149351,6.931033268736468E-7,20000.0,81.455,63.75841195204386,61.408802413900744,52.96728379406544,82.33725415495977,80.47997473817168,71.39317862746717,96.89519705994171,64.86300480385735,20000.0,1284904.0,10.0,0.7149863994164831,0.285013600583517
25000.0,3.742808,9.27542658061203E-7,25000.0,82.908,66.46686811051487,64.24866131191432,56.812209419850426,83.83582371855495,81.86717589645662,73.37924640752269,97.44418628144257,65.34971933546564,25000.0,1527016.0,10.0,0.6090871001272651,0.3909128998727349
30000.0,4.307551,1.1862566762293377E-6,30000.0,83.91666666666666,68.35831114043202,66.45811609315258,59.5218120805369,84.85609365682181,82.85297985003021,74.78838174273858,97.75262054507337,65.67743187119378,30000.0,1770808.0,10.0,0.6674961660429755,0.3325038339570243
35000.0,4.814718,1.4441710672775903E-6,35000.0,84.72,69.85781613993782,68.0678289945068,61.45863361199192,85.71810073172034,83.5719112858635,75.99318149533595,97.9972624450688,65.95271865897658,35000.0,1965744.0,10.0,0.7138217129169964,0.28617828708300386
40000.0,5.318762,1.7273996614830361E-6,40000.0,85.19,70.73818112282967,69.10560625814864,62.57265605256508,86.22069222180872,83.99265023778642,76.69135598129681,98.16206656982253,66.11607643968284,40000.0,2172056.0,10.0,0.629814901142971,0.3701850988570291
45000.0,5.831337,2.0407873926767044E-6,45000.0,85.73555555555555,71.76767593502167,70.15112764473378,63.982717989002346,86.77449263418153,84.5194742553961,77.49604386707394,98.2947214898749,66.29305494487127,45000.0,2363344.0,10.0,0.6123885671211633,0.3876114328788366
50000.0,6.351408,2.3836012169366906E-6,50000.0,90.82000000000001,81.65701641900841,81.24233755619126,77.65335929892892,91.55162893429045,89.94963871250275,84.41955193482688,100.0,67.90058025061842,50000.0,2547992.0,10.0,0.6207222312982741,0.3792777687017258
55000.0,7.042858,2.875963874084668E-6,55000.0,90.59,81.15424916606051,80.45690550363449,76.61530815109346,91.45400054490965,89.5316497941929,84.25368139223562,100.0,67.87003782823382,55000.0,2752496.0,10.0,0.4862552992579399,0.5137447007420601
60000.0,7.729946,3.404742151091082E-6,60000.0,90.5,80.88978450757763,80.29863127333057,75.79001019367992,91.52542372881356,89.19226393629124,84.43054641211323,99.89806320081549,67.8838363701052,60000.0,2974840.0,10.0,0.6915882154807182,0.3084117845192818
65000.0,8.424953,3.979751684425605E-6,65000.0,90.92,81.77084002538912,81.0675562969141,77.3678963110668,91.80801154817756,89.81606101390759,84.96993987975952,99.80059820538385,67.96516351873645,65000.0,3198072.0,10.0,0.7007152151631612,0.2992847848368388
70000.0,9.049049,4.526129087565673E-6,70000.0,91.16666666666666,82.25183375393138,81.50732728541522,78.00464807436917,92.04251996877065,90.0741628586411,85.37210338680927,99.800796812749,68.03912481057466,70000.0,3384104.0,10.0,0.5466786854069816,0.45332131459301833
75000.0,9.673996,5.091181835234165E-6,75000.0,91.49000000000001,82.89811154054625,82.23938223938225,78.92781973505015,92.32365145228215,90.4532196544761,85.84248930638262,99.8266683174446,68.13023514267128,75000.0,3495008.0,10.0,0.5847114168055471,0.415288583194453
80000.0,10.333273,5.711942205559462E-6,80000.0,91.584,83.08098439284498,82.4139083918422,79.15593421834754,92.41528478731075,90.54806828391733,85.99221789883269,99.84148999405588,68.16041884644059,80000.0,3639640.0,10.0,0.5863988013419237,0.4136011986580764
85000.0,10.985106,6.346429525624132E-6,85000.0,91.66,83.23561479061001,82.59357172672881,79.39044481054364,92.47654558575896,90.6446305713431,86.09742441209407,99.84349258649094,68.18007718508849,85000.0,3762608.0,10.0,0.5480599296380966,0.4519400703619033
90000.0,11.719875,7.090747161201304E-6,90000.0,91.68285714285715,83.27525155492475,82.64369186739803,79.41301272984441,92.5076570663784,90.65399556939674,86.15052732502397,99.84441301272985,68.18998099753252,90000.0,3915704.0,10.0,0.6819837854718589,0.31801621452814116
95000.0,12.424179,7.834397271863287E-6,95000.0,91.7675,83.43381240084938,82.84895833333333,79.58209325396825,92.60049884277464,90.72315970363694,86.3145107238606,99.83878968253968,68.21900402497832,95000.0,4081416.0,10.0,0.6280599340686739,0.3719400659313261
100000.0,13.091232,8.555759452703511E-6,100000.0,91.83555555555556,83.56408733060006,83.01276123543555,79.73300970873788,92.67047041455531,90.78597582384512,86.4319738017267,99.84554280670785,68.24176078627268,100000.0,4180184.0,10.0,0.677710341650764,0.32228965834923584
