learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.484393,2.0532254197945197E-8,5000.0,89.52,0.0,43.16702819956616,0.0,94.47024060785142,?,100.0,0.0,?,5000.0,163848.0,10.0,4983.3,68.98478093028926,10715.2,1328.7130615749961,5.2,0.6324555320336759,3.1,0.31622776601683794,3.1,0.31622776601683794,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.88942,4.693700938796004E-8,10000.0,90.03,0.0,44.11434977578475,0.0,94.75345998000316,?,100.0,0.0,?,10000.0,252000.0,10.0,9980.100000000002,62.197624106105835,19231.2,1949.7599168444642,9.6,1.349897115421106,5.3,0.674948557710553,5.3,0.674948557710553,4.1,0.31622776601683783,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.265794,7.733069492504E-8,15000.0,90.01333333333334,0.0,44.76401179941002,0.0,94.74422847519473,?,100.0,0.0,?,15000.0,312152.0,10.0,15012.599999999999,85.42599136094356,25069.600000000002,2536.8061810079216,12.200000000000001,1.3984117975602017,6.6000000000000005,0.6992058987801009,6.6000000000000005,0.6992058987801009,4.9,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.644224,1.170256657919122E-7,20000.0,90.0,0.26922820499923816,45.05494505494509,0.1497753369944918,94.73601094909722,0.2991026919242272,100.0,0.14977533699450823,?,20000.0,405464.0,10.0,20015.699999999997,77.68747932868267,34074.4,2558.5441693796633,17.0,1.632993161855452,9.0,0.816496580927726,9.0,0.816496580927726,6.199999999999999,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.961317,1.5614648710729347E-7,25000.0,90.28,5.188565506897861,46.663740122914845,2.9165001997603217,94.8757960440302,5.740884406516679,99.99555496288394,2.9564522572912506,50.73263427523136,25000.0,476896.0,10.0,24972.3,79.35580914113629,41027.2,4291.131857939375,19.799999999999997,2.529822128134704,10.399999999999999,1.264911064067352,10.399999999999999,1.264911064067352,6.5,0.7071067811865475,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.303932,2.038780702691939E-7,30000.0,90.58666666666667,9.237543945655663,47.8581979320532,5.234899328859152,95.0330659912762,10.178117048346055,99.98519615099926,5.369127516778524,51.321127147544644,30000.0,538520.0,10.0,29947.7,105.47885517433784,46985.6,4196.026564898431,22.8,2.898275349237887,11.9,1.4491376746189435,11.9,1.4491376746189435,7.1,0.9944289260117531,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.647463,2.5815096039325E-7,35000.0,91.05142857142857,16.25461676792511,50.25412960609912,9.584295612009269,95.26831036983322,17.752100840336134,99.98097412480973,9.757505773672055,52.378067905011974,35000.0,610688.0,10.0,34964.7,95.31357604128526,53957.600000000006,5097.861930914436,26.4,3.5339622081862854,13.7,1.7669811040931427,13.7,1.7669811040931427,7.8,1.3165611772087664,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.980303,3.1755648583587673E-7,40000.0,91.53,23.87480308110218,52.97057190449751,14.616935483870932,95.50841840116664,25.864332603938735,99.96947158081704,14.894153225806454,53.587224411846414,40000.0,689912.0,10.0,39927.5,131.33946686185203,61621.600000000006,6736.96488206835,30.2,4.825856285561029,15.6,2.4129281427805145,15.6,2.4129281427805145,8.599999999999998,1.577621275493231,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.317401,3.8381953017579184E-7,45000.0,91.83555555555556,28.771351436878668,54.80378890392426,18.0459513718492,95.66100573966033,31.017649267743145,99.95804230323074,18.42516172206112,54.402022946139574,45000.0,759832.0,10.0,44919.2,112.1752597005638,68328.0,8995.554852876565,34.4,6.397916327472041,17.7,3.1989581637360205,17.7,3.1989581637360205,9.2,1.4757295747452435,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.768711,4.7075378817816574E-7,50000.0,91.794,30.502176401499923,54.6429361043555,17.66004415011033,95.62892177229485,33.09962497961846,99.70011329053469,20.369255468593217,54.788084644183336,50000.0,744592.0,10.0,49915.3,145.87365156950807,66748.8,34948.03074026092,45.599999999999994,7.366591251499344,23.299999999999997,3.683295625749672,23.299999999999997,3.683295625749672,7.800000000000001,3.552776691859794,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,4.139345,4.864134456093112E-7,55000.0,90.82000000000001,3.2111136415396078,45.74468085106384,0.6493506493506978,95.18009030767615,3.7735849056603774,99.8677831643896,1.948051948051948,50.451916492944434,55000.0,163320.0,10.0,54895.799999999996,133.27815524933845,10662.4,3761.1039514128474,44.99999999999999,20.357908646136625,19.5,17.456294630368216,19.5,17.456294630368216,2.1,0.9944289260117533,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,4.323408,4.979867180623114E-7,60000.0,90.34,1.5383862691914294,45.85201793721972,0.3095975232197802,94.92006731173748,1.8292682926829267,99.93356217473148,0.9287925696594427,50.2151258945925,60000.0,243048.0,10.0,59897.6,142.66915885673762,18390.4,3365.1046937651136,48.6,19.676268842327694,21.3,17.08182920207578,21.3,17.08182920207578,3.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,4.506297,5.138310679979622E-7,65000.0,89.92666666666666,1.9550843977899623,45.253623188405804,0.4611330698286714,94.68948792745931,2.3270846800258562,99.91840973149384,1.185770750988142,50.27528728970177,65000.0,334880.0,10.0,64919.7,169.8084214637199,27233.599999999995,3856.1674468023007,53.6,20.662365143742218,23.8,17.611864687697828,23.8,17.611864687697828,4.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,4.676004,5.309329925415416E-7,70000.0,90.095,1.5032953884847104,44.97222222222225,0.3521126760564108,94.78450885922649,1.784828953891919,99.93892960248722,0.9054325955734407,50.210646828650965,70000.0,389536.0,10.0,69921.3,163.5019877555015,32604.0,3993.3335559265383,55.0,19.8158185969358,24.5,17.167475709090787,24.5,17.167475709090787,5.0,0.4714045207910318,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,4.865035,5.532375978264543E-7,75000.0,90.22,3.49627509041604,45.25302283922974,1.0522055847835294,94.84731617879496,4.080031384856806,99.88459319099827,2.1044111695669767,50.494802792110505,75000.0,456104.0,10.0,74902.79999999999,168.76992886438492,39016.0,4104.912179328566,58.599999999999994,19.766413713952034,26.3,17.107827967856636,26.3,17.107827967856636,5.699999999999999,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,5.06777,5.802737523863713E-7,80000.0,90.56,12.553768985049196,47.3410189661584,5.062018102581293,95.00511481886487,14.233797698364627,99.6890846504053,7.877975192758968,51.85727042642243,80000.0,515488.0,10.0,79908.4,164.31555008580364,44777.6,4816.574052166125,61.199999999999996,19.781023454030098,27.599999999999998,17.18009183780912,27.599999999999998,17.18009183780912,6.4,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,5.287525,6.129756829659972E-7,85000.0,90.97142857142858,18.73656609266019,49.60127591706539,8.696908407974519,95.21255643426356,20.881321982974463,99.63220140143949,12.048540884137532,52.83955485372134,85000.0,575224.0,10.0,84894.7,178.90844958618806,50547.200000000004,4466.014997238092,64.2,19.809088823063014,29.100000000000005,17.207556479639987,29.100000000000005,17.207556479639987,7.200000000000001,0.632455532033676,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,5.509219,6.504373506228958E-7,90000.0,91.355,24.327453403584506,51.82502089718582,12.47785370792197,95.40636042402826,26.768318509106315,99.61441371466616,15.995950392305748,53.761130035317315,90000.0,653184.0,10.0,89911.5,189.59445022351193,58050.4,5598.530664379718,68.6,20.111909130882847,31.3,17.37846688034106,31.3,17.37846688034106,8.1,0.9944289260117531,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,5.765509,6.984837871562276E-7,95000.0,91.69555555555556,29.14857556974627,53.86419753086419,16.28584229390674,95.57882283348123,31.744292237442924,99.64969409907243,19.4668458781362,54.5702620428949,95000.0,724656.0,10.0,94896.0,216.497882976568,64976.8,6563.430485145197,71.8,21.415466892464018,32.9,18.021283713061806,32.9,18.021283713061806,8.3,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,6.025462,7.519642366365426E-7,100000.0,91.976,32.319404689311156,55.15314106863403,18.883946623534197,95.72418203133326,34.97568881685575,99.67816398100058,21.815608572583905,55.112106780993344,100000.0,795248.0,10.0,99860.20000000001,231.09247788132856,71789.6,7508.615543346041,75.39999999999999,21.407163909931334,34.699999999999996,17.901272456324314,34.699999999999996,17.901272456324314,8.700000000000001,0.948683298050514,0.0,0.0,0.0,0.0,1.0,0.0
