learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.028447,9.301031009604533E-8,5000.0,83.54,40.790855748394975,10.348583877995653,-59.80582524271845,90.18251222712632,49.10327767470625,84.2809364548495,77.08737864077669,63.51541448649024,5000.0,349584.0,10.0,0.9194208810838278,0.08057911891617228
10000.0,1.827923,2.1140025671571492E-7,10000.0,84.03,43.8309737887257,12.73224043715852,-55.35019455252913,90.42967579552945,51.79595532749774,84.09496210432457,83.46303501945526,64.72209767996164,10000.0,572416.0,10.0,0.9255254366767118,0.07447456332328825
15000.0,2.65073,3.816837555356323E-7,15000.0,84.13333333333334,45.43577602844163,15.000000000000016,-52.46636771300448,90.44253473616577,53.31502550019616,83.79343701168241,87.05957719410634,65.35537740036943,15000.0,799976.0,10.0,0.8838695888947032,0.11613041110529668
20000.0,3.312361,5.501369241149061E-7,20000.0,84.285,46.8723859836271,16.409574468085076,-49.52426260704097,90.49563034866492,54.6530082239215,83.60151972287406,90.104662226451,65.89882054128987,20000.0,984160.0,10.0,0.8258419512264165,0.17415804877358357
25000.0,4.009127,7.606474789666633E-7,25000.0,84.61999999999999,47.933821197445944,18.365180467091275,-46.980122324159126,90.70200469131622,55.533711113681036,83.7830593280915,91.78134556574923,66.25035941295728,25000.0,1167856.0,10.0,0.7655871593349325,0.23441284066506768
30000.0,4.726687,1.0082080280801488E-6,30000.0,85.0,49.04395898393504,20.69087063799789,-42.766497461928985,90.93801602964275,56.4881067491781,84.09937425506556,92.67131979695431,66.47757028728182,30000.0,1333600.0,10.0,0.9514762868767555,0.04852371312324455
35000.0,5.345614,1.2513115314787462E-6,35000.0,85.06857142857143,49.253854658167924,20.189370800244347,-43.45319791380725,90.98219215902816,56.62350597609562,84.07373154319609,93.631622289322,66.65308579362963,35000.0,1518288.0,10.0,0.857551233142068,0.14244876685793187
40000.0,5.844968,1.463330160315252E-6,40000.0,85.1825,49.52540209719358,20.18583355777002,-43.37203676826306,91.05695963787251,56.81602914389801,84.12981653934088,94.31543299467829,66.79170037025918,40000.0,1641224.0,10.0,0.9748951171138314,0.025104882886168595
45000.0,6.354364,1.6939966516465778E-6,45000.0,85.3,49.769437372407936,20.37794896485315,-43.11986153180447,91.13520322697364,56.98680018206645,84.21169944028927,94.80744266551277,66.89901757608293,45000.0,1750376.0,10.0,0.7535934883798072,0.2464065116201928
50000.0,7.139104,1.7950564230999185E-6,50000.0,84.6,45.127179519924084,16.304347826086964,-49.514563106796174,90.796079368874,52.876376988984084,84.70115967885816,83.72093023255815,64.88876827144593,50000.0,497800.0,10.0,0.8210007676820293,0.17899923231797057
55000.0,7.652862,1.910832347664982E-6,55000.0,83.47,39.47924471269008,10.841423948220068,-61.58357771261006,90.17766949907897,47.87133396404919,84.53654188948306,74.12109375,62.97968633604868,55000.0,871088.0,10.0,0.9587865026472405,0.041213497352759476
60000.0,8.307713,2.0861246995483007E-6,60000.0,90.0,53.665555010662466,44.44444444444447,0.19960079840317174,94.30264357338196,59.150326797385624,91.97599466548122,72.2554890219561,64.07641603730606,60000.0,1034720.0,10.0,0.9113267198052264,0.0886732801947734
65000.0,8.881605,2.2512239436329236E-6,65000.0,89.61,55.416006846453584,42.84928492849284,-2.6679841897233563,94.00634554369772,61.01313320825517,90.65420560747664,80.33596837944664,65.38160559112237,65000.0,1112032.0,10.0,0.9317631875626384,0.06823681243736156
70000.0,9.508397,2.4590438416455354E-6,70000.0,88.92,54.64967281548946,38.80706921944036,-10.066225165562907,93.55614143920596,60.50380228136882,89.43661971830986,84.30463576158941,65.90547311868326,70000.0,1281640.0,10.0,0.9548249565364015,0.04517504346359842
75000.0,9.966795,2.6274320051384467E-6,75000.0,88.67,54.36812622074325,36.792189679219,-13.640922768304858,93.39243016271068,60.28741675429372,88.93702099300233,86.25877632898697,66.18077464830502,75000.0,1419944.0,10.0,0.8460951033489993,0.15390489665100077
80000.0,10.419606,2.8171916573060055E-6,80000.0,88.644,54.89397137638471,36.43081056874161,-13.878860810268712,93.36046212493277,60.7927081894766,88.68352068245434,88.28720417168071,66.51517211398748,80000.0,1619904.0,10.0,0.8415559275028486,0.1584440724971513
85000.0,10.971119,3.0695732328461276E-6,85000.0,88.53,55.21961207994492,36.336725254394075,-14.091511936339513,93.27154338006687,61.1581442600745,88.38571005040023,89.82095490716179,66.74703457037661,85000.0,1768904.0,10.0,0.724832987190486,0.27516701280951406
90000.0,11.499034,3.330702151724448E-6,90000.0,88.37428571428572,55.14195954737412,35.63745650110727,-15.793966989186039,93.1651353031092,61.12544186490876,88.07724067839675,91.03585657370517,66.91657067799088,90000.0,1912024.0,10.0,0.9878674589523495,0.012132541047650464
95000.0,12.139295,3.6716101476074092E-6,95000.0,88.335,55.14497172056776,35.19444444444444,-16.76676676676681,93.13803347157268,61.123146142309615,87.95133874013999,91.7917917917918,67.03415743707303,95000.0,2058176.0,10.0,0.9965722632421341,0.003427736757865745
100000.0,12.676886,3.9770203470769856E-6,100000.0,88.21333333333334,55.14317041576394,34.920245398773005,-17.397078353253608,93.05213518470003,61.17130307467057,87.73775999209525,92.47454625940682,67.12158860074419,100000.0,2196008.0,10.0,0.9491682954517365,0.05083170454826346
