learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.776426,5.3972412496805186E-8,5000.0,85.58,45.11738029803774,16.26016260162603,-51.15303983228504,91.50665567204618,52.28325612177366,85.8722087110325,82.80922431865828,64.9387082235416,5000.0,268704.0,10.0,0.8732858202503074,0.12671417974969254,6831.9,84.05613203885451,20816.8,2743.009733850757,11.0,1.8856180831641267,6.0,0.9428090415820634,6.0,0.9428090415820634,3.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.583214,1.5623020460208255E-7,10000.0,86.24000000000001,48.80398900268015,22.522522522522546,-39.41236068895637,91.8550964839588,55.69864777849324,86.08676356374126,87.63931104356637,65.90259376673039,10000.0,489936.0,10.0,0.8113394325325101,0.18866056746748988,13734.800000000001,84.2177072961632,42068.0,4563.152516505327,23.8,3.293090409394258,12.4,1.646545204697129,12.4,1.646545204697129,5.8,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.235457,2.673703558391167E-7,15000.0,86.67333333333333,50.37407865591855,26.722873900293248,-33.00066533599471,92.11097517660524,57.1122076807552,86.46365859079795,88.55622089155023,66.14753953896324,15000.0,658664.0,10.0,0.9811883560162331,0.018811643983766762,20701.100000000002,104.30132629390062,58345.600000000006,13234.837691151,35.199999999999996,6.069962474714686,18.099999999999998,3.034981237357343,18.099999999999998,3.034981237357343,7.3,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.738525,3.753045439865026E-7,20000.0,86.98,51.500562176279274,29.430894308943095,-28.65612648221348,92.29175300455864,58.12158250241235,86.72118380062305,89.27865612648222,66.33246564223006,20000.0,829344.0,10.0,0.9126876062650504,0.08731239373494963,27653.4,104.43200871593164,74815.2,11864.755771237398,44.0,6.480740698407861,22.5,3.2403703492039306,22.5,3.2403703492039306,8.3,0.9486832980505141,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.226329,5.029535568567613E-7,25000.0,87.52,53.05622002737448,32.08532868959513,-23.466561139691418,92.62585677144882,59.427828348504555,87.19352111422596,90.42342698852394,66.63650427932687,25000.0,1011520.0,10.0,0.9700370983022287,0.02996290169777117,34522.2,101.0146304034997,92378.4,11866.52707033996,53.6,4.903513479582211,27.3,2.4517567397911053,27.3,2.4517567397911053,9.700000000000001,1.05934990547138,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.664095,6.321713313274084E-7,30000.0,87.69,53.58423236389359,32.46159473299197,-22.244289970208513,92.73017185377665,59.86305836322138,87.30123429333926,91.16186693147964,66.79504121280615,30000.0,1140992.0,10.0,0.9299002468801227,0.0700997531198773,41422.8,124.71549845771305,104946.4,12553.08800609989,59.199999999999996,5.116422361159972,30.099999999999998,2.558211180579986,30.099999999999998,2.558211180579986,10.200000000000001,0.9189365834726816,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.093771,7.690533304359349E-7,35000.0,87.81714285714285,53.97003796145626,32.70202020202022,-21.620079863091803,92.8087158903093,60.1718662432281,87.36584746300883,91.87107815173987,66.93969779113674,35000.0,1231424.0,10.0,0.9318034922679934,0.06819650773200657,48319.399999999994,115.0306239418218,113770.4,13374.21468681017,62.4,6.328067986711618,31.700000000000003,3.16403399335581,31.700000000000003,3.16403399335581,10.6,0.9660917830792958,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.542121,9.230071406583818E-7,40000.0,87.90249999999999,54.37821279934274,32.847626977518715,-20.91454272863577,92.85661563897787,60.526959784648014,87.36874270792822,92.70364817591205,67.09552721378681,40000.0,1327320.0,10.0,0.9909041072436335,0.009095892756366434,55117.7,159.9326594400141,122956.8,15271.245520039723,68.4,7.604092465391398,34.7,3.802046232695699,34.7,3.802046232695699,10.700000000000001,1.05934990547138,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.036476,1.1085663110411E-6,45000.0,87.80666666666667,54.34256995264144,32.525823905558305,-21.555161719096127,92.78965558023101,60.52801956693763,87.2054537370943,93.1989366415596,67.15735074782468,45000.0,1450928.0,10.0,0.9275913952146326,0.07240860478536709,62058.1,114.79687374759978,134945.59999999998,14765.161060941922,73.8,8.651268372004447,37.4,4.325634186002223,37.4,4.325634186002223,11.2,0.7888106377466154,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.664627,1.1447031032832133E-6,50000.0,83.0,38.26263800116209,7.002188183807399,-70.00000000000007,89.88576868158022,46.741854636591476,83.93333333333334,74.6,62.95501039101919,50000.0,222376.0,10.0,0.9809057970890227,0.01909420291097726,68991.9,180.88390997788775,16291.2,5247.670992396955,78.4,30.829999819800346,32.300000000000004,30.63784877855784,32.300000000000004,30.63784877855784,3.6999999999999997,1.4181364924121764,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,6.013468,1.1771539110152258E-6,55000.0,83.85000000000001,38.57059284893236,8.860045146726888,-67.3575129533678,90.48488776291758,46.646845061116615,84.99169894853348,73.16062176165804,62.87931311452748,55000.0,359584.0,10.0,0.9742923819509447,0.02570761804905524,75855.5,179.48955401359788,29494.400000000005,15202.44088003999,91.39999999999999,34.280541937891755,37.300000000000004,33.793654894241776,37.300000000000004,33.793654894241776,4.299999999999999,1.70293863659264,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,6.386397,1.2282411833459305E-6,60000.0,88.5,51.558550968828975,35.101580135440194,-19.79166666666669,93.34875650665124,57.564575645756456,89.26991150442478,81.25,65.2916364292596,60000.0,529528.0,10.0,0.9197646026521018,0.08023539734789813,82758.20000000001,192.0704731775956,45904.8,16980.7418029301,104.6,35.52213707284828,43.900000000000006,34.20997255512231,43.900000000000006,34.20997255512231,5.3,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
