learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.56597,1.2631824762870868E-6,5000.0,72.89999999999999,41.67276484008436,16.202844774273345,-29.293893129771,79.94078460399703,58.24345146379045,68.35443037974683,90.0,62.91947837906534,5000.0,3118064.0
10000.0,4.572075,6.074349598245074E-6,10000.0,73.83999999999999,43.61349551494499,20.292504570383908,-25.167464114832583,80.66232998225902,59.5797280593325,68.99342438037431,92.16061185468452,63.47322983649462,10000.0,6186552.0
15000.0,9.194982,1.712538080971067E-5,15000.0,74.62,44.96703515286645,22.46435845213849,-22.29360745261806,81.32083803542515,60.42208129743217,69.72654606647033,93.29052969502408,63.83907027861042,15000.0,9240384.0
20000.0,15.120235,3.6047682007640184E-5,20000.0,74.14500000000001,44.2380573199126,19.854308741475528,-27.0203881110292,80.95606378669025,59.74935782672998,69.00860174546368,94.23029707832065,63.8824895459985,20000.0,1.2344384E7
25000.0,23.066753,6.774489075237471E-5,25000.0,74.128,44.09974270808974,19.652173913043484,-27.57396449704141,80.97199341021417,59.595202398800595,69.05861099959856,94.04574132492114,63.85615716681511,25000.0,1.5418656E7
30000.0,33.68962,1.183551153000113E-4,30000.0,74.64333333333333,45.011962626928955,21.02367109634549,-25.05342758507319,81.39051300242188,60.22067667207028,69.55885427555927,94.62612982744454,64.06734427596554,30000.0,1.8416152E7
35000.0,45.788368,1.8579211897933647E-4,35000.0,74.88,45.106529296130844,21.11260655002243,-24.180790960451965,81.64892506783553,60.19918515165234,70.05874346299879,93.88590793561141,64.02043646340796,35000.0,2.154568E7
40000.0,61.970134,2.8898628079669343E-4,40000.0,74.595,44.713562925378824,20.172820109976442,-25.93877803941006,81.40326476831856,59.92270074144187,69.65767797300259,94.12712179407757,63.989217796258494,40000.0,2.4650832E7
45000.0,79.611342,4.1525022600213686E-4,45000.0,74.56444444444445,44.627646481789846,20.225815444661286,-26.36343563700599,81.38922311469545,59.83577794932978,69.63828603227601,94.10596026490067,63.981295371611665,45000.0,2.7666448E7
50000.0,100.993865,5.854595249702222E-4,50000.0,76.75999999999999,46.578573723315245,24.93540051679585,-21.167883211678877,83.55970571590265,60.368349249658934,73.0759712942341,92.28362877997914,64.29611187198904,50000.0,3.0769944E7
55000.0,124.36599,7.903994864439901E-4,55000.0,71.37,34.451862803421704,8.119383825417199,-48.495850622406664,79.69647542727466,51.466350228852356,69.61100099108027,78.7344398340249,60.8985715811761,55000.0,3.3894624E7
60000.0,148.525283,0.0010210757099719718,60000.0,59.56,12.844827586206895,-27.32997481108312,-102.20000000000005,70.26470588235294,36.81249999999999,59.724999999999994,58.9,54.457552276979904,60000.0,3.690804E7
65000.0,175.827564,0.001303175238485808,65000.0,60.31999999999999,16.894372873586068,-23.806552262090495,-95.75727676369021,70.28160575194727,40.312876052948255,58.84861407249466,66.10754810064134,55.891896141823636,65000.0,3.9939792E7
70000.0,203.605583,0.001612003681224539,70000.0,60.96666666666667,18.19405255625772,-23.263157894736842,-94.84193011647251,70.82274380824238,41.0550689620457,59.241350562734475,67.85357737104826,56.36819314422424,70000.0,4.2975248E7
75000.0,235.076132,0.0019870345276975857,75000.0,59.255,14.916624452128948,-29.062401013620526,-105.88681152097021,69.5261957294043,38.53985971792745,57.947886797157466,64.55280444669025,55.34001518879619,75000.0,4.606436E7
80000.0,270.903686,0.0024443623195814566,80000.0,57.732000000000006,14.617372643121135,-32.951685958731744,-112.23137176139784,67.71167537507256,38.82359752214439,55.34189101443484,67.34283992769633,55.38156980037022,80000.0,4.9341552E7
85000.0,307.669643,0.002942171784499732,85000.0,56.69,13.258399842125343,-36.48109243697479,-116.98396793587176,66.7247163674546,37.98978666539398,54.25204064634349,66.46626586506346,54.93594144806452,85000.0,5.2338304E7
90000.0,348.149478,0.0035218182811027803,90000.0,55.66,12.005759730215852,-39.6472599658058,-122.14428857715431,65.73188773820303,37.20309149030875,53.130577568358675,65.80303464071,54.528344053590295,90000.0,5.5351176E7
95000.0,388.956668,0.004138249430107262,95000.0,54.8775,11.12960680589747,-42.21889528011978,-126.66080622880823,64.96904295169146,36.61902588053517,52.24271935574492,65.477834986814,54.24955168998149,95000.0,5.8391584E7
100000.0,435.959542,0.0048848674186003655,100000.0,54.553333333333335,11.285860931102704,-42.914046121593316,-127.66336413224977,64.49294234074692,36.88547356726229,51.567315434378216,66.52565957920517,54.33529585214002,100000.0,6.1401136E7
