learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.364516,1.0312708136108185E-9,5000.0,80.42,17.998293962463134,41.447368421052644,7.554296506137873,88.75617319398185,24.2846094354215,98.04618117229128,14.825306893295561,53.12049700106044,5000.0,10936.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.577267,2.279111300077703E-9,10000.0,81.39999999999999,28.557738214811508,44.110576923076906,10.619894281595341,89.07424812030075,37.50000000000001,95.7444121732542,26.814031715521384,55.353058607627005,10000.0,22672.0,11.0,6.0,6.0,5.0,0.0,0.0,1.0
15000.0,0.723777,3.4768221403161683E-9,15000.0,82.39333333333333,37.59889429304671,46.65724096142191,14.281077572216805,89.42118966553174,47.54716981132075,93.64879603993623,38.85102239532619,57.55428273275205,15000.0,31600.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
20000.0,0.845721,4.750059060752392E-9,20000.0,83.33,44.142745275169865,48.95897121861606,18.08353808353811,89.81300415546322,54.152915291529155,92.25988700564972,48.37837837837838,59.29550265071292,20000.0,40360.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
25000.0,0.985075,6.4438782797919385E-9,25000.0,84.08,48.474639605996174,51.225490196078425,21.792100609156986,90.16458261256363,58.25466750576883,91.62272110893475,54.56867753979171,60.45481756004365,25000.0,46984.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
30000.0,1.129111,8.437853993641007E-9,30000.0,84.76666666666667,51.69706155785665,53.36734693877552,25.277959450621317,90.52574840368189,61.15266916014961,91.4126611957796,58.81294964028777,61.28327888504077,30000.0,53512.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
35000.0,1.271933,1.0545376671685113E-8,35000.0,85.1,53.2728066694498,54.15384615384614,26.383399209486164,90.69862842670375,62.570874901313424,91.08038400917037,61.533032185206096,61.7684013461528,35000.0,57040.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
40000.0,1.407893,1.292869571182463E-8,40000.0,85.505,54.55039746943386,55.005432252056494,27.840696950840073,90.95080534398801,63.59869412355601,91.1528234005944,63.03671437461108,62.086539961413024,40000.0,67760.0,31.0,16.0,16.0,10.0,0.0,0.0,1.0
45000.0,1.532448,1.525515787096487E-8,45000.0,85.88666666666667,55.81694312160236,56.0301855441706,29.652193176783353,91.18443152006441,64.63217686695997,91.30990770599355,64.2778023925565,62.367401360516475,45000.0,72200.0,33.0,17.0,17.0,11.0,0.0,0.0,1.0
50000.0,1.690699,1.9244317062613035E-8,50000.0,84.76,51.38609596410176,50.51948051948053,20.12578616352201,90.5388626769307,60.842754367934226,90.11369253583787,62.05450733752621,61.678237627497936,50000.0,97440.0,41.0,21.0,21.0,11.0,0.0,0.0,1.0
55000.0,1.845616,1.9825275265094306E-8,55000.0,82.80999999999999,40.06925609316811,46.28124999999997,14.09295352323833,89.61517549688878,50.13054830287206,92.72409051131392,43.1784107946027,58.2886140909862,55000.0,14496.0,59.0,30.0,30.0,3.0,0.0,0.0,1.0
60000.0,1.940201,2.037886660753025E-8,60000.0,82.82000000000001,40.63011970184298,46.177944862155414,12.791878172588836,89.59166363746516,50.82999427590155,92.10264075734928,45.030425963488845,58.55191429851763,60000.0,22624.0,63.0,32.0,32.0,4.0,0.0,0.0,1.0
65000.0,2.040118,2.1147914135621652E-8,65000.0,84.02,49.1722519936691,50.99662680159458,20.694789081885833,90.07083385112463,59.088581669226826,90.78156312625251,57.24206349206349,60.83248034938161,65000.0,29752.0,65.0,33.0,33.0,5.0,0.0,0.0,1.0
70000.0,2.139184,2.2205651319689218E-8,70000.0,84.79333333333334,51.90002966270274,53.24861651977864,24.570105820105812,90.53409138066979,61.3586312044723,91.08977035490605,59.867768595041326,61.43238945172721,70000.0,41272.0,71.0,36.0,36.0,7.0,0.0,0.0,1.0
75000.0,2.239587,2.3604732517980863E-8,75000.0,86.13499999999999,55.76683824709578,57.180358245830746,30.985564957690357,91.39327725876035,64.3619072098702,92.1281521807146,62.30405573525752,62.135377989510154,75000.0,53864.0,79.0,40.0,40.0,9.0,0.0,0.0,1.0
80000.0,2.341147,2.5226341864715015E-8,80000.0,86.932,57.97422110164911,59.55682099529586,34.64692938587717,91.90875993758823,66.05008833004261,92.77499999999999,63.56,62.51699768862865,80000.0,61720.0,81.0,41.0,41.0,9.0,0.0,0.0,1.0
85000.0,2.428812,2.6698480995578895E-8,85000.0,87.52,59.6401357548878,61.29032258064516,37.391304347826086,92.28645597263998,67.33554353515967,93.24701278154794,64.52098311319178,62.80286535953987,85000.0,64912.0,81.0,41.0,41.0,9.0,0.0,0.0,1.0
90000.0,2.518429,2.8318021241575477E-8,90000.0,87.9342857142857,61.04015574975654,62.595217006200166,39.65418691054583,92.53900107771948,68.48272259123814,93.52880254276633,65.5522217459637,63.06366312876418,90000.0,69856.0,83.0,42.0,42.0,9.0,0.0,0.0,1.0
95000.0,2.613858,3.0249377696050535E-8,95000.0,88.18,61.77043137572499,63.45648477353534,41.010605115408616,92.69491054046539,69.05354103940307,93.78751875937968,65.8058882235529,63.1651420846444,95000.0,78232.0,87.0,44.0,44.0,10.0,0.0,0.0,1.0
100000.0,2.702258,3.2205329777465925E-8,100000.0,88.48,62.62694917890536,64.23841059602651,42.41919360213262,92.88713262533959,69.71608832807573,94.03544838315369,66.27054642381164,63.306001849541346,100000.0,85528.0,91.0,46.0,46.0,10.0,0.0,0.0,1.0
