learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.620851,2.530129634878702E-8,5000.0,75.44,45.895981058306326,22.572509457755356,-18.647342995169126,82.0939049285506,60.91661362189688,70.99621689785624,92.46376811594203,63.92573523507538,5000.0,157528.0,10.0,0.7687191705374804,0.23128082946251946,1781.1,49.083715335242395,9992.8,331.98554185385836,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.980657,4.2190851699560884E-8,10000.0,74.22,44.790823609551104,18.366054464851157,-27.120315581854072,80.94322885866352,60.166872682323856,68.67787255393878,96.00591715976331,64.16459103619809,10000.0,181448.0,10.0,0.7647015068286057,0.23529849317139426,3498.6,54.18732939227276,12316.8,1295.644395658006,6.0,1.0540925533894598,3.5,0.5270462766947299,3.5,0.5270462766947299,2.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.336813,6.680933794006705E-8,15000.0,74.90666666666667,46.3542955016338,22.167080231596362,-21.6941480763013,81.39396935244686,61.473899692937565,69.14420089023264,97.090203685742,64.46596089720036,15000.0,267192.0,10.0,0.8824494244506604,0.11755057554933962,5333.5,71.79020360281287,20564.800000000003,2837.436589599845,10.8,1.9888578520235063,5.9,0.9944289260117531,5.9,0.9944289260117531,3.8999999999999995,0.31622776601683805,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.602586,8.747674084578951E-8,20000.0,75.63,47.342988112782194,24.104640298972285,-19.813176007866275,82.07165452806592,61.963477446542846,70.02259603314084,97.59095378564405,64.7328258727334,20000.0,300592.0,10.0,0.7977451922179409,0.2022548077820588,7003.7,63.02918195389964,23823.199999999997,3125.9031334959823,12.0,1.9436506316151,6.5,0.97182531580755,6.5,0.97182531580755,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.901672,1.1544518937874171E-7,25000.0,76.40400000000001,48.52613905310575,26.418859922664346,-16.58102766798415,82.74490303331675,62.6952507430595,70.93279839518556,97.96442687747036,64.98023262359406,25000.0,361472.0,10.0,0.6697040452712916,0.3302959547287085,8679.8,68.00620886687075,29652.8,1385.7802294896708,15.799999999999999,1.0327955589886444,8.4,0.5163977794943224,8.4,0.5163977794943224,5.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.189672,1.4744453897285792E-7,30000.0,76.98333333333333,49.45608451826914,28.356505499066216,-13.86873350923478,83.23337299371101,63.3044587341234,71.60344251336899,98.21899736147758,65.15796955761563,30000.0,429488.0,10.0,0.7970779322408111,0.20292206775918864,10390.4,71.33208721653017,36224.799999999996,1488.6376172714279,19.2,1.4757295747452437,10.1,0.7378647873726218,10.1,0.7378647873726218,5.9,0.5676462121975469,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.454085,1.796999556240108E-7,35000.0,77.75142857142858,50.685890693494926,30.479421480224982,-10.203792810642486,83.87818057597151,64.1135536199825,72.51736235412042,98.44324936314747,65.37595347627213,35000.0,471544.0,10.0,0.7257729191469428,0.2742270808530573,12113.0,75.48215388789292,40306.4,2381.1707297975177,21.000000000000004,2.1081851067789197,11.000000000000002,1.0540925533894598,11.000000000000002,1.0540925533894598,6.2,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.715849,2.1516008877091936E-7,40000.0,78.35499999999999,51.63536335199933,32.062146892655356,-7.512728175835121,84.388748647674,64.71882640586797,73.24944439227471,98.60921395753135,65.54743670613789,40000.0,523640.0,10.0,0.8796193453200682,0.12038065467993163,13796.900000000001,68.66415853024495,45313.6,3393.5002971366703,24.0,2.357022603955158,12.5,1.178511301977579,12.5,1.178511301977579,7.1,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.953062,2.5103975639575054E-7,45000.0,78.85555555555555,52.39626426939141,33.568386511205745,-5.487804878048786,84.8180237103697,65.18095656310608,73.8715953307393,98.73614190687361,65.69013191446888,45000.0,584672.0,10.0,0.7182335887307416,0.28176641126925817,15460.6,73.07104609746433,51212.799999999996,2844.1502070038423,26.999999999999996,2.3094010767585034,13.999999999999998,1.1547005383792517,13.999999999999998,1.1547005383792517,7.6,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.339696,2.808616625227862E-7,50000.0,78.06,46.78460659610864,32.074303405572735,-10.14056224899598,84.8334024609429,60.35417419588003,76.62337662337663,83.83534136546184,63.336150417600855,50000.0,298152.0,10.0,0.9288702641597762,0.07112973584022367,17175.300000000003,86.68980460366838,23512.000000000004,28289.10254261642,33.6,4.115013163202924,17.3,2.057506581601462,17.3,2.057506581601462,3.4,3.2041639575194445,0.0,0.0,0.0,0.0,1.0,0.0
