learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.435422,1.7570659013258087E-8,5000.0,74.53999999999999,44.20464666157071,20.337922403003738,-24.803921568627498,81.41334501387064,59.600126943827355,70.0502512562814,92.05882352941175,63.66103101303284,5000.0,155984.0,10.0,0.6692505949768757,0.3307494050231246,1950.8000000000002,61.43252848089156,9904.0,1073.8491514174607,5.2,0.6324555320336759,3.1,0.31622776601683794,3.1,0.31622776601683794,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.679499,3.0405336312121815E-8,10000.0,73.06,42.86600168687388,15.176322418136026,-33.697270471463995,79.98811469321052,58.794738452126026,67.4264245460238,95.38461538461539,63.79871470700629,10000.0,203264.0,10.0,0.7113676182476252,0.28863238175237466,3868.9999999999995,58.94818817308037,14468.8,2338.1579074134406,7.600000000000001,1.3498971154211057,4.3,0.674948557710553,4.3,0.674948557710553,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.934389,4.774550547616349E-8,15000.0,73.53333333333333,43.90848713475453,17.153589315525863,-30.89350478074513,80.32315622521807,59.5887622149837,67.71120581599398,96.50511045169799,64.07345711519162,15000.0,262968.0,10.0,0.7977467034594429,0.2022532965405572,5857.199999999999,63.651481609709165,20262.4,3929.656677115699,10.200000000000001,2.5298221281347035,5.6000000000000005,1.2649110640673518,5.6000000000000005,1.2649110640673518,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.154808,6.617154514210092E-8,20000.0,74.02,44.51304079695761,18.40452261306532,-30.7169811320755,80.81240768094534,59.78328173374613,68.2808112324493,97.15723270440252,64.31136057044117,20000.0,323136.0,10.0,0.8281889970074181,0.17181100299258176,7690.699999999999,59.89444418678989,26020.8,4335.657551052665,14.0,2.357022603955159,7.5,1.1785113019775795,7.5,1.1785113019775795,4.8,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.368429,8.822095920435256E-8,25000.0,74.988,46.15544318887246,21.993512974051903,-24.710809732748334,81.59095592781227,60.999189172332066,69.3335334734314,97.52692461108894,64.58723908105229,25000.0,398984.0,10.0,0.823753002865218,0.176246997134782,9671.699999999999,69.12476642516314,33308.0,4102.212736235571,18.400000000000002,2.6749870196985173,9.700000000000001,1.3374935098492586,9.700000000000001,1.3374935098492586,6.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.54212,1.0827949051848716E-7,30000.0,75.60333333333334,47.17821689999715,24.04524699045248,-21.37645107794364,82.09769341780202,61.714704189987955,70.01251564455569,97.82752902155887,64.7765475820753,30000.0,446400.0,10.0,0.8847603034346037,0.11523969656539637,11623.8,89.42756224391294,37980.0,4971.744160754855,19.4,3.0983866769659336,10.2,1.5491933384829668,10.2,1.5491933384829668,6.2,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.72774,1.3195067458475629E-7,35000.0,76.50285714285714,48.54184198981688,26.63693131132916,-17.217787913340935,82.87308925819484,62.58757164953144,71.10134362492853,98.04732041049031,65.02858295307895,35000.0,492944.0,10.0,0.8174022485600694,0.18259775143993057,13537.800000000001,93.0206667598358,42500.0,4335.408323714541,21.4,2.270584848790187,11.2,1.1352924243950935,11.2,1.1352924243950935,7.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.938752,1.627453960540394E-7,40000.0,77.38000000000001,49.88230317537486,29.190796681796854,-13.213213213213205,83.62352941176471,63.44242424242423,72.17258185453636,98.23573573573574,65.27026842105678,40000.0,564120.0,10.0,0.8197913632764487,0.18020863672355114,15401.699999999999,109.24391668799399,49357.600000000006,4887.61962513451,25.200000000000003,3.823901439919996,13.100000000000001,1.911950719959998,13.100000000000001,1.911950719959998,8.0,0.9428090415820634,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.123387,1.9157532836000125E-7,45000.0,78.04666666666667,50.92794862256505,31.204735376044564,-10.072423398328715,84.18474345633553,64.12202651171238,72.9854267869535,98.36211699164346,65.4498937696993,45000.0,603576.0,10.0,0.8464537070160563,0.1535462929839438,17282.3,87.87876750261046,53182.4,5259.8156959684,27.0,3.39934634239519,14.0,1.699673171197595,14.0,1.699673171197595,8.5,0.7071067811865475,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.495646,2.0275348788955147E-7,50000.0,74.48,38.04421312557623,22.666666666666664,-21.177587844254496,82.2974472807991,54.297994269340975,75.14568026349126,71.98480531813865,60.648677970263684,50000.0,116072.0,10.0,0.8273259609763908,0.17267403902360912,19310.899999999998,87.6704054969528,6062.4,224.91242740231138,33.8,3.7947331922020555,17.4,1.8973665961010278,17.4,1.8973665961010278,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,2.647634,2.089495968963537E-7,55000.0,72.61999999999999,36.488976058941944,16.115196078431364,-34.67781603541564,80.62004530011325,53.371934604904624,71.48236475461277,77.07820954254797,60.94271373535165,55000.0,157584.0,10.0,0.6828596504135763,0.3171403495864239,21190.500000000004,76.77854156236766,10052.0,3020.0097130086633,36.6,4.299870799092559,18.8,2.1499353995462793,18.8,2.1499353995462793,1.7000000000000002,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,2.795174,2.1522239430704052E-7,60000.0,72.18,41.28165556182184,10.025873221216049,-42.52049180327866,79.35895533461938,57.34437289175099,66.45129224652088,95.79918032786885,63.68878876505458,60000.0,164344.0,10.0,0.8438266365262105,0.15617336347378957,23075.4,108.26223307834931,10712.800000000001,2580.395008520982,41.199999999999996,4.26354052141853,21.099999999999998,2.131770260709265,21.099999999999998,2.131770260709265,2.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,2.919281,2.21711260461145E-7,65000.0,71.92,41.41961550823051,9.855537720706243,-43.77880184331798,79.02285970416854,57.5446023586332,65.72635764881323,97.43983614951357,63.868261640334076,65000.0,202104.0,10.0,0.7831107227194883,0.21688927728051172,24969.899999999994,126.99295693506676,14366.399999999998,3222.6041643366634,42.99999999999999,4.000000000000002,21.999999999999996,2.000000000000001,21.999999999999996,2.000000000000001,3.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,3.064109,2.3141673990421828E-7,70000.0,72.63333333333334,42.71550552415104,12.73384353741498,-38.21548821548822,79.55982671911566,58.60643339719673,66.40897755610973,97.84511784511784,64.08082696899822,70000.0,259040.0,10.0,0.7083051397447577,0.2916948602552422,26930.899999999998,127.63528770158672,19859.199999999997,3106.5721301782132,46.0,5.099019513592785,23.5,2.5495097567963927,23.5,2.5495097567963927,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,3.232859,2.4537784737431346E-7,75000.0,73.46000000000001,44.094791725241365,16.30400504572692,-32.99924830869455,80.23091247672255,59.634980988593156,67.2809044912237,98.24605362064645,64.32864022188525,75000.0,319800.0,10.0,0.8124418189700594,0.18755818102994046,28908.6,131.43329529122795,25714.4,3002.953331490703,49.199999999999996,4.049691346263318,25.099999999999998,2.024845673131659,25.099999999999998,2.024845673131659,4.8,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,3.419422,2.642116113007069E-7,80000.0,74.272,45.28806043731268,19.033232628398817,-29.078868151715774,80.94448065414468,60.4087159916287,68.24699005845032,98.4748143688541,64.56039893528084,80000.0,390224.0,10.0,0.6588249407895528,0.34117505921044733,30821.2,121.30109461812593,32486.399999999998,2409.958007932918,53.199999999999996,5.116422361159972,27.099999999999998,2.558211180579986,27.099999999999998,2.558211180579986,5.9,0.5676462121975467,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,3.596603,2.8458737518638377E-7,85000.0,75.14,46.63775091347374,22.166562304320593,-24.341447149049728,81.67927680062887,61.341488699979266,69.26506124489626,98.64954984994998,64.7909351481452,85000.0,444528.0,10.0,0.6099549209287761,0.39004507907122393,32766.9,123.31932352861631,37740.0,3971.207037329247,55.8,5.750362307426087,28.4,2.8751811537130436,28.4,2.8751811537130436,6.3999999999999995,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,3.777514,3.0856787128167024E-7,90000.0,76.21714285714286,48.32932867599459,25.99573257467995,-18.541726003987478,82.58577405857741,62.50450450450451,70.5482879405247,98.80375961264598,65.06766623161819,90000.0,512384.0,10.0,0.8320794565149991,0.16792054348500082,34746.9,152.8241182245491,44306.40000000001,4700.698841661735,59.0,6.182412330330471,30.0,3.0912061651652354,30.0,3.0912061651652354,7.3999999999999995,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,3.949926,3.3416684368004407E-7,95000.0,77.1075,49.661920730031326,28.32654978083906,-14.462500000000048,83.35544851404163,63.3500100060036,71.65312499999999,98.925,65.30278037725499,95000.0,573928.0,10.0,0.7474608494634126,0.25253915053658726,36635.3,160.90856616932058,50270.4,5005.545440364671,61.8,5.094659513211414,31.4,2.547329756605707,31.4,2.547329756605707,8.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
