learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.756727,1.4269921865666077E-6,5000.0,78.64,58.33187676972478,55.976916735366856,47.64705882352941,79.09980430528375,78.15950920245399,68.36941813261164,93.4931506849315,63.61261054569746,5000.0,3139928.0
10000.0,4.602156,6.019098324098935E-6,10000.0,79.01,58.96229144867217,55.98657999580625,47.261306532663326,79.91579753133674,78.01864069536076,69.41489361702128,93.49899598393574,63.818862729007684,10000.0,6238304.0
15000.0,8.964021,1.66129806080088E-5,15000.0,79.01333333333334,59.14248857235652,56.326304106548285,47.39304812834225,79.68508002065049,78.29564258135687,68.50865512649801,94.82297929191716,63.90063270782519,15000.0,9388264.0
20000.0,16.449187,4.0642267899778155E-5,20000.0,78.765,58.63510051806931,55.44014269226734,46.41009463722396,79.56306241278091,77.90207607055518,68.4864551404192,94.4129146172279,63.81601870957775,20000.0,1.2409144E7
25000.0,26.944214,8.277612964885516E-5,25000.0,78.972,59.016097447842185,55.79752795762213,47.22947199357557,79.7191466378612,78.16769799410275,68.72422508979646,94.4310656231186,63.86612770336774,25000.0,1.5518512E7
30000.0,40.747105,1.4924204618344084E-4,30000.0,79.29333333333334,59.63835550702803,56.63828005025828,48.025435073627854,80.037277459991,78.49179419707778,69.01463090223898,94.80595516895282,63.99620810469785,30000.0,1.861364E7
35000.0,57.294483,2.4257063655056682E-4,35000.0,79.10285714285715,59.30055228732406,56.279514615338634,47.47576301615799,79.83123759099935,78.3198956604221,68.69631246737222,94.84528681168784,63.94169204811914,35000.0,2.1801576E7
40000.0,79.978799,3.8824295263660243E-4,40000.0,79.03999999999999,59.16476703564128,56.15750666736391,47.3267575548156,79.78492549549115,78.23807298966932,68.71132522114706,94.66113937566736,63.90861925374668,40000.0,2.4822968E7
45000.0,105.087981,5.692232338871952E-4,45000.0,78.90222222222222,58.885361883879014,55.79251257217358,47.00826077249385,79.65891074259758,78.08706088722707,68.64844903988183,94.39732142857142,63.84468859436415,45000.0,2.786128E7
50000.0,135.158807,8.10946252827634E-4,50000.0,79.002,59.10569072883825,56.08950230029275,47.31004717454581,79.71168524995653,78.24086547429069,68.5899567675424,94.71149021575515,63.89472728310559,50000.0,3.1072416E7
55000.0,167.774576,0.0010998449701054042,55000.0,44.16,-13.97153911868977,-22.617479139218265,-41.653982749873165,51.57821713492889,34.05762871988664,49.10832232496698,36.56186612576065,46.27909583460107,55000.0,3.4238944E7
60000.0,200.749787,0.001417828779928736,60000.0,44.99,-9.928451585519579,-17.744006849315078,-38.984335522991394,50.08619907449414,38.734825704421425,45.6878000331071,43.925233644859816,47.33208047349253,60000.0,3.7275184E7
65000.0,237.069612,0.0017966346888448402,65000.0,46.18666666666667,-7.689338990243272,-13.642123046600025,-34.28714024288803,51.1084191399152,40.163083765752404,46.94036493101913,45.05988023952096,47.95837913507401,65000.0,4.0315808E7
70000.0,277.888419,0.0022558803139176137,70000.0,46.51,-7.079399665121125,-11.833577252770237,-34.0433529632878,51.51377810007253,40.354594112399646,47.28740222998835,45.339513906289156,48.12143912443743,70000.0,4.3489768E7
75000.0,319.878053,0.002762802718643637,75000.0,47.036,-5.718780334766876,-10.507427808379227,-32.60891337005509,51.65930415099851,41.43482683886948,47.122685493539365,46.90566793510915,48.48410910511002,75000.0,4.6666128E7
80000.0,363.867238,0.0033284243475425676,80000.0,47.85666666666666,-3.7285012961144814,-8.541493200111013,-29.860534617300367,51.931290907414805,43.027279018101034,47.06734250543085,49.03295426247198,49.015379415011886,80000.0,4.9702984E7
85000.0,412.792579,0.003995910560619334,85000.0,48.70285714285714,-1.77451847091789,-7.194459370708698,-28.197072474116393,52.48756218905473,44.26300757481683,47.23730589692293,50.89961445094959,49.53204022344338,85000.0,5.273644E7
90000.0,462.957046,0.004719681085333582,90000.0,49.19,-0.5526646362126244,-6.2359521195964644,-27.017061433660405,52.66443078069686,45.165119792790854,47.11225935494625,52.30596175478065,49.85434311815945,90000.0,5.5770824E7
95000.0,515.138079,0.005513610012710247,95000.0,49.544444444444444,-0.047057490530551756,-5.535930092033089,-25.90805745023011,53.17301544743952,45.306289596030155,47.80464288363124,52.14594654541421,49.987645831006446,95000.0,5.8812728E7
100000.0,570.514594,0.0063996094822590735,100000.0,49.692,0.34068083028154567,-5.233652679579966,-25.64435564435566,53.222747052478894,45.58473586293428,47.73341338937256,52.62474401878028,50.08945932233468,100000.0,6.18458E7
