learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.386721,1.7687955871224402E-9,5000.0,80.44,60.50575251079226,58.22298163178129,50.730478589420656,82.62877442273535,77.62013729977116,77.14759535655058,85.44080604534004,63.75507850396912,5000.0,17680.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
10000.0,0.57682,3.262649213688241E-9,10000.0,82.1,64.24588682884385,62.124418112568755,54.85498108448926,83.73318793166122,80.10226767452201,76.33802816901408,90.87011349306431,64.65449359133486,10000.0,30376.0,15.0,8.0,8.0,6.0,0.0,0.0,1.0
15000.0,0.710222,4.648066537661685E-9,15000.0,83.34,66.76462170452406,64.63345598641381,58.07046979865772,84.80573964856814,81.56127794584225,77.14601769911505,92.73489932885906,65.16918693446584,15000.0,40144.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
20000.0,0.858003,6.650761881222328E-9,20000.0,84.355,68.78041639521228,66.83976261127597,60.73042168674699,85.72601614889832,82.69262680457989,78.09175531914893,93.81275100401606,65.55617940422646,20000.0,52384.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
25000.0,1.01144,9.377281324317059E-9,25000.0,85.372,70.74162936977807,69.16526138279934,63.31260032102729,86.7196862403312,83.71989493834306,79.43054816391698,94.33186195826644,65.90948530412437,25000.0,68688.0,33.0,17.0,17.0,11.0,0.0,0.0,1.0
30000.0,1.161177,1.2353837705320784E-8,30000.0,86.19333333333333,72.3015138878863,70.79602340830571,65.22834116856951,87.56604226705092,84.47991606714629,80.63356921716056,94.63566151779717,66.19464304892007,30000.0,76840.0,37.0,19.0,19.0,12.0,0.0,0.0,1.0
35000.0,1.276081,1.4904544601837794E-8,35000.0,86.96000000000001,73.79137852646691,72.46123212453992,67.19614748796091,88.29923601497205,85.27456927147189,81.66642955375349,94.98310932221663,66.45478516931081,35000.0,85808.0,41.0,21.0,21.0,12.0,0.0,0.0,1.0
40000.0,1.386798,1.7585718021210697E-8,40000.0,87.4575,74.75455344802958,73.59473684210526,68.52374678461635,88.77302123660125,85.79276753603489,82.43630771788372,95.03732981993852,66.6096159608022,40000.0,93608.0,43.0,22.0,22.0,12.0,0.0,0.0,1.0
45000.0,1.494483,2.0270578604605462E-8,45000.0,87.84444444444445,75.51539594190989,74.45238428844986,69.55190648483163,89.13086674879784,86.21263295861269,82.95912705751803,95.19621486223213,66.73742239548778,45000.0,96376.0,43.0,22.0,22.0,12.0,0.0,0.0,1.0
50000.0,1.608569,2.3236158366004625E-8,50000.0,88.254,76.31497966575873,75.40001675462847,70.57910029055205,89.52166854002748,86.63739164069078,83.52087356015714,95.37621480813546,66.8762080953108,50000.0,100480.0,45.0,23.0,23.0,12.0,0.0,0.0,1.0
55000.0,1.70394,2.3642169781443145E-8,55000.0,80.74,61.17381358785894,60.107705053852534,51.99401794616152,82.76972624798711,78.16821582407619,77.40963855421687,85.6858846918489,63.85442882957801,55000.0,16456.0,55.0,28.0,28.0,3.0,0.0,0.0,1.0
60000.0,1.781668,2.4214853857540422E-8,60000.0,82.44,64.88000000000001,63.905447070914704,56.53465346534654,83.96932627350739,80.58810523988504,77.2421901242862,90.08897676717747,64.67827434530541,60000.0,28480.0,61.0,31.0,31.0,4.0,0.0,0.0,1.0
65000.0,1.853542,2.496574810602599E-8,65000.0,83.66666666666667,67.24547258900608,66.33227978562594,59.550932805018995,85.18921533067343,81.7952147421608,78.84077430905225,90.78014184397163,65.11929747644393,65000.0,40384.0,65.0,33.0,33.0,6.0,0.0,0.0,1.0
70000.0,1.930027,2.6004630273414984E-8,70000.0,84.1,68.03451082669108,67.02954898911352,60.33923671738588,85.70015289144708,82.09661074203356,79.56746826987307,90.86490528414755,65.2748752495975,70000.0,52504.0,71.0,36.0,36.0,7.0,0.0,0.0,1.0
75000.0,2.008191,2.713652559866508E-8,75000.0,84.372,68.56287386604266,67.61438992042441,60.98462152985821,85.96774772833388,82.36674640068603,79.89319092122831,91.06786427145708,65.37603826951535,75000.0,55976.0,71.0,36.0,36.0,7.0,0.0,0.0,1.0
80000.0,2.09174,2.8554416203664413E-8,80000.0,84.81666666666666,69.41445583878507,68.52542841348811,62.18347862183477,86.4009553664726,82.81456328994528,80.61730458521366,91.07128039166874,65.51499541648506,80000.0,65600.0,79.0,40.0,40.0,10.0,0.0,0.0,1.0
85000.0,2.175585,3.0124306755347385E-8,85000.0,85.28,70.3014322931421,69.478672985782,63.35182814056053,86.86116494950524,83.26620761335586,81.34314100114635,91.1405005688282,65.66651383505419,85000.0,72376.0,83.0,42.0,42.0,11.0,0.0,0.0,1.0
90000.0,2.263764,3.202810255396697E-8,90000.0,85.565,70.85551785000096,70.14786475028436,64.08757308122902,87.13400775435625,83.56016172199759,81.75280147181803,91.23352399900521,65.76213300046298,90000.0,83456.0,87.0,44.0,44.0,11.0,0.0,0.0,1.0
95000.0,2.342082,3.3984010979119277E-8,95000.0,85.91111111111111,71.54046870236515,70.78879469222265,64.83833398036715,87.46688807179854,83.91434515654335,82.04947520676482,91.68376115762045,65.9039521509115,95000.0,96536.0,93.0,47.0,47.0,11.0,0.0,0.0,1.0
100000.0,2.417689,3.6014921805924843E-8,100000.0,86.236,72.21201148910012,71.45937875834612,65.64153769345981,87.74179758469595,84.30844999771992,82.19863836603925,92.27390696745857,66.04402799146524,100000.0,103832.0,95.0,48.0,48.0,11.0,0.0,0.0,1.0
