learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.364895,2.4532156470749114E-7,5000.0,84.78,69.66544775712458,68.34442595673876,63.27220077220077,85.8418604651163,83.54594594594595,78.84483937115516,93.1533269045323,65.57403569166829,5000.0,2598784.0
10000.0,1.024056,1.1289761168758074E-6,10000.0,85.67,71.38032397872693,70.08975161761637,64.58230350963915,86.87127805771874,84.22674738580076,79.65389784946237,94.51581027667984,65.98668580216433,10000.0,5181952.0
15000.0,1.665527,2.417722825134794E-6,15000.0,86.56666666666666,73.14090735871069,71.87325516471246,66.72721268163806,87.73659545980159,85.14997420591052,80.6083650190114,95.36150544734235,66.3268178164673,15000.0,7765920.0
20000.0,2.400791,4.383790553535024E-6,20000.0,87.05000000000001,74.12848040363248,72.82551673486519,68.0246913580247,88.14102564102564,85.73788546255507,80.89594889897461,96.0873858306591,66.51754180846466,20000.0,1.033612E7
25000.0,3.133646,6.839938046087821E-6,25000.0,87.712,75.40886602596515,74.42557442557442,69.56607885872796,88.80629645824223,86.38056392977478,81.76328502415458,96.49366085578447,66.75645022766322,25000.0,1.295504E7
30000.0,4.104487,1.0730287667438387E-5,30000.0,88.16666666666667,76.28457938243149,75.37970733060546,70.7216494845361,89.2534963976509,86.83527404880219,82.48195602305152,96.54489981034057,66.90045886116778,30000.0,1.5489696E7
35000.0,5.114529,1.546208317177991E-5,35000.0,88.48285714285714,76.90618344128322,75.97878553125558,71.57464212678937,89.54480612112567,87.18079185880107,82.92261132728059,96.64386942113798,67.00120908394463,35000.0,1.8108768E7
40000.0,6.161813,2.106341517927746E-5,40000.0,88.85499999999999,77.63362778543615,76.83193015279076,72.48827450012342,89.90351949993205,87.56346593762204,83.41598722366983,96.84067629273109,67.12984871061474,40000.0,2.0674224E7
45000.0,7.299651,2.7892576874051657E-5,45000.0,89.08888888888889,78.08562563673182,77.2685185185185,73.03086894430406,90.13818590825097,87.78971451308067,83.752612720215,96.94090509666081,67.21114450313948,45000.0,2.3200072E7
50000.0,8.778177,3.7727469354536797E-5,50000.0,80.0,58.05047467565887,57.84148397976393,49.16115912557195,83.54721948009212,74.50280469148393,83.7677334213131,74.20010157440325,62.84262784840327,50000.0,2.5712424E7
55000.0,10.473488,5.016259544899273E-5,55000.0,79.02,56.30331365427307,56.49108253836582,46.89951910908631,82.51083694564856,73.7881059470265,81.84223581941458,74.70275739944347,62.558970823307604,55000.0,2.8353272E7
60000.0,12.42248,6.573849542548465E-5,60000.0,84.74000000000001,67.95132432016484,68.18181818181819,61.71600602107377,87.48154224774404,80.46094750320101,88.65979381443299,78.82589061716006,64.70813017534833,60000.0,3.089196E7
65000.0,14.274922,8.175797416974893E-5,65000.0,86.53999999999999,72.14094018407344,71.97584842806577,66.28256513026051,88.6355960824046,83.49681216282491,87.36684420772303,85.29559118236473,65.70053945556455,65000.0,3.3427672E7
70000.0,16.230542,9.9949941045764E-5,70000.0,87.49333333333334,74.34534124525197,73.87914230019493,68.67067468269873,89.24435271184498,85.0613154960981,86.36262760763427,89.19505678022712,66.24909138770535,70000.0,3.5958168E7
75000.0,18.197293,1.1960902447293823E-4,75000.0,88.06,75.61950376399436,75.03136762860728,70.1686445971268,89.62821403752606,85.93308199811499,86.01917465610671,91.11805121798876,66.54645480303505,75000.0,3.8638144E7
80000.0,20.390112,1.4305755692102016E-4,80000.0,88.512,76.57549990427927,76.01269523093627,71.23973562988184,89.99442586399107,86.51389932381667,86.02637538297589,92.24914880833165,66.75992888539268,80000.0,4.1334744E7
85000.0,22.729584,1.6960647104052206E-4,85000.0,88.84666666666666,77.29901171864907,76.75420314019729,72.14452214452214,90.24376020527176,86.98257080610021,86.02957527240382,93.06526806526807,66.9131607640963,85000.0,4.3866328E7
90000.0,25.298184,2.0044086199743052E-4,90000.0,89.0,77.63865378821284,77.08469733944409,72.51962883654532,90.35281146637266,87.20590190083745,85.89328251548356,93.65453247680229,66.99772663909684,90000.0,4.6402488E7
95000.0,28.220249,2.3742773301230744E-4,95000.0,89.2475,78.15439090901657,77.64553014553015,73.15230961298377,90.55700704766504,87.51632658984703,86.00083402835696,94.10736579275904,67.1021981422956,95000.0,4.8928296E7
100000.0,30.948608,2.7374883933169766E-4,100000.0,89.3488888888889,78.37571626774157,77.88798671341576,73.4017758046615,90.63190196040108,87.65867600484076,85.9340252038547,94.46170921198667,67.15573959384287,100000.0,5.1458832E7
