learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.788191,8.141868063145214E-8,5000.0,75.42,52.11687814201331,49.857201142390856,38.550000000000004,76.2052274927396,74.58117890382626,65.621873957986,90.10494752623688,62.39527656085493,5000.0,399296.0,10.0,0.6141988051010535,0.3858011948989464
10000.0,1.506655,2.1024989394678008E-7,10000.0,78.9,58.89012374384488,56.5038136466708,46.82459677419356,79.68810165575664,78.04827299209322,68.62875145083734,94.50743260267069,63.86238800215429,10000.0,693136.0,10.0,0.8092607912528381,0.19073920874716183
15000.0,2.301449,4.151876120641828E-7,15000.0,81.82000000000001,64.31160048089171,62.37582781456954,53.77966101694916,82.88887494509632,80.60868946881888,72.59039454885152,96.0515166920861,64.9311002603794,15000.0,996712.0,10.0,0.7804921145391746,0.21950788546082536
20000.0,3.225962,7.192806813369195E-7,20000.0,83.42500000000001,67.33272433253809,65.51186017478153,57.9741379310345,84.51730418943534,82.16687288181183,74.70894228387417,96.80567879325643,65.481795385651,20000.0,1271440.0,10.0,0.7691389835273513,0.23086101647264878
25000.0,4.202047,1.1104226730681129E-6,25000.0,84.596,69.54548559739824,67.78484189392672,61.08921895523898,85.6866753391563,83.32539510716607,76.3276387233479,97.21155789048292,65.86713835704244,25000.0,1548992.0,10.0,0.5933605511030847,0.4066394488969153
30000.0,4.829111,1.396698913714952E-6,30000.0,85.38333333333334,71.04729991278667,69.52109543337735,63.22234336995722,86.45225074921989,84.13129229544386,77.40097366674043,97.48406574974841,66.12205369929326,30000.0,1764720.0,10.0,0.6306718944948101,0.3693281055051897
35000.0,5.402357,1.691758462070591E-6,35000.0,85.97714285714285,72.16616639868755,70.69675801540389,64.63722170185171,87.07604803033495,84.6739945041219,78.28598484848484,97.68011527377521,66.32610725088954,35000.0,1989624.0,10.0,0.6681955874627671,0.33180441253723314
40000.0,6.004149,2.037755611749987E-6,40000.0,86.3375,72.84481494971197,71.50083437630371,65.47694251421352,87.45667791319516,84.99903927973428,78.82825106541438,97.80178131514118,66.45111593881542,40000.0,2222432.0,10.0,0.7001500699258065,0.29984993007419364
45000.0,6.553834,2.3781075699089303E-6,45000.0,86.76444444444445,73.65708975121518,72.30540314330884,66.58438061041294,87.88150077317489,85.42054244590229,79.47010119595215,97.88499298737729,66.58736632863051,45000.0,2393408.0,10.0,0.6860347393681423,0.31396526063185765
50000.0,7.191099,2.80302008257351E-6,50000.0,87.03,74.16316503515186,72.87518822151581,67.22926878568902,88.15113920812703,85.67452340453733,79.85104270109235,97.988883274381,66.67831843550671,50000.0,2577400.0,10.0,0.9048842798706637,0.09511572012933629
55000.0,7.910692,2.905818695192122E-6,55000.0,69.88,38.66991414765353,35.64102564102563,23.746835443037973,73.74476987447697,64.68105065666042,69.94047619047619,69.78744939271255,59.10328366156755,55000.0,552208.0,10.0,0.6317540466417485,0.36824595335825155
60000.0,8.326437,2.9914424897068076E-6,60000.0,78.9,57.32660007755639,55.3628093928496,46.82459677419356,81.32743362831857,75.74712643678161,76.18968661913446,83.01839254220206,63.088841953497706,60000.0,796104.0,10.0,0.3810583072613875,0.6189416927386124
65000.0,8.732162,3.1029609826807344E-6,65000.0,82.15333333333334,64.0479576876291,62.29046344555571,55.256560254053156,84.04933563725199,79.74578194749186,78.22759538598048,88.06818181818183,64.47785999941419,65000.0,1062472.0,10.0,0.6159626547303251,0.384037345269675
70000.0,9.171277,3.2507782934130063E-6,70000.0,83.83500000000001,67.46604659816109,66.16785265801592,59.36910896066359,85.53402836815964,81.6837572942043,79.37219730941703,90.58808745916059,65.1844085592133,70000.0,1301216.0,10.0,0.6512030804757442,0.34879691952425584
75000.0,9.600883,3.4220716396988263E-6,75000.0,84.96000000000001,69.76272203233212,68.59076100576394,62.305764411027575,86.49716296775121,83.02789563961362,80.1584132055378,92.19125902165196,65.64100704346136,75000.0,1541248.0,10.0,0.5426466277314014,0.4573533722685986
80000.0,10.052116,3.6271065655060937E-6,80000.0,85.65666666666667,71.22201965056537,70.12635379061372,64.32302462482382,87.0317350290829,83.95540475036356,80.49392351432712,93.33443873321174,65.92199220433551,80000.0,1756424.0,10.0,0.6939331290736949,0.3060668709263052
85000.0,10.521052,3.865632365764015E-6,85000.0,86.2942857142857,72.49377991955728,71.40728378136735,65.8576512455516,87.62224229131725,84.64714354296687,81.0492147596544,94.11429791473917,66.17467655274062,85000.0,1966184.0,10.0,0.5426237484153004,0.45737625158469963
90000.0,10.983017,4.124638770795944E-6,90000.0,86.6725,73.24764684926681,72.12111703796673,66.7041409031291,87.98051991973486,85.04502482677363,81.3365015841254,94.66650012490632,66.33306146052504,90000.0,2167224.0,10.0,0.5236213923358088,0.4763786076641911
95000.0,11.448886,4.4040220131807854E-6,95000.0,87.00666666666666,73.92882864606672,72.84128384969111,67.58869179600886,88.26539827804201,85.4454484355164,81.56830742980081,95.1333074663267,66.46457983319527,95000.0,2318136.0,10.0,0.5640738427743609,0.4359261572256391
100000.0,11.938735,4.720301501535707E-6,100000.0,87.3,74.52598433040744,73.5107625563157,68.39380817281369,88.5126089945367,85.80117168284065,81.79751237127189,95.49074258411308,66.57481786595156,100000.0,2495808.0,10.0,0.9065997256390921,0.09340027436090788
