learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.637863,3.582158954814076E-8,5000.0,76.55999999999999,53.70083597644146,51.1463109629012,41.83622828784118,77.97820368282599,74.94655835827277,69.53753351206434,86.95436507936508,62.548361007989136,5000.0,217080.0,10.0,0.6856986978045742,0.31430130219542596,5777.200000000001,74.93819675795065,15836.8,2045.4296370200566,7.800000000000001,1.398411797560202,4.4,0.699205898780101,4.4,0.699205898780101,3.2,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.276769,1.0284814082293047E-7,10000.0,80.32000000000001,61.297008058128114,59.330440173589594,51.5032035485461,81.23927550047667,79.30599369085172,71.7219323346238,92.90465631929047,64.15344664433749,10000.0,405520.0,10.0,0.5172866570711526,0.4827133429288473,11563.199999999999,71.55386471432253,33987.200000000004,3117.7021737883247,18.0,2.357022603955158,9.5,1.178511301977579,9.5,1.178511301977579,6.4,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.888158,1.9285515650692913E-7,15000.0,82.77333333333333,66.02360465360907,64.47621666208413,57.56281819674823,83.69716088328076,81.73851590106007,74.44444444444444,94.95894909688013,65.07752944398791,15000.0,569064.0,10.0,0.7459370359910361,0.2540629640089639,17372.7,103.96158478549253,49785.6,4732.862023483606,26.2,3.794733192202055,13.6,1.8973665961010275,13.6,1.8973665961010275,7.7,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.435124,2.9926579303625554E-7,20000.0,84.28999999999999,68.91255606623481,67.58819888590881,61.089783281733745,85.29576937476601,83.13653928724774,76.42569607514257,95.901436354631,65.63671465532336,20000.0,752016.0,10.0,0.6105438054244595,0.38945619457554065,23196.0,98.53707706013766,67455.2,6099.86048656488,35.4,3.6270588023294517,18.2,1.8135294011647258,18.2,1.8135294011647258,9.1,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.920392,4.1067227311018437E-7,25000.0,85.244,70.7520276701897,69.41634886420161,63.446294094332146,86.24585213079304,84.0847318693645,77.58771047159053,96.55206578817001,65.98101550062725,25000.0,887424.0,10.0,0.6735340006402538,0.32646599935974624,28963.899999999998,99.53609060704208,80548.8,7662.079276831091,42.0,4.921607686744467,21.5,2.4608038433722337,21.5,2.4608038433722337,9.9,1.2866839377079187,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.453868,5.522248004583848E-7,30000.0,85.97333333333333,72.16798683535195,71.04719966973992,65.39189078049182,86.93573424402359,84.8578625404822,78.48094170403587,96.9654605263158,66.22809113781547,30000.0,1025664.0,10.0,0.3680356653076438,0.6319643346923561,34669.4,143.0898707495058,93912.0,6419.5645404411125,48.800000000000004,4.565571644870381,24.900000000000002,2.2827858224351907,24.900000000000002,2.2827858224351907,10.8,1.2292725943057183,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.881819,6.790617850981653E-7,35000.0,86.54571428571428,73.26072116669728,72.17396442711103,66.73495337666007,87.53012207716547,85.39256134255669,79.29280813702442,97.22398813307905,66.42981188256208,35000.0,1145656.0,10.0,0.6200424331370422,0.3799575668629578,40493.5,142.6170084916634,105581.6,9207.379494490033,53.60000000000001,5.891613625409521,27.300000000000004,2.9458068127047605,27.300000000000004,2.9458068127047605,11.1,1.1972189997378648,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.269488,8.071540939124922E-7,40000.0,86.9875,74.11580072574023,73.00591224976661,67.82071097372487,87.96670905097676,85.83480745679685,79.85644728005373,97.49010880316519,66.58576350903002,40000.0,1277216.0,10.0,0.6650080969200073,0.3349919030799927,46269.2,170.19126495407087,118287.2,10821.612252032197,60.2,6.545566777937908,30.6,3.272783388968954,30.6,3.272783388968954,11.7,1.2516655570345727,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.64341,9.404827998061147E-7,45000.0,87.30666666666667,74.72537165444216,73.64219463799547,68.49942094523796,88.3075411446819,86.11840186643336,80.28735204347502,97.70596669240102,66.7070683540875,45000.0,1378304.0,10.0,0.5334854036476543,0.46651459635234566,52095.8,138.31911573523624,128072.8,10630.19929571721,65.0,7.241853660800142,33.0,3.6209268304000712,33.0,3.6209268304000712,12.299999999999999,1.159501808728406,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.165265,9.685528859020107E-7,50000.0,84.08,67.79254123809031,65.93923833975181,59.87903225806451,85.9164897381458,81.69273229070836,80.58413541320942,89.38097634625063,65.18533419402328,50000.0,207920.0,10.0,0.7114985835713775,0.28850141642862237,57935.200000000004,185.73086861250442,14934.4,5829.3623665028745,76.6,5.316640543300501,38.8,2.6583202716502505,38.8,2.6583202716502505,2.5999999999999996,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,5.528046,1.0114461179532937E-6,55000.0,82.13000000000001,63.89011051363984,62.019128586609995,54.82810920121335,84.16762647293345,79.4904166188454,78.62936599900678,87.47158373326597,64.44007870344991,55000.0,457032.0,10.0,0.6440069483834451,0.3559930516165548,63722.200000000004,185.22286875845316,38847.2,11486.432235951734,93.6,7.306009702825324,47.3,3.653004851412662,47.3,3.653004851412662,5.1,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,5.810231,1.0548165781237183E-6,60000.0,87.12,73.99921610058976,72.6655348047538,67.25978647686833,88.58156028368795,85.22935779816514,82.41504453975585,94.36262061960386,66.47888107499999,60000.0,594104.0,10.0,0.48992340331679296,0.5100765966832072,69566.59999999999,201.27604041327336,52165.600000000006,15570.731312305146,103.2,7.146094504459529,52.1,3.5730472522297645,52.1,3.5730472522297645,5.9,1.1972189997378648,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,6.068891,1.1054106050916014E-6,65000.0,88.07000000000001,75.96920061273906,75.2848560182308,69.67463141840366,89.37761552844805,86.39525601550918,82.76715039577837,96.23983739837398,66.89674651919783,65000.0,756088.0,10.0,0.6043548397902929,0.3956451602097072,75413.7,239.5226966744954,67779.2,17622.67799550719,111.79999999999998,7.554248252914823,56.39999999999999,3.7771241264574114,56.39999999999999,3.7771241264574114,6.4,1.1737877907772671,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,6.34652,1.1709716251306233E-6,70000.0,88.72666666666666,77.31751180374687,76.69836020394102,71.62751677852349,89.90869487378409,87.2309899569584,83.34808585970347,96.88024152968802,67.12457213818787,70000.0,912816.0,10.0,0.44757522667597754,0.5524247733240226,81198.8,236.5017265616986,82834.4,19502.413589661723,121.0,7.601169500660921,61.0,3.8005847503304606,61.0,3.8005847503304606,7.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,6.62382,1.2476173404997417E-6,75000.0,88.97,77.82780871208315,77.11618257261411,72.335089039378,90.09607614258776,87.55500394900147,83.44976713240186,97.29187562688064,67.22009423514714,75000.0,1068416.0,10.0,0.6245734297847969,0.37542657021520315,86944.70000000001,230.13283603653645,97980.0,21040.462436827656,127.0,9.043106644167024,64.0,4.521553322083512,64.0,4.521553322083512,7.5,0.7071067811865476,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,6.897032,1.3325138008904949E-6,80000.0,89.244,78.38690243651321,77.61777925753289,73.09654827413708,90.32559812915991,87.89011483900023,83.66993268013064,97.60928278483544,67.31998504622645,80000.0,1201136.0,10.0,0.7615604330907472,0.2384395669092528,92721.79999999999,232.82649715566808,110857.59999999999,21618.29473797084,132.79999999999998,9.354737361952559,66.89999999999999,4.677368680976279,66.89999999999999,4.677368680976279,7.800000000000001,0.632455532033676,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,7.174574,1.4267824434054389E-6,85000.0,89.38000000000001,78.65306037123575,77.86423956089766,73.37901069518718,90.46164900305371,88.02165576359124,83.7936772046589,97.79448621553884,67.37732619735621,85000.0,1312928.0,10.0,0.5290913655668309,0.4709086344331691,98541.8,254.43654524371195,121696.8,22852.811958268943,137.8,9.942054337230534,69.4,4.971027168615267,69.4,4.971027168615267,8.3,0.6749485577105531,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,7.458108,1.5314946097735724E-6,90000.0,89.65714285714286,79.21672116516986,78.42798402955724,74.17421702218735,90.69265182290329,88.36237381855591,84.06177017301368,98.03124331264712,67.4709221601537,90000.0,1427560.0,10.0,0.5229530474577309,0.47704695254226914,104292.1,273.78517531492236,132767.19999999998,23013.99626700625,143.6,10.751744044572488,72.3,5.375872022286244,72.3,5.375872022286244,9.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,7.752304,1.6507222615451444E-6,95000.0,89.7675,79.44590302536874,78.68895136936374,74.55235016165133,90.77259508082152,88.51667929186657,84.18499623651418,98.06664180032327,67.50030333947349,95000.0,1566544.0,10.0,0.6988297370503886,0.3011702629496115,109999.6,314.73099624917785,146186.4,24284.91447243192,150.6,11.692352676476668,75.8,5.846176338238334,75.8,5.846176338238334,9.3,0.9486832980505137,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,8.0517,1.7808957229989266E-6,100000.0,89.83777777777779,79.60091703357062,78.87271887271888,74.81828193832601,90.81081081081082,88.63427364235119,84.19405320813772,98.17751348970378,67.52250859858539,100000.0,1680656.0,10.0,0.5592269518343538,0.44077304816564633,115711.4,334.52726180221885,157260.8,25650.038651909363,155.6,11.739770961233537,78.3,5.869885480616769,78.3,5.869885480616769,9.700000000000001,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
