learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.395069,1.1125181640560428E-6,5000.0,78.86,30.662699287341084,-22.906976744186036,-122.05882352941191,87.15518288978005,40.316205533596836,79.26613616268789,75.0,62.10195974417553,5000.0,3082576.0
10000.0,3.600844,4.6113313583305316E-6,10000.0,77.10000000000001,32.528058162817416,-29.524886877828077,-132.9603255340792,85.7017982017982,42.52008032128515,76.111788843296,86.1648016276704,63.69391463691143,10000.0,6131432.0
15000.0,6.586364,1.1688313446551975E-5,15000.0,77.02,34.02035365856087,-26.356304985337275,-129.34131736526956,85.54292664513694,44.0149423420497,75.55753130325257,90.15302727877578,64.36430660351053,15000.0,9162848.0
20000.0,10.622418,2.4417495082453305E-5,20000.0,76.485,34.067624382905635,-27.52169197396961,-132.4765200197727,85.10341769345285,44.20453197295053,74.72882015909217,92.0909540286703,64.57936477462488,20000.0,1.2191184E7
25000.0,16.023591,4.5730922169925434E-5,25000.0,76.62,34.43271766152532,-27.231171092729628,-131.30193905817185,85.19015886690146,44.50773758663249,74.80532194188582,92.7582113177681,64.72316688397864,25000.0,1.5253432E7
30000.0,22.472292,7.615077830985603E-5,30000.0,76.78333333333333,34.765204062683864,-27.42407610684226,-130.6291390728476,85.30373683877367,44.752915047196,74.92216456634544,93.41059602649007,64.87155782637632,30000.0,1.8234224E7
35000.0,30.16082,1.1870094978606121E-4,35000.0,76.52571428571429,34.45329693693617,-29.67171717171717,-134.40798858773192,85.11702050576045,44.47147877804812,74.59596761390696,93.86590584878745,64.89643161659477,35000.0,2.1392448E7
40000.0,39.698077,1.7882836156010422E-4,40000.0,76.69500000000001,34.83064004221704,-29.328523862375107,-132.87534349238064,85.23083747900758,44.781424001895516,74.72289357446455,94.42917811641269,65.02923798009577,40000.0,2.4369768E7
45000.0,50.209044,2.5329557446091336E-4,45000.0,76.48,34.65922355451635,-30.20051666871688,-134.52249058276092,85.06561309439819,44.67328802927339,74.45105836441327,94.6820296920009,65.02558882017412,45000.0,2.738576E7
50000.0,62.268966,3.4855754726782653E-4,50000.0,76.52,34.634623536142925,-30.357539418165715,-135.36487570168413,85.10265715808441,44.6069642351609,74.49791166799965,94.76744186046511,65.05100950955041,50000.0,3.053356E7
55000.0,81.079322,3.9404143660048854E-4,55000.0,97.72,0.0,-Infinity,-Infinity,98.84685413716366,?,97.72,?,?,55000.0,9346800.0
60000.0,81.843191,3.964735254853178E-4,60000.0,98.86,0.0,-Infinity,-Infinity,99.42673237453485,?,98.86,?,?,60000.0,1.2307304E7
65000.0,82.713824,3.9991234548255396E-4,65000.0,99.24,0.0,-Infinity,-Infinity,99.6185504918691,?,99.24,?,?,65000.0,1.5267808E7
70000.0,83.752053,4.048081630931009E-4,70000.0,99.42999999999999,0.0,-Infinity,-Infinity,99.71418542847114,?,99.42999999999999,?,?,70000.0,1.8227808E7
75000.0,85.190258,4.1269158523705486E-4,75000.0,99.544,0.0,-Infinity,-Infinity,99.77147897205629,?,99.544,?,?,75000.0,2.1188312E7
80000.0,86.755578,4.224704297762965E-4,80000.0,99.62,0.0,-Infinity,-Infinity,99.80963831279432,?,99.62,?,?,80000.0,2.4148312E7
85000.0,88.648932,4.357484072118481E-4,85000.0,99.67428571428572,0.0,-Infinity,-Infinity,99.83687720001144,?,99.67428571428572,?,?,85000.0,2.7108312E7
90000.0,90.547235,4.505147250233674E-4,90000.0,99.715,0.0,-Infinity,-Infinity,99.857296647723,?,99.715,?,?,90000.0,3.0068312E7
95000.0,92.954506,4.71083840621416E-4,95000.0,99.74666666666666,0.0,-Infinity,-Infinity,99.87317268540151,?,99.74666666666666,?,?,95000.0,3.3028816E7
100000.0,95.440468,4.942289732680512E-4,100000.0,99.772,0.0,-Infinity,-Infinity,99.8858698916765,?,99.772,?,?,100000.0,3.5988816E7
