DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,4.876145029,3.309461235721142E-6,5000.0,90.02,0.0,43.74295377677565,0.0,94.74792127144511,?,100.0,0.0,?,5000.0,2623704.0
10000.0,8.291835029,3.5388616241829903E-6,10000.0,90.12,0.0,43.54285714285716,0.0,94.80328213759731,?,100.0,0.0,?,10000.0,259608.0
15000.0,19.052471555,4.306696162866758E-6,15000.0,84.86,20.67656913691919,14.04239212717641,-53.34233625928424,91.52517072806658,29.09772088666875,90.70937199497004,31.465226198514518,55.2663094012719,15000.0,275824.0
20000.0,35.692628747,5.560707613062021E-6,20000.0,82.075,24.23846341994211,-1.673284174702217,-81.24368048533877,89.6354332302177,33.74607281463685,86.0170902230607,46.1577350859454,57.48365535284924,20000.0,291304.0
25000.0,50.77340927,6.717334843866298E-6,25000.0,80.58,26.597003074924835,-8.856502242152487,-95.29364440868875,88.53898633176742,36.44456080638827,83.29483876698943,55.99356395816572,59.01025392360958,25000.0,296464.0
30000.0,65.644696507,7.897598127558756E-6,30000.0,79.57666666666667,27.718694892435693,-14.395070948469039,-105.67304464585425,87.78533123342837,37.72741132228886,81.48107027867214,62.302786169855665,59.95495318331251,30000.0,306784.0
35000.0,79.22953582,9.048383882346188E-6,35000.0,78.49428571428572,27.68524534263831,-20.489835120858025,-116.54200230149601,86.9939349955938,37.93188752370743,79.85344499429007,66.16800920598389,60.419668610534835,35000.0,327448.0
40000.0,92.758166637,1.0230526779388648E-5,40000.0,77.99249999999999,28.20627626229785,-23.187797369157597,-121.73803526448377,86.59815787470504,38.50506461753406,78.93699694698863,69.42065491183878,60.90107795819944,40000.0,337768.0
45000.0,106.155770989,1.1454956872268049E-5,45000.0,77.48,28.547954134251324,-26.29611166500498,-127.06699529464474,86.19571732141885,38.90764408005787,78.04968300564916,72.30562401971767,61.30972741445008,45000.0,353272.0
50000.0,119.981776286,1.2755451813723159E-5,50000.0,77.008,28.769846928929045,-28.489996646920773,-130.7507025291049,85.82211040402547,39.22605201945443,77.2890843662535,74.46808510638297,61.594879956177465,50000.0,363592.0
55000.0,130.730903471,1.3780879916106736E-5,55000.0,85.8,0.0,-70900.00000000783,-Infinity,92.35737351991388,?,85.8,?,?,55000.0,368752.0
60000.0,148.48607585,1.5474659551117285E-5,60000.0,92.9,0.0,-70900.00000000777,-Infinity,96.31933644375324,?,92.9,?,?,60000.0,368752.0
65000.0,163.052447904,1.6864239095286236E-5,65000.0,95.26666666666667,0.0,-70900.00000000783,-Infinity,97.57596449300104,?,95.26666666666667,?,?,65000.0,368752.0
70000.0,175.334899463,1.803594083236672E-5,70000.0,96.45,0.0,-70900.00000000777,-Infinity,98.19292440824637,?,96.45,?,?,70000.0,368752.0
75000.0,187.340153267,1.9181198899835473E-5,75000.0,97.16,0.0,-70899.99999992894,-Infinity,98.55954554676404,?,97.16,?,?,75000.0,368752.0
80000.0,201.568113337,2.053849515694264E-5,80000.0,97.63333333333334,0.0,-70900.00000000767,-Infinity,98.80249620509362,?,97.63333333333334,?,?,80000.0,368752.0
85000.0,211.289309612,2.1465862344771812E-5,85000.0,97.97142857142858,0.0,-70900.0000001259,-Infinity,98.9753211141579,?,97.97142857142858,?,?,85000.0,368752.0
90000.0,225.369439166,2.2809056101937608E-5,90000.0,98.225,0.0,-70899.99999985035,-Infinity,99.10455290705006,?,98.225,?,?,90000.0,368752.0
95000.0,236.99215767,2.3917821676572046E-5,95000.0,98.42222222222222,0.0,-70899.99999988958,-Infinity,99.20483816776795,?,98.42222222222222,?,?,95000.0,368752.0
100000.0,250.823943691,2.5237324353206317E-5,100000.0,98.58,0.0,-70899.99999992894,-Infinity,99.28492295296606,?,98.58,?,?,100000.0,368752.0
