learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.547387,2.3604589063260292E-8,5000.0,90.02,0.0,43.74295377677565,0.0,94.74792127144511,?,100.0,0.0,?,5000.0,166688.0,10.0,4983.3,68.98478093028926,11012.8,141.2175626471438,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.075135,6.000534761283133E-8,10000.0,90.12,0.0,43.54285714285716,0.0,94.80328213759731,?,100.0,0.0,?,10000.0,266616.0,10.0,9980.100000000002,62.197624106105835,20584.0,1010.3042446048948,11.2,1.1352924243950935,6.1,0.5676462121975467,6.1,0.5676462121975467,4.1,0.3162277660168379,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.540668,1.0623937099965082E-7,15000.0,90.12666666666667,0.0,43.9439818319455,0.0,94.80697079140222,?,100.0,0.0,?,15000.0,383896.0,10.0,15012.599999999999,85.42599136094356,31972.0,1521.7685617581785,16.200000000000003,1.3984117975602024,8.600000000000001,0.6992058987801012,8.600000000000001,0.6992058987801012,4.8,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.979699,1.615762113717695E-7,20000.0,90.115,0.09107529797563513,43.93079977311402,0.05055611729018655,94.80024197154205,0.1010611419909045,100.0,0.05055611729019212,?,20000.0,487216.0,10.0,20015.699999999997,77.68747932868267,42018.4,4000.439175890567,20.4,2.3190036174568114,10.7,1.1595018087284057,10.7,1.1595018087284057,6.1,0.5676462121975469,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.348587,2.1380630198659167E-7,25000.0,90.092,0.650169038302657,44.46188340807178,0.36202735317782286,94.7858120197874,0.7214428857715431,100.0,0.36202735317779566,?,25000.0,547304.0,10.0,24972.3,79.35580914113629,47836.799999999996,3295.325065739173,23.2,2.2010098692292237,12.1,1.1005049346146119,12.1,1.1005049346146119,6.7,0.6749485577105528,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.750057,2.792633914802637E-7,30000.0,90.25333333333333,3.2773561507033575,45.40702016430169,1.8462571332662159,94.86711371695397,3.6255767963085037,100.0,1.8462571332661968,?,30000.0,630240.0,10.0,29947.7,105.47885517433784,55844.799999999996,4609.103571556331,27.4,3.0983866769659336,14.2,1.5491933384829668,14.2,1.5491933384829668,7.3999999999999995,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.148076,3.518845214301513E-7,35000.0,90.72,11.225606408449078,48.007043380822786,6.559263521288821,95.10076022686135,12.311015118790499,100.0,6.559263521288838,?,35000.0,705280.0,10.0,34964.7,95.31357604128526,63144.8,5243.285755240802,30.400000000000002,3.5339622081862854,15.700000000000001,1.7669811040931427,15.700000000000001,1.7669811040931427,8.0,0.9428090415820634,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.523812,4.258981270280977E-7,40000.0,91.215,18.94791907893088,50.82563671984327,11.486146095717856,95.3502527324212,20.605512878445552,100.0,11.486146095717883,?,40000.0,761432.0,10.0,39927.5,131.33946686185203,68584.79999999999,5701.47608178015,33.0,3.7712361663282534,17.0,1.8856180831641267,17.0,1.8856180831641267,8.7,1.1595018087284057,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.920321,5.11354750274784E-7,45000.0,91.60444444444444,24.67100423321399,52.916251246261204,15.348420345059399,95.54733169903827,26.669254658385093,99.99506623578459,15.393233251176339,53.70947297427171,45000.0,833096.0,10.0,44919.2,112.1752597005638,75479.20000000001,7219.09512335168,37.0,4.0,19.0,2.0,19.0,2.0,9.4,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,4.264183,5.905196710220641E-7,50000.0,91.91,29.474050139769293,54.78931485414107,18.8077077478924,95.70033058026934,31.706905284484215,99.99555733262251,18.847852268165397,54.50766221385482,50000.0,889920.0,10.0,49915.3,145.87365156950807,81015.2,7005.974796161092,39.2,4.4671641514002545,20.1,2.2335820757001272,20.1,2.2335820757001272,9.6,1.1737877907772671,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,4.682599,6.925483562341994E-7,55000.0,95.22,0.0,-23800.00000000261,-Infinity,97.5514803811085,?,95.22,?,?,55000.0,942576.0,10.0,54895.799999999996,133.27815524933845,86108.8,7575.6195610216155,41.0,3.39934634239519,21.0,1.699673171197595,21.0,1.699673171197595,9.6,1.1737877907772671,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,5.075945,7.854265457640091E-7,60000.0,97.41,0.0,-25800.00000000289,-Infinity,98.68800972595106,?,97.41,?,?,60000.0,912728.0,10.0,59897.6,142.66915885673762,83180.79999999999,8924.329950571455,40.300000000000004,5.578729445153458,19.6,4.812021982031623,19.6,4.812021982031623,9.4,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,5.424994,8.718335138592454E-7,65000.0,98.27333333333334,0.0,-25800.00000000283,-Infinity,99.1291483137756,?,98.27333333333334,?,?,65000.0,956896.0,10.0,64919.7,169.8084214637199,87479.2,10028.098089313291,42.0,5.617433182117573,20.3,4.877385456255111,20.3,4.877385456255111,9.5,1.2692955176439846,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,5.755301,9.561705780215562E-7,70000.0,98.705,0.0,-25800.00000000289,-Infinity,99.34828011373644,?,98.705,?,?,70000.0,986968.0,10.0,69921.3,163.5019877555015,90410.4,9826.319704412907,43.1,5.606543795720616,20.700000000000003,4.854551129266913,20.700000000000003,4.854551129266913,9.6,1.2649110640673518,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,6.095258,1.0459068932384253E-6,75000.0,98.964,0.0,-25799.99999997419,-Infinity,99.47930278844413,?,98.964,?,?,75000.0,1020344.0,10.0,74902.79999999999,168.76992886438492,93654.40000000001,11010.476982300892,44.5,6.222718234198156,21.4,5.146735750831676,21.4,5.146735750831676,9.7,1.3374935098492589,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,6.420213,1.1349658374074434E-6,80000.0,99.13666666666666,0.0,-25800.000000002994,-Infinity,99.56646189384175,?,99.13666666666666,?,?,80000.0,1059392.0,10.0,79908.4,164.31555008580364,97476.0,10713.136940742945,45.7,5.907622195096771,22.0,5.033222956847166,22.0,5.033222956847166,9.899999999999999,1.3703203194062974,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,6.798014,1.241984368748963E-6,85000.0,99.26,0.0,-25800.00000004585,-Infinity,99.62862591588879,?,99.26,?,?,85000.0,1094960.0,10.0,84894.7,178.90844958618806,100937.6,11363.897797655325,47.1,7.01506315802724,22.7,5.538752366533259,22.7,5.538752366533259,9.999999999999998,1.4142135623730947,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,7.147483,1.3438798358726006E-6,90000.0,99.35249999999999,0.0,-25799.99999994538,-Infinity,99.67519845499805,?,99.35249999999999,?,?,90000.0,1127064.0,10.0,89911.5,189.59445022351193,104093.6,11586.592128644019,47.9,6.454111523328022,23.1,5.2588549662027715,23.1,5.2588549662027715,10.099999999999998,1.1972189997378644,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,7.519376,1.4566306089961696E-6,95000.0,99.42444444444445,0.0,-25799.999999959535,-Infinity,99.71139167158823,?,99.42444444444445,?,?,95000.0,1171936.0,10.0,94896.0,216.497882976568,108364.79999999999,11981.717153878888,51.1,6.723920813863821,24.7,5.355163655555055,24.7,5.355163655555055,10.299999999999999,1.0593499054713806,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,7.86901,1.5665222576653794E-6,100000.0,99.482,0.0,-25799.99999997391,-Infinity,99.74032744809055,?,99.482,?,?,100000.0,1214936.0,10.0,99860.20000000001,231.09247788132856,112540.8,11847.98601544677,52.900000000000006,6.3148854128778735,25.6,5.103375789067902,25.6,5.103375789067902,10.299999999999999,1.0593499054713806,0.0,0.0,0.0,0.0,1.0,0.0
