learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.263527,3.496049225951235E-8,5000.0,89.86,0.19527866580569378,43.09764309764308,-0.5952380952381398,94.65809714466337,0.3929273084479371,99.91103202846975,0.1984126984126984,50.02735369947187,5000.0,512808.0
10000.0,0.495622,9.52044190155963E-8,10000.0,89.74,0.01615723307095576,43.50220264317179,-0.6869479882237821,94.59203036053133,0.19455252918287938,99.9109230597929,0.09813542688910697,50.00226457038771,10000.0,1003344.0
15000.0,0.70804,1.779222831192116E-7,15000.0,89.88000000000001,5.71022520224485,44.75982532751095,1.4285714285714874,94.64965458903144,6.756756756756756,99.75482912332838,3.571428571428571,50.824762098498056,15000.0,1505256.0
20000.0,0.963225,3.0907021732586956E-7,20000.0,90.52,20.612539575967993,48.673524634542495,8.272859216255494,94.94777232999361,23.300970873786405,99.34757151619918,13.933236574746008,53.2167285942459,20000.0,1986592.0
25000.0,1.191005,4.573339404807323E-7,25000.0,91.116,28.20473379905723,51.569995638901,12.867791290702248,95.25092479739988,31.302196102691,99.20716226448711,19.850921930168695,54.5568703727257,25000.0,2516064.0
30000.0,1.415108,6.29344317952378E-7,30000.0,91.43,33.38974435237786,53.440782325244484,16.25407166123783,95.4037577989524,36.721634260398716,99.08280727812848,24.299674267100976,55.538833608842886,30000.0,2966944.0
35000.0,1.656168,8.460386715146403E-7,35000.0,91.66571428571429,35.824649017182686,54.450343535290436,18.061797752809003,95.52627946566878,39.19116114238065,99.05534351145037,26.40449438202247,56.004427926163316,35000.0,3474760.0
40000.0,1.920415,1.1186848616455164E-6,40000.0,91.89,38.062511937262336,55.69516525539474,20.27525190464489,95.64353244520842,41.40173410404625,99.10662102362862,28.164168100270338,56.407177983812254,40000.0,3988336.0
45000.0,2.19898,1.4391652545188035E-6,45000.0,92.16222222222223,40.752368874948765,57.10289467282901,22.87338727312483,95.78588924069538,44.060269627279936,99.1515571276622,30.37393396020118,56.90463317864886,45000.0,4447104.0
50000.0,3.032653,1.6600994477897053E-6,50000.0,95.34,62.71212480075794,66.37806637806638,37.700534759358305,97.50294716536277,65.17189835575485,98.33549502810203,58.288770053475936,62.57480824612609,50000.0,1024400.0
55000.0,3.185412,1.6968551514690947E-6,55000.0,95.62,59.079761765736315,54.18410041841011,13.948919449901773,97.6783631930457,61.37566137566136,97.08144558002319,68.36935166994105,64.31383934464732,55000.0,930080.0
60000.0,3.331105,1.7419822952751483E-6,60000.0,96.22,0.0,-Infinity,-Infinity,98.07359086739373,?,96.22,?,?,60000.0,1197296.0
65000.0,3.4667,1.7990208163277968E-6,65000.0,97.13000000000001,0.0,-Infinity,-Infinity,98.54410794906914,?,97.13000000000001,?,?,65000.0,1626024.0
70000.0,3.619443,1.8734317821388442E-6,70000.0,97.98666666666666,0.0,-Infinity,-Infinity,98.98309650481514,?,97.98666666666666,?,?,70000.0,1883120.0
75000.0,3.77531,1.9672957615181804E-6,75000.0,98.46000000000001,0.0,-Infinity,-Infinity,99.22402499244181,?,98.46000000000001,?,?,75000.0,2327808.0
80000.0,3.938764,2.0845041873264645E-6,80000.0,98.752,0.0,-Infinity,-Infinity,99.37208179037191,?,98.752,?,?,80000.0,2771824.0
85000.0,4.10358,2.2216539741431676E-6,85000.0,98.96000000000001,0.0,-Infinity,-Infinity,99.47728186570166,?,98.96000000000001,?,?,85000.0,3216608.0
90000.0,4.328275,2.4343252403082122E-6,90000.0,99.10857142857142,0.0,-Infinity,-Infinity,99.55229020778327,?,99.10857142857142,?,?,90000.0,3658624.0
95000.0,4.565616,2.686316927878393E-6,95000.0,99.22,0.0,-Infinity,-Infinity,99.60847304487501,?,99.22,?,?,95000.0,4104080.0
100000.0,4.825211,2.991727885245863E-6,100000.0,99.30666666666667,0.0,-Infinity,-Infinity,99.65212737489966,?,99.30666666666667,?,?,100000.0,4547688.0
