learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.201622,1.3748239524248572E-7,5000.0,83.14,41.136941031364586,1.9767441860465516,-77.10084033613451,89.89572096368212,49.12492456246228,82.89124668435012,85.50420168067227,64.88363591172708,5000.0,442264.0,10.0,0.9610326900782447,0.038967309921755455
10000.0,2.151237,3.1034680617559287E-7,10000.0,84.16,45.0273756034408,10.407239819004511,-61.13936927772116,90.4887714663144,52.65989240884639,83.56437839636243,89.6236012207528,65.80045205337028,10000.0,703656.0,10.0,0.9541913882382315,0.04580861176176845
15000.0,2.896215,4.84705556322717E-7,15000.0,84.84,47.28293854266305,16.642228739002935,-51.29740518962078,90.89744616123609,54.6831406935034,84.12239756983033,91.28409846972721,66.22055874869177,15000.0,904696.0,10.0,0.9461486240578617,0.05385137594213832
20000.0,3.621999,6.940363614654375E-7,20000.0,85.115,48.467850707087884,19.278741865509744,-47.15768660405348,91.05226774067506,55.75865656115322,84.25766256883796,92.73356401384083,66.51902483174997,20000.0,1114880.0,10.0,0.8907309832374385,0.10926901676256152
25000.0,4.362918,9.367184601806932E-7,25000.0,85.676,49.92505286437757,22.050500653025683,-41.709537000395834,91.40773088274108,56.974648564219635,84.7594891647755,93.82667194301544,66.8180666264355,25000.0,1266104.0,10.0,0.8191941272916041,0.180805872708396
30000.0,5.051953,1.1895038060823249E-6,30000.0,85.84333333333333,50.38754642917276,22.30150018294918,-40.629139072847615,91.51329856323561,57.346590338455364,84.8702742772424,94.5364238410596,66.9713927954134,30000.0,1418120.0,10.0,0.8509244892628486,0.14907551073715125
35000.0,5.639951,1.4253838406109977E-6,35000.0,85.99142857142857,50.74290508962521,22.616792929292945,-39.885877318117025,91.60890623128132,57.61950038897052,84.9785680266709,95.09272467902996,67.09532262119708,35000.0,1550664.0,10.0,0.7979118092377899,0.20208819076221007
40000.0,6.121395,1.6361760890090631E-6,40000.0,86.09,51.0935270678935,22.807991120976702,-38.995753185111134,91.66791458264697,57.91862048101649,85.02652998861016,95.65326005495878,67.20859134879427,40000.0,1692432.0,10.0,0.9076344281071121,0.09236557189288777
45000.0,6.610976,1.8661743943103485E-6,45000.0,85.98222222222222,51.0026171879705,22.401279370156278,-39.77398626191002,91.592472143733,57.868020304568525,84.86674735100156,95.989364059384,67.24137703274405,45000.0,1815944.0,10.0,0.87119133945191,0.12880866054808993
50000.0,7.243832,1.9762586141336297E-6,50000.0,81.64,37.83494976007542,-34.40702781844796,-143.50132625994684,88.97694524495677,45.0956937799043,80.14276443867618,100.0,67.10863663469036,50000.0,672392.0,10.0,0.960184417250125,0.039815582749874845
55000.0,7.601165,2.0322083933920497E-6,55000.0,82.32000000000001,30.168480390298143,-93.22404371584689,-256.4516129032259,89.74715843191835,35.849056603773576,81.41835016835017,99.59677419354838,67.27093063907667,55000.0,605240.0,10.0,0.9999999999999994,9.658537846348705E-18
60000.0,7.822728,2.0692223921852808E-6,60000.0,95.24000000000001,0.0,-Infinity,-Infinity,97.56197500512191,?,95.24000000000001,?,?,60000.0,645760.0,10.0,0.9999999999999994,1.5756457505781598E-246
65000.0,8.064483,2.1118456461280583E-6,65000.0,97.61999999999999,0.0,-Infinity,-Infinity,98.79566845460985,?,97.61999999999999,?,?,65000.0,681512.0,10.0,0.9999999999999994,2.5E-323
70000.0,8.324218,2.1596772974377703E-6,70000.0,98.41333333333333,0.0,-Infinity,-Infinity,99.20032255896781,?,98.41333333333333,?,?,70000.0,711848.0,10.0,0.9999999999999994,2.5E-323
75000.0,8.627035,2.2170396013889047E-6,75000.0,98.81,0.0,-Infinity,-Infinity,99.4014385594286,?,98.81,?,?,75000.0,732232.0,10.0,0.9999999999999994,2.5E-323
80000.0,8.872218,2.2642825484482777E-6,80000.0,99.048,0.0,-Infinity,-Infinity,99.52172340340019,?,99.048,?,?,80000.0,744816.0,10.0,0.9999999999999994,2.5E-323
85000.0,9.125472,2.31416823360655E-6,85000.0,99.20666666666666,0.0,-Infinity,-Infinity,99.6017536227034,?,99.20666666666666,?,?,85000.0,761416.0,10.0,0.9999999999999994,2.5E-323
90000.0,9.438016,2.3767832683854632E-6,90000.0,99.32,0.0,-Infinity,-Infinity,99.65884005619105,?,99.32,?,?,90000.0,774408.0,10.0,0.9999999999999994,2.5E-323
95000.0,9.753373,2.4405903753721053E-6,95000.0,99.405,0.0,-Infinity,-Infinity,99.70161229658233,?,99.405,?,?,95000.0,782112.0,10.0,0.9999999999999994,2.5E-323
100000.0,10.019237,2.4949264990869498E-6,100000.0,99.47111111111111,0.0,-Infinity,-Infinity,99.73485439272743,?,99.47111111111111,?,?,100000.0,790008.0,10.0,0.9999999999999994,2.5E-323
