learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.321155,9.638960597415766E-9,5000.0,75.46000000000001,32.503973849168005,-33.0802603036876,-134.1603053435114,84.3474933027172,43.22073114298936,73.86058981233245,89.12213740458014,63.83234431244724,5000.0,116016.0,10.0,0.7380898166780904,0.26191018332190963,1031.4,34.913225765221625,6090.4,257.8557736410027,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.585756,1.8553114781777063E-8,10000.0,74.63,31.277163398688558,-42.68841394825652,-155.2313883299798,83.77773514930622,41.82526943361614,72.74039529202754,91.75050301810866,64.12700256329937,10000.0,130224.0,10.0,0.8895320704601513,0.11046792953984877,1949.8,34.873740518874314,7470.4,1292.1523130033859,3.6,0.9660917830792958,2.3000000000000003,0.4830458915396479,2.3000000000000003,0.4830458915396479,1.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.817558,2.8691913427578078E-8,15000.0,74.73333333333333,31.891162340990732,-40.37037037037036,-154.02144772117956,83.8200136612022,42.3661800486618,72.67545158424637,93.36461126005362,64.42826686406752,15000.0,169072.0,10.0,0.9735748582471571,0.026425141752842926,2918.7000000000003,48.865006793091666,11180.0,1810.4143172213371,6.199999999999999,1.0327955589886444,3.5999999999999996,0.5163977794943222,3.5999999999999996,0.5163977794943222,2.5999999999999996,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.030802,3.987391703658634E-8,20000.0,73.63499999999999,31.176949088901836,-44.86263736263735,-163.25511732401412,82.94686459040783,41.92091640048464,71.25632049786076,95.00748876684972,64.47166223712371,20000.0,202696.0,10.0,0.9572412223656279,0.04275877763437198,3911.1,46.81986757777097,14459.2,1405.8529083798205,7.4,1.2649110640673518,4.200000000000001,0.6324555320336761,4.200000000000001,0.6324555320336761,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.230045,5.083264897267024E-8,25000.0,73.47200000000001,31.258730099816972,-45.63021519543257,-165.0679456434853,82.80261383673893,42.00769499825114,70.966308116277,96.00319744204636,64.6083403204113,25000.0,212608.0,10.0,0.9783079652307255,0.02169203476927453,4863.3,46.30346759273106,15450.400000000001,1789.693158058107,7.4,1.2649110640673518,4.200000000000001,0.6324555320336761,4.200000000000001,0.6324555320336761,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.41719,6.184753901221686E-8,30000.0,73.55000000000001,31.366574111731232,-46.61862527716183,-166.5435001679544,82.86658173730919,42.02527946226346,71.00988047219036,96.60732280819617,64.73353135747858,30000.0,227512.0,10.0,0.9858161632709318,0.014183836729068101,5779.3,60.8532843996296,16874.399999999998,2063.3109961095706,8.4,1.8973665961010275,4.7,0.9486832980505138,4.7,0.9486832980505138,3.5,0.5270462766947298,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.622909,7.578385007464223E-8,35000.0,73.68285714285715,31.597488777753092,-46.41551422667309,-166.06008087810514,82.9637301866203,42.18916713738781,71.1142114274843,97.08261120739456,64.84535886146342,35000.0,261864.0,10.0,0.836452056803331,0.163547943196669,6703.0,72.20341635499906,20161.6,2227.1402290830274,10.599999999999998,1.264911064067352,5.799999999999999,0.632455532033676,5.799999999999999,0.632455532033676,4.6,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.802131,8.960910936196644E-8,40000.0,73.94,32.02534552108976,-44.81800500138926,-162.96670030272466,83.14741164678114,42.55483302105147,71.35919635919636,97.401614530777,64.95398580725693,40000.0,298184.0,10.0,0.9169078056466338,0.08309219435336611,7666.1,85.2492424208764,23695.200000000004,1691.8164334360995,12.0,1.414213562373095,6.5,0.7071067811865475,6.5,0.7071067811865475,5.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.979481,1.043606308185392E-7,45000.0,74.33999999999999,32.67627272337588,-42.06446850393702,-157.6305220883534,83.4325724206207,43.12663153228586,71.75823090971913,97.67960731816153,65.08414519448664,45000.0,321520.0,10.0,0.7953516336930464,0.20464836630695374,8658.7,86.11497482371392,25948.8,1848.2989657159542,13.2,1.1352924243950933,7.1,0.5676462121975466,7.1,0.5676462121975466,5.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.118489,1.1673684230281247E-7,50000.0,74.63,32.93685666434978,-41.51048639000449,-156.57362459546937,83.66198271531793,43.266693501498274,72.08362926136364,97.83576051779936,65.17656591505167,50000.0,344152.0,10.0,0.9059340302629388,0.09406596973706109,9559.6,91.16675807429898,28144.0,2856.8178100817,14.2,1.9321835661585915,7.6,0.9660917830792958,7.6,0.9660917830792958,5.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,2.193907,1.2345148547242084E-7,55000.0,67.12,0.0,-Infinity,-Infinity,80.32551460028722,?,67.12,?,?,55000.0,344152.0,10.0,0.9999999999999994,1.5345453716500685E-230,9560.1,91.08048943410186,28144.0,2856.8178100817,14.2,1.9321835661585915,7.6,0.9660917830792958,7.6,0.9660917830792958,5.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,2.259287,1.2927242172675E-7,60000.0,67.03,0.0,-Infinity,-Infinity,80.2610309525235,?,67.03,?,?,60000.0,344152.0,10.0,0.9999999999999994,2.5E-323,9560.1,91.08048943410186,28144.0,2856.8178100817,14.2,1.9321835661585915,7.6,0.9660917830792958,7.6,0.9660917830792958,5.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,2.32831,1.3541770289962489E-7,65000.0,67.24666666666667,0.0,-Infinity,-Infinity,80.41615179176466,?,67.24666666666667,?,?,65000.0,344152.0,10.0,0.9999999999999994,2.5E-323,9560.1,91.08048943410186,28144.0,2856.8178100817,14.2,1.9321835661585915,7.6,0.9660917830792958,7.6,0.9660917830792958,5.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,2.38761,1.4069732235330672E-7,70000.0,67.475,0.0,-Infinity,-Infinity,80.5791909240185,?,67.475,?,?,70000.0,344152.0,10.0,0.9999999999999994,2.5E-323,9560.1,91.08048943410186,28144.0,2856.8178100817,14.2,1.9321835661585915,7.6,0.9660917830792958,7.6,0.9660917830792958,5.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,2.456217,1.4680556606087418E-7,75000.0,67.776,0.0,-Infinity,-Infinity,80.79343887087545,?,67.776,?,?,75000.0,344152.0,10.0,0.9999999999999994,2.5E-323,9560.1,91.08048943410186,28144.0,2856.8178100817,14.2,1.9321835661585915,7.6,0.9660917830792958,7.6,0.9660917830792958,5.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,2.53579,1.538901387217144E-7,80000.0,67.58999999999999,0.0,-Infinity,-Infinity,80.66113729936153,?,67.58999999999999,?,?,80000.0,344152.0,10.0,0.9999999999999994,2.5E-323,9560.1,91.08048943410186,28144.0,2856.8178100817,14.2,1.9321835661585915,7.6,0.9660917830792958,7.6,0.9660917830792958,5.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,2.599384,1.595520631658534E-7,85000.0,67.64285714285714,0.0,-Infinity,-Infinity,80.69876438005966,?,67.64285714285714,?,?,85000.0,344152.0,10.0,0.9999999999999994,2.5E-323,9560.1,91.08048943410186,28144.0,2856.8178100817,14.2,1.9321835661585915,7.6,0.9660917830792958,7.6,0.9660917830792958,5.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
