learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.39339,1.1593669652938844E-9,5000.0,81.76,29.12076484912205,43.980343980343974,12.39193083573489,89.3183415319747,37.61969904240766,96.3122000505178,26.416906820365032,55.39158484618463,5000.0,11392.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.586619,2.1271439476145643E-9,10000.0,83.08,38.46391978139127,47.38805970149253,17.704280155642017,89.90814744125015,47.680890538033395,94.8766364551863,37.5,57.527523077042495,10000.0,19360.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
15000.0,0.718602,3.064331108083328E-9,15000.0,83.92666666666668,43.15646246185757,50.38073677711464,21.28632060071829,90.33473642012427,52.30464886251237,94.38719946385189,43.160300359125046,58.64032311962839,15000.0,27448.0,13.0,7.0,7.0,6.0,0.0,0.0,1.0
20000.0,0.862256,4.564245630883509E-9,20000.0,84.52499999999999,46.74531268416526,51.73112913287584,23.35314512134716,90.61751599114804,55.86767431912163,93.63488284676106,48.51411589895988,59.61312748584009,20000.0,40360.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
25000.0,1.012076,6.606045578502947E-9,25000.0,85.168,50.57629058181047,53.73097080109807,26.67589479928812,90.9197766676462,59.537319947621135,93.08529308529309,53.94502669566938,60.62802977603726,25000.0,52680.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
30000.0,1.148812,8.797234112603797E-9,30000.0,85.60333333333332,53.30708237828532,55.169192443429516,29.150262467191606,91.11152270996688,62.14392146550969,92.60374832663989,58.15288713910761,61.3914968594486,30000.0,61944.0,29.0,15.0,15.0,9.0,0.0,0.0,1.0
35000.0,1.285856,1.129201761343413E-8,35000.0,85.88,54.8138484162062,55.732712289501976,29.76122797043776,91.24379872430902,63.554572271386434,92.07910170218852,61.242183058556,61.911486163866336,35000.0,70368.0,33.0,17.0,17.0,9.0,0.0,0.0,1.0
40000.0,1.402052,1.3687918920897776E-8,40000.0,86.30499999999999,56.40797496124376,57.08914303618988,31.738317757009355,91.49246777449915,64.90711082639334,92.1219702892885,63.127725856697815,62.299618005647986,40000.0,79704.0,37.0,19.0,19.0,11.0,0.0,0.0,1.0
45000.0,1.515422,1.6285990205489926E-8,45000.0,86.65777777777778,57.482376572557214,58.299763856091126,33.554670208056656,91.71473518615626,65.75795597125585,92.40073406740073,63.80035413899956,62.49021687560388,45000.0,88584.0,41.0,21.0,21.0,12.0,0.0,0.0,1.0
50000.0,1.624603,1.888341905342208E-8,50000.0,91.88,64.42156831128989,54.07239819004521,21.621621621621593,95.3311867525299,68.86503067484662,92.4810352521196,86.67953667953668,66.92543834963958,50000.0,91960.0,41.0,21.0,21.0,12.0,0.0,0.0,1.0
55000.0,1.744346,2.172914527563585E-8,55000.0,92.51,64.37028643625801,57.44318181818184,26.13412228796851,95.74938993246694,68.51618327028164,93.87936790563099,80.37475345167653,66.00267444530326,55000.0,91864.0,43.0,22.0,22.0,12.0,0.0,0.0,1.0
60000.0,1.874452,2.491243301373389E-8,60000.0,89.84,59.638462320756624,67.28911783644558,46.86192468619247,94.06125789104512,64.8686030428769,99.4807121661721,49.05857740585774,60.93834785503087,60000.0,94576.0,45.0,23.0,23.0,12.0,0.0,0.0,1.0
65000.0,1.988896,2.790342478495505E-8,65000.0,89.77000000000001,60.77813721992985,67.9611650485437,47.91242362525461,93.97349042709867,66.18181818181819,99.25335988053759,50.96741344195519,61.28229216553767,65000.0,101024.0,49.0,25.0,25.0,12.0,0.0,0.0,1.0
70000.0,2.093494,3.063968925219443E-8,70000.0,89.65333333333334,60.93449913648127,67.49057394218684,47.514372675008445,93.8815737601514,66.50841605524386,98.87071327742257,52.1136286777139,61.43784297058623,70000.0,101120.0,55.0,28.0,28.0,12.0,0.0,0.0,1.0
75000.0,2.187433,3.318829766578145E-8,75000.0,89.725,61.9333628233997,67.88560712611344,48.32788534070907,93.89537474378396,67.571406028089,98.63321475379142,53.8345486547649,61.73891872404236,75000.0,104872.0,57.0,29.0,29.0,13.0,0.0,0.0,1.0
80000.0,2.284784,3.583169147372246E-8,80000.0,89.53999999999999,61.73683973207699,67.52359662195727,47.783546325878596,93.76564548813923,67.5356921166977,98.36434573829533,54.31309904153354,61.7813573782231,80000.0,104960.0,67.0,34.0,34.0,13.0,0.0,0.0,1.0
85000.0,2.374584,3.8494930482572986E-8,85000.0,89.54333333333334,61.832020821522846,67.31610752240049,47.409891031014226,93.76255144851172,67.68311527763468,98.09860619929269,55.07124895222128,61.88090479936318,85000.0,114640.0,71.0,36.0,36.0,14.0,0.0,0.0,1.0
90000.0,2.453953,4.101422500486176E-8,90000.0,89.42285714285715,62.01136803288141,67.15755855216466,47.339971550497886,93.664430449069,67.99792531120332,97.83696818019307,55.945945945945944,62.004619611392464,90000.0,122696.0,75.0,38.0,38.0,14.0,0.0,0.0,1.0
95000.0,2.534742,4.3759838810397526E-8,95000.0,89.53750000000001,62.656008206576445,67.51785159888234,47.84396809571288,93.72196636714119,68.62583402054126,97.6920190142607,57.04137587238285,62.195939354318696,95000.0,131368.0,83.0,42.0,42.0,14.0,0.0,0.0,1.0
100000.0,2.621242,4.6980603730512995E-8,100000.0,89.67777777777778,63.44958144774093,67.90353786622444,48.491905078731435,93.79201582401134,69.39447848718456,97.51820354621755,58.39432246617875,62.432468718687616,100000.0,143928.0,85.0,43.0,43.0,14.0,0.0,0.0,1.0
