learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.328937,2.2022974250424236E-7,5000.0,80.4,21.223562064740133,39.729397293972966,6.399235912129932,88.62317158114696,29.292929292929287,96.55957500632431,19.38872970391595,53.839647266266574,5000.0,2588008.0
10000.0,0.850938,9.190852222426071E-7,10000.0,81.42,31.91205676233112,43.05853509040762,10.801728276524278,88.94705532421177,41.755485893416925,94.42970822281167,31.973115698511762,56.21450522803777,10000.0,5175096.0
15000.0,1.312719,1.8462209442651107E-6,15000.0,82.50666666666666,39.98194517844741,46.44897959183672,15.382134795227318,89.39026362607149,50.189825360668195,92.89856290444575,42.631409222831344,58.208670343703325,15000.0,7760856.0
20000.0,1.949664,3.5474114192670417E-6,20000.0,83.39,44.64532684585004,48.89230769230768,18.498527968596644,89.83289465630165,54.65465465465464,92.1627731725697,49.116781157998034,59.4305380950248,20000.0,1.0324128E7
25000.0,2.629113,5.815630712107651E-6,25000.0,83.908,47.49171786591808,49.73135074347121,19.764658954926215,90.0825835079502,57.36089030206677,91.41899329530672,53.968887116074995,60.288448398383444,25000.0,1.2904184E7
30000.0,3.566078,9.565384710658755E-6,30000.0,84.32,50.074042685334966,51.152647975077855,22.04176334106728,90.26046627189531,59.801743291745005,90.94967871150797,57.988067616837924,61.020026697869014,30000.0,1.5469696E7
35000.0,4.621063,1.4499141849076582E-5,35000.0,84.84857142857143,51.845131722744455,52.954222853087295,24.929218573046448,90.58332593447571,61.2495432955791,91.30154639175258,59.32899207248018,61.365816719129704,35000.0,1.8077312E7
40000.0,5.624967,1.9866489033893576E-5,40000.0,85.4225,53.21258435606151,54.45242930792064,27.285197655568016,90.968511376485,62.227116667746316,91.82327006660205,59.89524878413768,61.58703574023102,40000.0,2.066664E7
45000.0,6.814223,2.700299250635422E-5,45000.0,85.84888888888888,54.09192574730408,55.666945140629345,29.078962022496924,91.26234906695939,62.803738317757016,92.32392215651981,59.873037086535255,61.68406586045035,45000.0,2.3195968E7
50000.0,8.036971,3.517666851149251E-5,50000.0,86.202,55.08959287067034,56.740657135690995,30.927112535042074,91.48933545513982,63.56867508053017,92.67719684094772,60.26231477773328,61.83435768621701,50000.0,2.5839424E7
55000.0,10.020664,3.676699326357494E-5,55000.0,95.7,0.0,-Infinity,-Infinity,97.80275932549822,?,95.7,?,?,55000.0,3098944.0
60000.0,10.277199,3.7140010404197706E-5,60000.0,97.85000000000001,0.0,-Infinity,-Infinity,98.91331817033107,?,97.85000000000001,?,?,60000.0,5620624.0
65000.0,10.702675,3.8036497749090195E-5,65000.0,98.56666666666666,0.0,-Infinity,-Infinity,99.27816014772537,?,98.56666666666666,?,?,65000.0,8144632.0
70000.0,11.282048,3.9635083588229284E-5,70000.0,98.925,0.0,-Infinity,-Infinity,99.45959532487119,?,98.925,?,?,70000.0,1.0665472E7
75000.0,11.849803,4.1571920308787374E-5,75000.0,99.14,0.0,-Infinity,-Infinity,99.56814301496433,?,99.14,?,?,75000.0,1.3186648E7
80000.0,12.51941,4.429280674541162E-5,80000.0,99.28333333333333,0.0,-Infinity,-Infinity,99.64037802124278,?,99.28333333333333,?,?,80000.0,1.5706984E7
85000.0,13.278088,4.787025973270336E-5,85000.0,99.38571428571429,0.0,-Infinity,-Infinity,99.69191086909795,?,99.38571428571429,?,?,85000.0,1.8227152E7
90000.0,14.159079,5.259884371236173E-5,90000.0,99.46249999999999,0.0,-Infinity,-Infinity,99.73052578805539,?,99.46249999999999,?,?,90000.0,2.074732E7
95000.0,15.267082,5.9268552595308666E-5,95000.0,99.52222222222223,0.0,-Infinity,-Infinity,99.76053906554547,?,99.52222222222223,?,?,95000.0,2.3268496E7
100000.0,16.391553,6.679842031687498E-5,100000.0,99.57000000000001,0.0,-Infinity,-Infinity,99.78453675402115,?,99.57000000000001,?,?,100000.0,2.58846E7
