learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.922737,1.1424408925697208E-7,5000.0,83.3,59.29369341823385,47.084917617237,18.29745596868884,88.46206991847451,69.77922547955122,80.46757164404224,94.32485322896281,66.1045431254549,5000.0,478584.0,10.0,0.929585198096277,0.07041480190372287
10000.0,1.623033,2.5216296089813116E-7,10000.0,84.66,61.672988541472826,51.05296745373325,23.529411764705895,89.53615279672579,71.27340823970037,82.09907430572929,94.8654037886341,66.51399816849897,10000.0,761280.0,10.0,0.8871884559668468,0.11281154403315309
15000.0,2.386419,4.441928827948869E-7,15000.0,85.64,63.89893148882015,54.90893866443376,28.957783641160994,90.22774702840033,72.93289771299321,83.08823529411765,95.71240105540898,66.8581775756576,15000.0,972360.0,10.0,0.8386964477359362,0.1613035522640637
20000.0,3.147903,6.84583717379719E-7,20000.0,86.3,65.26201511779354,56.85039370078739,31.857746829146954,90.71564109514773,73.87490465293669,83.77245134238687,96.3441929868192,67.10377119231192,20000.0,1220280.0,10.0,0.8116796334672396,0.18832036653276052
25000.0,3.901863,9.517226249414185E-7,25000.0,86.8,66.41269644043385,58.28065739570164,34.458788480635555,91.06756171502816,74.72426470588235,84.25745053844227,96.88182720953327,67.29399634216553,25000.0,1369592.0,10.0,0.8198300571529306,0.18016994284706941
30000.0,4.709172,1.2775943242075542E-6,30000.0,87.11333333333333,67.2239749586421,59.632452751383525,36.34118228223283,91.27550099295902,75.35696073431923,84.519580390354,97.33245512926067,67.42626259841462,30000.0,1560304.0,10.0,0.7232710738917153,0.2767289261082847
35000.0,5.354879,1.5665218005122409E-6,35000.0,87.34571428571428,67.6332535495765,60.242369838420096,37.03440432186521,91.45755781433836,75.6018288988046,84.77794464707145,97.55473414842196,67.51530915197927,35000.0,1729640.0,10.0,0.7392819869849218,0.26071801301507813
40000.0,5.917812,1.84297519751514E-6,40000.0,87.5425,67.98953566807583,60.82855121452716,37.66574931198398,91.6098398747285,75.82124314619827,84.99656314441042,97.73580185138854,67.58926782333845,40000.0,1898312.0,10.0,0.7070314901753388,0.2929685098246611
45000.0,6.412626,2.1089753021113573E-6,45000.0,87.67111111111112,68.31130269500605,61.175647305808255,38.396624472573855,91.69684815468887,76.06763868518678,85.11140745679836,97.90139906728848,67.6411129646916,45000.0,2077984.0,10.0,0.8952782899827287,0.10472171001727124
50000.0,6.893034,2.3877634506238004E-6,50000.0,87.82799999999999,68.64640925078102,61.70400201359173,39.12782556511301,91.81064642876366,76.30431396978663,85.2832358382081,98.00960192038409,67.69284263468927,50000.0,2243192.0,10.0,0.7187100950935692,0.281289904906431
55000.0,7.251334,2.456671771570626E-6,55000.0,94.88,0.0,-Infinity,-Infinity,97.37274220032842,?,94.88,?,?,55000.0,743408.0,10.0,0.9999999999999994,4.5888233850417215E-230
60000.0,7.386949,2.4828298957480325E-6,60000.0,97.44,0.0,-Infinity,-Infinity,98.70340356564019,?,97.44,?,?,60000.0,745592.0,10.0,0.9999999999999994,2.5E-323
65000.0,7.533651,2.5111265379562972E-6,65000.0,98.29333333333334,0.0,-Infinity,-Infinity,99.13932221624529,?,98.29333333333334,?,?,65000.0,745592.0,10.0,0.9999999999999994,2.5E-323
70000.0,7.682164,2.539837041536553E-6,70000.0,98.72,0.0,-Infinity,-Infinity,99.35587761674718,?,98.72,?,?,70000.0,747272.0,10.0,0.9999999999999994,2.5E-323
75000.0,7.859315,2.574083837572899E-6,75000.0,98.976,0.0,-Infinity,-Infinity,99.48536506915406,?,98.976,?,?,75000.0,747272.0,10.0,0.9999999999999994,2.5E-323
80000.0,8.012743,2.6037445079742204E-6,80000.0,99.14666666666668,0.0,-Infinity,-Infinity,99.57150508837708,?,99.14666666666668,?,?,80000.0,747272.0,10.0,0.9999999999999994,2.5E-323
85000.0,8.151177,2.630566707079609E-6,85000.0,99.26857142857143,0.0,-Infinity,-Infinity,99.63294333562743,?,99.26857142857143,?,?,85000.0,748952.0,10.0,0.9999999999999994,2.5E-323
90000.0,8.291992,2.657850235454324E-6,90000.0,99.36,0.0,-Infinity,-Infinity,99.67897271268058,?,99.36,?,?,90000.0,748952.0,10.0,0.9999999999999994,2.5E-323
95000.0,8.432169,2.6850101485103366E-6,95000.0,99.43111111111111,0.0,-Infinity,-Infinity,99.71474416116955,?,99.43111111111111,?,?,95000.0,748952.0,10.0,0.9999999999999994,2.5E-323
100000.0,8.597525,2.7170486040578944E-6,100000.0,99.488,0.0,-Infinity,-Infinity,99.74334295797242,?,99.488,?,?,100000.0,748952.0,10.0,0.9999999999999994,2.5E-323
