learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.329676,7.144356345136961E-9,5000.0,73.44000000000001,40.02451407662592,17.872603586889323,-27.081339712918655,80.88108263748921,56.51604453176164,71.02402022756004,82.58373205741627,61.96929729409886,5000.0,83768.0,10.0,0.8170006621230207,0.1829993378769792,2013.1999999999998,54.290985541902955,2968.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.689122,2.2839401132530635E-8,10000.0,72.6,40.33507733466774,15.117719950433692,-32.559264634736344,79.89433519225125,56.999372253609536,68.62473213160217,87.85679729075956,62.546288743290305,10000.0,168784.0,10.0,0.9191606146494937,0.08083938535050643,3994.3999999999996,51.86563837883854,11156.800000000001,1401.3387884448214,5.600000000000001,0.9660917830792959,3.3000000000000007,0.48304589153964794,3.3000000000000007,0.48304589153964794,2.3000000000000007,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.021469,4.037968390310804E-8,15000.0,72.33333333333334,40.75678284872225,13.882548246524202,-35.17915309446252,79.52437339648708,57.35717221537197,67.55238893545683,90.91205211726384,62.941330032960195,15000.0,204008.0,10.0,0.6919198727438819,0.30808012725611805,5946.299999999999,74.41482827143156,14507.2,1152.1246846105196,8.2,1.0327955589886444,4.6,0.5163977794943222,4.6,0.5163977794943222,3.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.334691,6.2946425161014E-8,20000.0,72.69,41.656090275268745,14.789391575663025,-34.997528423133936,79.78983201361652,57.90041621704949,67.58179766829635,92.83242708848245,63.32736864041858,20000.0,278496.0,10.0,0.8225775331564213,0.1774224668435788,7839.7,77.58873056772568,21750.4,2716.7347721524498,11.2,2.3944379994757297,6.1,1.1972189997378648,6.1,1.1972189997378648,4.5,0.7071067811865475,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.609976,8.684153027004666E-8,25000.0,73.2,42.79795481549321,16.604431167537953,-32.332609125024675,80.15402843601895,58.74384236453203,67.86377087826654,94.21291724274145,63.6546714941268,25000.0,335528.0,10.0,0.8400850127236211,0.1599149872763788,9775.8,69.15489859727919,27249.6,3941.890443260272,14.2,2.3475755815545343,7.6,1.1737877907772671,7.6,1.1737877907772671,5.3,0.9486832980505138,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.914162,1.189206296702226E-7,30000.0,74.13333333333333,44.34361905330215,19.418483904465187,-28.052805280528105,80.94021712433069,59.76355905838432,68.82623224728488,95.0990099009901,64.01664669214465,30000.0,407648.0,10.0,0.9743332388114418,0.025666761188558193,11674.9,92.11641185659212,34254.4,4363.795778906249,17.2,2.573367875415838,9.1,1.286683937707919,9.1,1.286683937707919,6.3,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.23779,1.5664880024890106E-7,35000.0,74.86571428571429,45.550806902044414,21.65820642978006,-24.709384746243245,81.55649202255907,60.55687575662467,69.59851141487154,95.73291749362063,64.29063479786386,35000.0,450632.0,10.0,0.6551889978260512,0.34481100217394867,13582.400000000001,101.31929727352038,38403.2,4552.430676755733,19.4,2.7968235951204035,10.2,1.3984117975602017,10.2,1.3984117975602017,6.800000000000001,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.486644,1.9015560001134874E-7,40000.0,75.63,46.77570040452352,23.926954893085682,-21.16842759477938,82.20323511154926,61.357329739158004,70.45219840400563,96.1963952765693,64.54622252319939,40000.0,520464.0,10.0,0.8653364876386852,0.13466351236131474,15486.4,111.43927095557989,45114.399999999994,5170.234191987825,23.4,3.7475918193480524,12.2,1.8737959096740262,12.2,1.8737959096740262,7.7,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,2.704159,2.232485182583332E-7,45000.0,76.52,48.17243528161615,26.53316645807259,-17.04885343968096,82.95861423825038,62.26159011357954,71.49250827009146,96.55478010413205,64.81652728552794,45000.0,588096.0,10.0,0.9091277001401606,0.09087229985983931,17377.9,77.895157458956,51675.2,6588.65524637278,26.4,4.005551702879947,13.7,2.0027758514399734,13.7,2.0027758514399734,8.699999999999998,1.0593499054713804,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.895473,2.5376040114710727E-7,50000.0,78.22,38.797228981316145,-21.812080536912777,-114.79289940828392,86.20995314676459,48.21683309557774,75.76229690629869,100.0,66.28768681027772,50000.0,616488.0,10.0,0.9999999999997531,2.4675126766932433E-13,18355.5,83.30166064771373,54431.2,6395.05970435165,27.599999999999998,3.8930136855083823,14.299999999999999,1.9465068427541912,14.299999999999999,1.9465068427541912,8.899999999999999,0.9944289260117534,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,3.045591,2.785558660328388E-7,55000.0,79.5,40.90106786869475,-13.510520487264662,-98.83608147429682,87.10529626368097,50.024378352023405,77.19924183298026,99.51503394762366,66.46696092432013,55000.0,638472.0,10.0,0.7850600322083088,0.21493996779169136,19364.5,90.48050741580937,56561.59999999999,5388.209416040834,28.599999999999998,2.4585451886114362,14.799999999999999,1.2292725943057181,14.799999999999999,1.2292725943057181,9.1,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,3.272138,3.191659630876448E-7,60000.0,86.18,65.43057198145358,56.32111251580278,31.175298804780876,90.57684440201827,74.0907386576678,83.12891113892366,98.30845771144278,67.34934462382809,60000.0,692912.0,10.0,0.7404733331123092,0.25952666688769077,21298.9,107.59228596883676,61816.8,5856.806805380859,31.4,3.864367132317183,16.199999999999996,1.9321835661585915,16.199999999999996,1.9321835661585915,9.4,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,3.472619,3.575889021944668E-7,65000.0,85.92999999999999,65.1708499768152,56.290773532152826,30.927835051546364,90.351779469245,74.02621377146022,82.7430293896006,98.38076545632973,67.29112029939952,65000.0,740832.0,10.0,0.6674488998889261,0.3325511001110738,23304.2,130.9035268177803,66459.2,6844.589181730827,33.6,5.168279318217148,17.3,2.584139659108574,17.3,2.584139659108574,9.6,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,3.642263,3.931437114667561E-7,70000.0,85.98,65.26535353957114,56.205747605164525,30.89056851790995,90.39243455616976,74.07224756503513,82.74506523921043,98.68593955321944,67.34816344794227,70000.0,810144.0,10.0,0.8121864701818682,0.18781352981813185,25236.9,122.97375510426815,73118.4,8405.89405913097,37.6,5.89161362540952,19.3,2.94580681270476,19.3,2.94580681270476,10.299999999999999,1.0593499054713804,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,3.798912,4.280116007145908E-7,75000.0,85.97,65.05985019790558,55.85273757079925,30.05982053838486,90.41535728924717,73.83439015292801,82.78601363607932,98.65437328681784,67.34990477404128,75000.0,860400.0,10.0,0.9193191467844453,0.08068085321555477,27085.200000000004,128.70534824422108,78033.6,8355.257602252608,39.2,5.533734925185902,20.1,2.766867462592951,20.1,2.766867462592951,10.6,1.3498971154211057,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,3.960843,4.659791901314424E-7,80000.0,86.164,65.46402807448027,56.402823292160306,31.040669856459324,90.5576938825649,74.1228398294307,83.00555472151329,98.74426948375523,67.40731121422743,80000.0,906328.0,10.0,0.9110434680074002,0.08895653199259969,29029.7,148.94670933666953,82452.79999999999,7482.314270628069,41.8,4.022160834399561,21.4,2.0110804171997807,21.4,2.0110804171997807,10.9,0.9944289260117531,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,4.119576,5.053152147846089E-7,85000.0,86.27,65.65419751067228,56.6421052631579,31.315657828914457,90.64140140413059,74.23531619440796,83.10557453545537,98.93297765921974,67.46083163485963,85000.0,957912.0,10.0,0.8662051396865476,0.13379486031345236,30910.300000000003,168.86158039451553,87446.4,6436.928791486408,44.199999999999996,4.022160834399562,22.599999999999998,2.011080417199781,22.599999999999998,2.011080417199781,11.2,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,4.275261,5.458452566071517E-7,90000.0,86.32285714285715,65.67915243171046,56.80382602418338,31.231144950438182,90.69346968135777,74.21214243387382,83.19066980526428,98.93708704395289,67.47735858219725,90000.0,1006312.0,10.0,0.7134319102507231,0.28656808974927706,32777.7,184.75572461436184,92100.79999999999,7730.326035958781,47.0,4.8074017006186525,24.0,2.4037008503093262,24.0,2.4037008503093262,11.6,1.07496769977314,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,4.442159,5.916459915517933E-7,95000.0,86.32,65.64512133600698,56.780665034357455,31.057074461383365,90.69609276702826,74.1716227697536,83.18570270101678,98.9795918367347,67.4843119802209,95000.0,1060776.0,10.0,0.7217584996384316,0.27824150036156836,34657.6,196.21937836117172,97356.8,9176.911085254485,49.8,6.7461923416925424,25.4,3.3730961708462712,25.4,3.3730961708462712,11.7,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,4.606199,6.386851539193757E-7,100000.0,86.30888888888889,65.52540969235304,56.67979187174801,30.572458868604933,90.7030436554045,74.03817791074965,83.19446366782007,98.98591549295774,67.48710602047953,100000.0,1108440.0,10.0,0.8695635171383043,0.13043648286169568,36456.8,189.43706078800952,101996.0,10273.544536007685,51.6,6.113736809658867,26.3,3.0568684048294337,26.3,3.0568684048294337,12.1,1.4491376746189437,0.0,0.0,0.0,0.0,1.0,0.0
