DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,4.855489684,3.2954423615528394E-6,5000.0,69.06,0.0,25.838926174496645,0.0,81.6988051579321,?,100.0,0.0,?,5000.0,2623704.0
10000.0,8.231437715,3.5221736485661255E-6,10000.0,69.25,0.0,25.68873852102464,0.0,81.83161004431315,?,100.0,0.0,?,10000.0,259608.0
15000.0,19.266562177,4.294863771560505E-6,15000.0,72.5,24.55891931941281,34.30482560917343,9.300791556728234,82.15444516547697,40.08714596949891,90.84385763490242,30.343007915567284,55.04245305908652,15000.0,270664.0
20000.0,38.630904893,5.702472594405568E-6,20000.0,73.94500000000001,33.39110961131393,37.47300215982722,12.786610878661092,82.2953827336663,50.68609823033974,86.3529411764706,44.82008368200837,57.26539637042578,20000.0,280984.0
25000.0,49.67797977,6.5497329602722435E-6,25000.0,74.724,38.41350442866844,39.50215414073719,15.54397219994654,82.2485040874231,56.12719572311323,83.56547551090307,54.02298850574713,58.649054556883144,25000.0,296464.0
30000.0,65.720868156,7.801565068011058E-6,30000.0,75.4,42.07047015841906,41.34943972025749,18.552036199095035,82.28006146753745,59.786399302528345,81.8281675342662,60.54519368723099,59.66015446290287,30000.0,301624.0
35000.0,80.092229705,8.961335897986988E-6,35000.0,75.82285714285715,44.124848674216445,42.29405346426624,19.646757193049115,82.32812630523766,61.7381081569904,80.55498794392906,64.82765169499572,60.287361784814564,35000.0,311944.0
40000.0,91.09926552,9.879060014057163E-6,40000.0,76.345,46.196287492091685,43.591272206987,21.548793632368792,82.4842650870048,63.57967667436489,79.741579870432,68.47690904568444,60.87250793997986,40000.0,322288.0
45000.0,105.229956655,1.1132762170854039E-5,45000.0,76.44444444444444,47.077260613563304,43.82617912029678,21.98999116867825,82.37738985868661,64.4891122278057,78.8711320514453,70.83455990579924,61.1771386951949,45000.0,342952.0
50000.0,119.232377426,1.237508393369399E-5,50000.0,76.862,48.42293666290256,44.66181957332823,23.23158593231585,82.57654482748235,65.56947709889586,78.48554251359863,73.09887193098872,61.5598112498299,50000.0,342952.0
55000.0,134.025667353,1.3687573132588465E-5,55000.0,93.46,0.0,-Infinity,-Infinity,96.6194562183397,?,93.46,?,?,55000.0,342952.0
60000.0,148.38216022,1.496130885431945E-5,60000.0,96.73,0.0,-Infinity,-Infinity,98.33782341279928,?,96.73,?,?,60000.0,342952.0
65000.0,159.692330273,1.596476894368935E-5,65000.0,97.82,0.0,-Infinity,-Infinity,98.8979880699626,?,97.82,?,?,65000.0,342952.0
70000.0,171.964088093,1.7053542953370717E-5,70000.0,98.36500000000001,0.0,-Infinity,-Infinity,99.1757618531495,?,98.36500000000001,?,?,70000.0,342952.0
75000.0,183.680361024,1.8093033272908833E-5,75000.0,98.69200000000001,0.0,-Infinity,-Infinity,99.34169468322831,?,98.69200000000001,?,?,75000.0,342952.0
80000.0,197.721508057,1.933879090436485E-5,80000.0,98.91,0.0,-Infinity,-Infinity,99.45201347343018,?,98.91,?,?,80000.0,342952.0
85000.0,207.762356183,2.0229634305538384E-5,85000.0,99.0657142857143,0.0,-Infinity,-Infinity,99.53066467641698,?,99.0657142857143,?,?,85000.0,342952.0
90000.0,221.607352982,2.1457989110121134E-5,90000.0,99.18249999999999,0.0,-Infinity,-Infinity,99.58957237709136,?,99.18249999999999,?,?,90000.0,342952.0
95000.0,233.398365656,2.2504110483731718E-5,95000.0,99.27333333333334,0.0,-Infinity,-Infinity,99.63534174166138,?,99.27333333333334,?,?,95000.0,342952.0
100000.0,247.33324019,2.374043941421822E-5,100000.0,99.346,0.0,-Infinity,-Infinity,99.67192720195038,?,99.346,?,?,100000.0,342952.0
