learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.407218,1.5313325367040106E-9,5000.0,79.4,47.376939696220866,50.95238095238097,31.24165554072097,85.99782490483958,61.043872919818455,90.31981724728726,53.871829105473964,60.03991304806354,5000.0,14536.0,7.0,4.0,4.0,3.0,0.0,0.0,1.0
10000.0,0.686312,3.4940667409035894E-9,10000.0,80.36999999999999,52.69949727975122,52.121951219512184,33.412483039348686,86.10068682291298,66.59860473030457,86.21667612024957,66.38398914518318,61.76582090149713,10000.0,27184.0,13.0,7.0,7.0,5.0,0.0,0.0,1.0
15000.0,0.884518,5.513111853765117E-9,15000.0,80.89333333333333,55.64034416901764,53.9154204856086,35.537561853351306,86.09142968067553,69.4911645731318,84.04396437369718,73.41430499325237,62.741188498256385,15000.0,39376.0,19.0,10.0,10.0,7.0,0.0,0.0,1.0
20000.0,1.110806,8.568476806912157E-9,20000.0,81.84,58.394845176302134,56.39855942376951,38.80370682392586,86.64214784847371,71.64715066354411,83.746889441877,77.32097725358045,63.456257905634786,20000.0,52192.0,25.0,13.0,13.0,8.0,0.0,0.0,1.0
25000.0,1.372644,1.276225191851457E-8,25000.0,82.544,60.22994571500592,58.27915869980879,41.46995708154504,87.09944424736905,73.01508780608458,83.97172822617419,79.18454935622317,63.86632085504797,25000.0,61912.0,29.0,15.0,15.0,10.0,0.0,0.0,1.0
30000.0,1.634888,1.7538921468787725E-8,30000.0,83.20666666666666,61.71457523283801,59.89492119089316,43.97865006115866,87.59235543296225,74.02557228294494,84.65273480268482,79.8287556988769,64.12516871353277,30000.0,70408.0,35.0,18.0,18.0,11.0,0.0,0.0,1.0
35000.0,1.827468,2.156920741001765E-8,35000.0,83.79142857142857,62.99957533415043,61.24470556086897,45.88897367417017,88.03745018240095,74.87265801479381,85.14847446565508,80.618084700496,64.37518139123009,35000.0,80896.0,39.0,20.0,20.0,11.0,0.0,0.0,1.0
40000.0,2.007637,2.5755890500214364E-8,40000.0,84.24000000000001,63.93090320253958,62.328194095852766,47.427237094487545,88.39213375561613,75.46317919975091,85.69388410867936,80.84396630806438,64.52477245538022,40000.0,89824.0,43.0,22.0,22.0,11.0,0.0,0.0,1.0
45000.0,2.182933,3.018088409470187E-8,45000.0,84.6888888888889,64.9127738687858,63.58350951374207,49.076127124907615,88.73299319727892,76.11619523017194,86.21226564982523,81.14560236511456,64.68343451281397,45000.0,97576.0,47.0,24.0,24.0,12.0,0.0,0.0,1.0
50000.0,2.356999,3.511195857491758E-8,50000.0,85.008,65.57943381823749,64.24346498759778,50.023334888992586,88.98554131891383,76.53393438517405,86.51181394817291,81.49876658443897,64.80944771648109,50000.0,109504.0,53.0,27.0,27.0,12.0,0.0,0.0,1.0
55000.0,2.489256,3.521515095606446E-8,55000.0,97.3,0.0,-Infinity,-Infinity,98.6315255955398,?,97.3,?,?,55000.0,3016.0,0.0,-27.0,-27.0,0.0,0.0,0.0,1.0
60000.0,2.559933,3.5273367818444965E-8,60000.0,98.65,0.0,-Infinity,-Infinity,99.32041278630759,?,98.65,?,?,60000.0,3184.0,0.0,-27.0,-27.0,0.0,0.0,0.0,1.0
65000.0,2.627756,3.533218153648906E-8,65000.0,99.1,0.0,-Infinity,-Infinity,99.54796584630839,?,99.1,?,?,65000.0,3352.0,0.0,-27.0,-27.0,0.0,0.0,0.0,1.0
70000.0,2.694803,3.5390322334650486E-8,70000.0,99.325,0.0,-Infinity,-Infinity,99.66135708014548,?,99.325,?,?,70000.0,3352.0,0.0,-27.0,-27.0,0.0,0.0,0.0,1.0
75000.0,2.759652,3.544937555367748E-8,75000.0,99.46000000000001,0.0,-Infinity,-Infinity,99.7292690263712,?,99.46000000000001,?,?,75000.0,3520.0,0.0,-27.0,-27.0,0.0,0.0,0.0,1.0
80000.0,2.825259,3.550911902760466E-8,80000.0,99.55000000000001,0.0,-Infinity,-Infinity,99.77449260836883,?,99.55000000000001,?,?,80000.0,3520.0,0.0,-27.0,-27.0,0.0,0.0,0.0,1.0
85000.0,2.886812,3.556517082163029E-8,85000.0,99.61428571428571,0.0,-Infinity,-Infinity,99.80677019967081,?,99.61428571428571,?,?,85000.0,3520.0,0.0,-27.0,-27.0,0.0,0.0,0.0,1.0
90000.0,2.945196,3.561833684022228E-8,90000.0,99.6625,0.0,-Infinity,-Infinity,99.83096475302072,?,99.6625,?,?,90000.0,3520.0,0.0,-27.0,-27.0,0.0,0.0,0.0,1.0
95000.0,3.002074,3.567260347099768E-8,95000.0,99.7,0.0,-Infinity,-Infinity,99.849774661993,?,99.7,?,?,95000.0,3688.0,0.0,-27.0,-27.0,0.0,0.0,0.0,1.0
100000.0,3.053265,3.572144420196613E-8,100000.0,99.72999999999999,0.0,-Infinity,-Infinity,99.8648175036299,?,99.72999999999999,?,?,100000.0,3688.0,0.0,-27.0,-27.0,0.0,0.0,0.0,1.0
