learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.737708,1.4125428130477667E-6,5000.0,76.24,53.68025212914881,50.45871559633027,41.01290963257199,76.91410804508355,75.52533992583436,66.36485580147551,90.83250743310208,62.68918631522059,5000.0,3142152.0
10000.0,4.915522,6.553605137533612E-6,10000.0,77.23,55.60954931586068,52.935097147581644,43.84710234278668,77.79186579537696,76.63896583564174,67.12674633900016,92.01773835920177,63.07624051459509,10000.0,6253552.0
15000.0,9.388043,1.7397545411853742E-5,15000.0,77.73333333333333,56.4481942925854,54.083035468792964,45.14698636886189,78.45995098671483,76.95598178556644,68.29459975300325,91.5312653865091,63.21112741035243,15000.0,9372104.0
20000.0,15.53386,3.716713333847829E-5,20000.0,77.96,57.04584933642609,54.51449798782375,45.398241050414946,78.56031128404669,77.32510288065842,67.73463054600353,93.05435186331559,63.40129778035287,20000.0,1.2434272E7
25000.0,25.637378,7.776853478236537E-5,25000.0,77.732,56.56293901705671,53.839137645107805,44.82656095143706,78.39149167410628,77.03098568304658,67.74453240305917,92.48068159302557,63.290049375096224,25000.0,1.5533552E7
30000.0,38.270475,1.387280664204309E-4,30000.0,78.06333333333333,57.15790074885463,54.71685130392898,45.86212569924316,78.7249862606278,77.35920459627756,68.25112107623318,92.45888157894737,63.385724468365225,30000.0,1.8652376E7
35000.0,53.781382,2.2611119896724817E-4,35000.0,78.57714285714286,58.12756650749089,55.685579196217496,47.02557580895859,79.29415663316027,77.80868947555345,68.88494386335285,92.8450346094081,63.58655095080267,35000.0,2.1776736E7
40000.0,73.234994,3.5100136972662473E-4,40000.0,78.7925,58.492819930633246,56.00103734439834,47.551626066526524,79.57527749018853,77.94733147892998,69.36865082696667,92.66905674372606,63.647016342223914,40000.0,2.481592E7
45000.0,95.811868,5.136666054523942E-4,45000.0,78.48888888888888,57.944855452384324,55.325826103009035,46.61077712205614,79.27106085913744,77.6453743476052,68.89633351944909,92.69920044113591,63.56011602423823,45000.0,2.785052E7
50000.0,114.643584,6.030527483070517E-4,50000.0,73.7,45.527632195944776,36.77884615384615,12.740544127405437,78.81424198485581,65.33087266016345,70.08595988538681,82.05298013245033,61.67230740329024,50000.0,1.8347744E7
55000.0,116.653709,6.134031045288198E-4,55000.0,76.07000000000001,44.295443744403954,18.991198375084643,-18.406729341909955,83.09908891870896,59.03098784454717,73.75877632898697,85.17786561264822,63.03503826080286,55000.0,1.9903736E7
60000.0,117.59584,6.187943606252699E-4,60000.0,98.16,0.0,-Infinity,-Infinity,99.07145740815503,?,98.16,?,?,60000.0,2.2119792E7
65000.0,118.667451,6.257472375349596E-4,65000.0,99.08,0.0,-Infinity,-Infinity,99.53787422141852,?,99.08,?,?,65000.0,2.5080128E7
70000.0,119.764418,6.337047804614322E-4,70000.0,99.38666666666667,0.0,-Infinity,-Infinity,99.6923899959877,?,99.38666666666667,?,?,70000.0,2.8040632E7
75000.0,121.12004,6.445767139120192E-4,75000.0,99.53999999999999,0.0,-Infinity,-Infinity,99.76946978049513,?,99.53999999999999,?,?,75000.0,3.1000632E7
80000.0,122.688246,6.58354611409145E-4,80000.0,99.632,0.0,-Infinity,-Infinity,99.81566081590127,?,99.632,?,?,80000.0,3.3961136E7
85000.0,124.318509,6.739261080496757E-4,85000.0,99.69333333333333,0.0,-Infinity,-Infinity,99.84643119449824,?,99.69333333333333,?,?,85000.0,3.6921136E7
90000.0,126.021594,6.914973101421072E-4,90000.0,99.73714285714286,0.0,-Infinity,-Infinity,99.86839846655604,?,99.73714285714286,?,?,90000.0,3.9881136E7
95000.0,127.891744,7.12224243413007E-4,95000.0,99.77000000000001,0.0,-Infinity,-Infinity,99.8848675977374,?,99.77000000000001,?,?,95000.0,4.2841136E7
100000.0,129.79583,7.348259572168232E-4,100000.0,99.79555555555557,0.0,-Infinity,-Infinity,99.89767317702541,?,99.79555555555557,?,?,100000.0,4.5883568E7
