learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.610346,3.168044338623683E-8,5000.0,83.94,67.34581940278066,66.30297943768359,60.36525172754197,85.88007736943906,81.38186876883839,82.2499157965645,86.41063515509602,64.93468852463614,5000.0,200640.0,10.0,0.4867911532001498,0.5132088467998501,4983.3,68.98478093028926,14190.400000000001,374.41367496393616,7.0,0.0,4.0,0.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.086687,6.876372781064776E-8,10000.0,84.85000000000001,69.36908813291754,68.19231576737351,61.548223350253814,86.60595880116699,82.56416158361147,80.89182493806771,90.92522179974651,65.53950082542096,10000.0,300928.0,10.0,0.41383905701265594,0.586160942987344,9980.100000000002,62.197624106105835,23865.6,2018.3436113143205,12.200000000000001,1.6865480854231356,6.6000000000000005,0.8432740427115678,6.6000000000000005,0.8432740427115678,5.2,0.42163702135578396,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.539273,1.164769939871298E-7,15000.0,85.93333333333332,71.6975356682142,70.53072625698323,64.68028121861397,87.39696571496835,84.08508070598883,81.09965635738831,93.22629202207727,66.0162760952679,15000.0,407512.0,10.0,0.6602546019583019,0.33974539804169823,15012.599999999999,85.42599136094356,34185.600000000006,4171.029481235218,17.2,2.8982753492378874,9.1,1.4491376746189437,9.1,1.4491376746189437,7.0,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.028067,1.8493371242450345E-7,20000.0,86.855,73.56324747177563,72.42211266128187,67.1004880490552,88.20070912436606,85.16281957221062,81.85604798400533,94.35967983991996,66.37313609886256,20000.0,541368.0,10.0,0.5096523579667114,0.4903476420332886,20015.699999999997,77.68747932868267,47068.0,4722.770185200867,24.6,3.0983866769659336,12.8,1.5491933384829668,12.8,1.5491933384829668,8.299999999999999,1.0593499054713804,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.534481,2.755389479506347E-7,25000.0,87.556,74.95580984445367,73.89005455308435,68.81828204871205,88.85146031177209,85.91989137813985,82.5476095352244,95.09116409537167,66.64059829236906,25000.0,691592.0,10.0,0.560571345035028,0.439428654964972,24972.3,79.35580914113629,61536.0,7511.647370731818,32.8,5.692099788303083,16.9,2.846049894151541,16.9,2.846049894151541,9.6,0.699205898780101,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.041186,3.8336208367513285E-7,30000.0,88.10333333333334,76.02776453698793,75.0209966405375,70.11388377156256,89.37892450078863,86.47952418835474,83.18285049576247,95.5386289445049,66.84337653056348,30000.0,822544.0,10.0,0.7158978586262886,0.2841021413737114,29947.7,105.47885517433784,74260.8,5337.288133708188,38.2,3.155242550986462,19.6,1.577621275493231,19.6,1.577621275493231,10.6,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.597322,5.178635671486457E-7,35000.0,88.55142857142857,76.92861678334594,75.9800983095552,71.3376251788269,89.77101575064458,87.0016543938755,83.66880799428979,95.88845191276367,66.99948878667908,35000.0,934864.0,10.0,0.7329691763231,0.26703082367690006,34964.7,95.31357604128526,85139.20000000001,4851.119201907029,43.4,2.7968235951204035,22.2,1.3984117975602017,22.2,1.3984117975602017,11.5,1.0801234497346435,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,4.15693,6.663314289599657E-7,40000.0,88.8025,77.42317334986016,76.47584033613444,71.92377609227103,90.01092798679721,87.26145445237621,83.93644455536146,96.13360070184234,67.09509021851073,40000.0,1025536.0,10.0,0.7597990742422251,0.24020092575777496,39927.5,131.33946686185203,93925.59999999999,5595.344159805245,47.599999999999994,3.40587727318528,24.299999999999997,1.70293863659264,24.299999999999997,1.70293863659264,11.999999999999998,1.2472191289246475,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.664205,8.139311398358808E-7,45000.0,89.08,77.97606619782775,77.07701637355974,72.60716873850271,90.26622296173043,87.56453082295779,84.2142223536369,96.41662951404369,67.19948881272843,45000.0,1124720.0,10.0,0.4721796724587287,0.5278203275412712,44919.2,112.1752597005638,103512.79999999999,6357.168286448163,52.400000000000006,4.325634186002221,26.700000000000003,2.1628170930011104,26.700000000000003,2.1628170930011104,12.299999999999999,1.3374935098492586,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.245863,9.801666656922962E-7,50000.0,88.53999999999999,75.08988508481437,71.04598281960585,60.50999310820123,91.21839080459769,83.51079136690647,83.85460693153,100.0,67.79649823765422,50000.0,1104736.0,10.0,0.7253636049749631,0.27463639502503695,49915.3,145.87365156950807,101551.20000000001,50521.3823616628,58.2,6.124631508189788,29.6,3.062315754094894,29.6,3.062315754094894,11.1,4.886489310105751,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,5.858043,1.0235566294234658E-6,55000.0,89.59,72.08421353425977,63.38374956032361,46.312532233109856,93.12281165356411,78.59346082665022,87.43332092792457,98.55595667870037,68.18894294653367,55000.0,273976.0,10.0,0.9999999999907397,9.26021379387951E-12,55519.5,127.05751103776309,21226.4,30656.570639550955,48.9,30.577588016207052,16.7,28.472403793458987,16.7,28.472403793458987,3.6999999999999997,3.683295625749672,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,6.112226,1.0447068150776125E-6,60000.0,99.98,0.0,-Infinity,-Infinity,99.98999899989998,?,99.98,?,?,60000.0,321640.0,10.0,0.9999999999999994,1.510665148895961E-240,60521.299999999996,139.2256761121639,25862.399999999998,30178.216202346277,50.9,31.017736861350794,17.7,28.69397923684417,17.7,28.69397923684417,4.300000000000001,3.497618237219913,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,6.300632,1.0617216319280363E-6,65000.0,99.99,0.0,-Infinity,-Infinity,99.9949997499875,?,99.99,?,?,65000.0,349088.0,10.0,0.9999999999999994,2.5E-323,65543.40000000001,169.19429987771716,28563.999999999996,26015.06004862055,51.6,30.20743102100688,17.799999999999997,28.14565291084536,17.799999999999997,28.14565291084536,4.699999999999999,3.3349995835415367,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,6.488569,1.079335092357877E-6,70000.0,99.99333333333334,0.0,-Infinity,-Infinity,99.99666655555185,?,99.99333333333334,?,?,70000.0,362272.0,10.0,0.9999999999999994,2.5E-323,70545.00000000001,161.76457516333912,29868.799999999996,25766.039650844457,51.8,29.891656212246104,17.9,27.989879123235475,17.9,27.989879123235475,4.800000000000001,3.293090409394258,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,6.678698,1.0979338883587881E-6,75000.0,99.995,0.0,-Infinity,-Infinity,99.99749993749843,?,99.995,?,?,75000.0,378128.0,10.0,0.9999999999999994,2.5E-323,75526.5,167.21858615463788,31427.199999999997,26453.086611752682,52.199999999999996,30.076938378469013,18.1,28.096856289153298,18.1,28.096856289153298,4.9,3.2128215360057304,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,6.865039,1.1165824957999089E-6,80000.0,99.996,0.0,-Infinity,-Infinity,99.99799995999919,?,99.996,?,?,80000.0,386848.0,10.0,0.9999999999999994,2.5E-323,80532.1,163.37649089687898,32285.6,27688.053048201127,52.4,30.170625891198654,18.2,28.145652910845357,18.2,28.145652910845357,5.0,3.5276684147527875,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,7.052396,1.135767068074395E-6,85000.0,99.99666666666667,0.0,-Infinity,-Infinity,99.9983333055551,?,99.99666666666667,?,?,85000.0,395808.0,10.0,0.9999999999999994,2.5E-323,85518.4,177.21875998011205,33154.4,28117.70916541942,52.8,29.969614241390854,18.4,28.044409226954468,18.4,28.044409226954468,5.1000000000000005,3.510302297840205,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,7.222993,1.153711422903256E-6,90000.0,99.99714285714286,0.0,-Infinity,-Infinity,99.99857140816299,?,99.99714285714286,?,?,90000.0,406592.0,10.0,0.9999999999999994,2.5E-323,90535.20000000001,185.42551664272676,34220.8,29226.115615243085,53.0,30.140412147886174,18.500000000000004,28.12373453943207,18.500000000000004,28.12373453943207,5.199999999999999,3.4896672875473067,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,7.398484,1.1724930753538175E-6,95000.0,99.99749999999999,0.0,-Infinity,-Infinity,99.9987499843748,?,99.99749999999999,?,?,95000.0,413696.0,10.0,0.9999999999999994,2.5E-323,95519.70000000001,213.1045909094086,34929.6,29678.968248014735,53.0,30.140412147886174,18.500000000000004,28.12373453943207,18.500000000000004,28.12373453943207,5.199999999999999,3.4896672875473067,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,7.557252,1.1897977896096803E-6,100000.0,99.99777777777777,0.0,-Infinity,-Infinity,99.99888887654308,?,99.99777777777777,?,?,100000.0,421312.0,10.0,0.9999999999999994,2.5E-323,100483.90000000001,227.62661922054872,35664.0,30473.55872446363,53.400000000000006,30.321243011752962,18.7,28.229417280560362,18.7,28.229417280560362,5.3,3.8020462326956985,0.0,0.0,0.0,0.0,1.0,0.0
