learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.660181,2.9307443338135878E-8,5000.0,80.14,59.41839738551492,59.085290482076644,51.371204701273264,82.72141987123716,76.65177521749354,80.4127198917456,79.74559686888453,63.27683556417588,5000.0,171600.0,10.0,4983.3,68.98478093028926,11463.199999999999,1308.3061823085097,5.6000000000000005,0.9660917830792958,3.3000000000000003,0.4830458915396479,3.3000000000000003,0.4830458915396479,2.3000000000000003,0.4830458915396479,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.224094,6.961480141306917E-8,10000.0,81.02000000000001,61.772556215993845,60.19295302013423,52.3952846751944,83.02932761087268,78.4709618874773,77.24172350690401,86.71346202055653,64.02249322063702,10000.0,276296.0,10.0,9980.100000000002,62.197624106105835,21592.800000000003,2816.834346093737,10.600000000000001,1.837873166945363,5.800000000000001,0.9189365834726815,5.800000000000001,0.9189365834726815,4.200000000000001,0.4216370213557841,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.779973,1.2964760203535358E-7,15000.0,82.41333333333334,64.78501720221207,63.386537126995144,55.93050451052457,84.06619956511234,80.37786373103243,77.21926320461606,90.23046092184369,64.7011831666276,15000.0,417456.0,10.0,15012.599999999999,85.42599136094356,35193.6,2856.0953609974413,18.2,1.9321835661585915,9.6,0.9660917830792958,9.6,0.9660917830792958,7.1,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.238215,1.9675024768337608E-7,20000.0,83.43,66.86411547685778,65.23289970625264,58.19878910191726,84.98005801305294,81.52319357716325,77.67191383595691,92.19419924337957,65.16634735032655,20000.0,566040.0,10.0,20015.699999999997,77.68747932868267,49535.200000000004,3171.085926864102,25.8,1.6865480854231356,13.4,0.8432740427115678,13.4,0.8432740427115678,8.1,0.8755950357709134,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.692202,2.819198204576969E-7,25000.0,84.476,68.96662987547757,67.36461486713756,61.02631050411729,85.89291556104831,82.74267419627374,78.55718085106383,93.4136546184739,65.56882557083391,25000.0,725176.0,10.0,24972.3,79.35580914113629,64930.4,3789.1954936224784,33.4,3.0983866769659336,17.2,1.5491933384829668,17.2,1.5491933384829668,9.9,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,3.088342,3.6623684517211383E-7,30000.0,85.29333333333334,70.58905091427255,69.20069808027924,63.10419802642582,86.64406369195376,83.63865608544091,79.32926829268293,94.28929765886288,65.88219902817943,30000.0,822752.0,10.0,29947.7,105.47885517433784,74380.0,6345.693202655028,38.0,3.5590260840104375,19.5,1.7795130420052188,19.5,1.7795130420052188,10.5,1.0801234497346432,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,3.536272,4.7283700122601456E-7,35000.0,85.82857142857144,71.62368660454118,70.34024995515159,64.3754937872585,87.1755093598097,84.16549610522284,79.99051008303677,94.66427289048474,66.0785106849272,35000.0,919920.0,10.0,34964.7,95.31357604128526,83847.2,5344.173583341852,41.599999999999994,2.9888682361946524,21.299999999999997,1.4944341180973262,21.299999999999997,1.4944341180973262,10.9,1.2866839377079187,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,3.975722,5.867713207958474E-7,40000.0,86.275,72.50485854549785,71.29411764705883,65.51290910233055,87.59041591320072,84.64765100671143,80.46430499605466,95.0631241756171,66.24338253208236,40000.0,1002184.0,10.0,39927.5,131.33946686185203,91815.2,4651.12604764815,45.4,3.0983866769659336,23.2,1.5491933384829668,23.2,1.5491933384829668,11.399999999999999,0.9660917830792962,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,4.411476,7.088866304109495E-7,45000.0,86.60888888888888,73.16021753817391,71.932929669306,66.36713735558409,87.90397045244691,85.00323527947837,80.85373509102322,95.30665773759696,66.36271408490995,45000.0,1083256.0,10.0,44919.2,112.1752597005638,99643.20000000001,7080.9929749372795,49.6,4.993328882953068,25.3,2.496664441476534,25.3,2.496664441476534,11.899999999999999,1.286683937707919,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,5.074733,8.087820798034471E-7,50000.0,86.68599999999999,73.07509933577478,71.02881016624596,64.77591406952747,88.36778556326338,84.43571578873535,81.30808064567992,95.53462779747103,66.49111001539059,50000.0,582192.0,10.0,49915.3,145.87365156950807,51186.4,57594.71606010784,21.2,26.347253704661096,-4.699999999999999,27.026941291155303,-4.699999999999999,27.026941291155303,5.3999999999999995,6.397916327472041,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,5.403244,8.307064360442262E-7,55000.0,85.39999999999999,40.99238203568844,49.72451790633608,25.281473899692937,91.50767798976268,48.00569800569801,97.76286353467562,34.493346980552715,57.50135009615608,55000.0,257976.0,10.0,54895.799999999996,133.27815524933845,19792.8,6775.3954341343715,8.200000000000001,4.184627953726724,-21.099999999999994,4.863697724525607,-21.099999999999994,4.863697724525607,3.4,1.0749676997731399,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,5.736745,8.64041777799527E-7,60000.0,85.11,63.5998101029717,61.9570771589167,50.31698365031697,89.56771526658727,74.00034922297888,91.2751677852349,70.70403737070404,63.635525682581374,60000.0,386376.0,10.0,59897.6,142.66915885673762,32140.0,13459.870100083102,19.2,3.823901439919996,-15.6,4.115013163202924,-15.6,4.115013163202924,4.8,1.8737959096740262,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,6.035563,9.047694622973603E-7,65000.0,85.89333333333333,68.63907146041086,66.65616136148755,57.53562111178005,89.2914979757085,79.3359375,88.07028052311071,81.5171583383504,65.11287101285373,65000.0,526848.0,10.0,64919.7,169.8084214637199,45750.4,16732.447806582277,25.6,6.866990283636315,-12.4,4.115013163202924,-12.4,4.115013163202924,5.9,0.8755950357709131,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,6.356031,9.6151382961207E-7,70000.0,86.56,71.1638176972693,69.31857093939048,61.58353580105761,89.3595123109809,81.7614330302619,86.80304545104975,86.10833214234673,65.74788544002698,70000.0,684448.0,10.0,69921.3,163.5019877555015,60925.600000000006,19536.582774090482,34.2,8.904430857100802,-8.1,5.1305187088853135,-8.1,5.1305187088853135,7.9,1.4491376746189437,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,6.699263,1.036480424784952E-6,75000.0,87.268,73.14015550903157,71.44523190095991,64.6215405135045,89.67262580707958,83.4037228218364,86.35255889520714,88.89629876625543,66.19079574636162,75000.0,844272.0,10.0,74902.79999999999,168.76992886438492,76338.4,20306.293557526555,42.6,8.630694577430537,-3.9,5.195083145522205,-3.9,5.195083145522205,8.6,1.0749676997731397,0.0,0.0,0.0,0.0,1.0,0.0
