learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.328313,1.074556527895232E-6,5000.0,72.08,37.97521603374433,11.139401654996826,-40.86781029263368,79.83241837619185,54.64587394411956,68.91993015714642,84.86377396569122,62.00477887284932,5000.0,3127024.0
10000.0,3.618796,4.735839858916071E-6,10000.0,70.19,36.59747645620347,6.375628140703513,-49.57350727546412,77.92342442420201,54.11728490072342,65.70500811789684,88.20873055694932,62.03098795659435,10000.0,6178864.0
15000.0,6.016194,1.0469345646202565E-5,15000.0,68.78666666666666,35.47375959534963,2.458333333333306,-55.910755910755896,76.47709003215435,53.62519809825673,63.44086021505376,90.14319014319014,61.96451612782995,15000.0,9244480.0
20000.0,11.024474,2.6421355222596065E-5,20000.0,68.17,34.987108380687665,1.1337164155924622,-59.03072695478389,75.83510476768903,53.38312829525482,62.44295805463524,91.05670746939795,61.94749097502521,20000.0,1.2312016E7
25000.0,16.970095,5.009719981711979E-5,25000.0,67.51599999999999,34.58811431579286,-0.9823427008207075,-61.3550566262666,75.09583243889723,53.30343281007418,61.32117994691241,92.0921915358633,61.93007578769295,25000.0,1.5392552E7
30000.0,24.476639,8.59175237249521E-5,30000.0,67.51666666666667,34.81594538029735,-0.4742756985256033,-60.62304268996205,75.02370761462952,53.557641900586184,61.15405507040488,92.61579034119003,62.00198493024133,30000.0,1.844556E7
35000.0,33.760115,1.377269720111477E-4,35000.0,67.17714285714285,34.45472889292052,-1.9343389529725072,-62.46641210578417,74.6871144015512,53.33116672083199,60.682444770668475,92.82986847687738,61.95004302814201,35000.0,2.1572512E7
40000.0,44.390192,2.054710339486661E-4,40000.0,67.325,34.61290017689912,-1.5776793347322422,-62.259466170080714,74.84797167269647,53.381366814096154,60.8765064955392,92.8988206083178,62.00309006490261,40000.0,2.4634128E7
45000.0,57.428138,2.9876600395136203E-4,45000.0,67.50444444444445,34.92443629679309,-0.8761037527593657,-60.83369995600526,74.98503173272661,53.64106140823638,61.03653781887045,93.04883413990322,62.06556451825232,45000.0,2.7659952E7
50000.0,71.660998,4.120445699484957E-4,50000.0,69.04,36.92441491282857,7.416267942583745,-50.145489815712864,76.3519706691109,55.18239722061379,62.97883064516129,92.34496124031007,62.31448304476884,50000.0,3.0765072E7
55000.0,87.65168,5.522296316941476E-4,55000.0,68.01,35.85803898275301,1.2044471896232287,-60.511791269443,75.44331004836108,54.12304603470529,61.37896577566825,94.63390170511533,62.4525554883032,55000.0,3.3887312E7
60000.0,105.212425,7.197838654952435E-4,60000.0,66.78,32.90949041910362,-5.527318932655681,-68.62944162436555,74.6605644546148,51.78519593613934,60.9464508094645,90.55837563451776,61.543648422071605,60000.0,3.6882032E7
65000.0,125.484914,9.291171197880682E-4,65000.0,67.43,33.97768839123026,-0.8671415298854213,-61.4774417451661,75.12791141657121,52.83128167994208,61.61843918326444,90.43133366385722,61.654231981089836,65000.0,3.991476E7
70000.0,146.467973,0.001162077434143002,70000.0,68.18666666666667,34.89107808568125,-0.3786285233487873,-60.40336134453782,75.90872374798062,53.17896389324961,62.51975051975052,91.09243697478992,61.97019192614712,70000.0,4.2915632E7
75000.0,170.276798,0.0014458401866438303,75000.0,68.395,35.30326912448055,1.1726078799249282,-58.02500000000006,76.04139028920139,53.580083718880815,62.69375,91.2,62.026959864239686,75000.0,4.6070168E7
80000.0,196.203601,0.001776945776420871,80000.0,68.428,35.581204604867374,0.6670022652907157,-58.01801801801803,76.02150864295045,53.79617163261723,62.54436390902275,91.991991991992,62.1563262872362,80000.0,4.9365088E7
85000.0,225.819415,0.0021781602665438523,85000.0,68.83666666666667,36.29537395889715,3.2495084342336957,-54.01976935749585,76.31665611146296,54.45066991473813,62.94609277058086,92.05930807248764,62.250582495882824,85000.0,5.2366712E7
90000.0,258.708445,0.0026492263129003863,90000.0,69.28,36.98425344801979,4.553928095872157,-51.84296003389357,76.70407765307449,54.9106768430764,63.40126795372327,92.45869227510238,62.42194330298154,90000.0,5.536472E7
95000.0,294.967004,0.003197516555365082,95000.0,69.4775,37.587456924277774,5.590782554902586,-49.98771498771496,76.78853210137075,55.44323199883217,63.386691776522284,93.31695331695332,62.59066326008129,95000.0,5.84524E7
100000.0,333.67427,0.003812772967906973,100000.0,69.50444444444445,37.7091914452419,5.839165637436528,-49.7653606897304,76.79142214480204,55.54727738006543,63.350726902363476,93.57197424424315,62.634395731619904,100000.0,6.1442096E7
