learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.332072,2.2231837732924354E-7,5000.0,82.3,21.19087445537108,43.70229007633586,8.950617283950601,89.92142125042707,27.399507793273177,98.01390268123139,17.181069958847736,53.66446045570549,5000.0,2587888.0
10000.0,0.874953,9.495482302643357E-7,10000.0,83.93,36.552682593641066,49.01649746192896,18.63291139240509,90.60398760451382,44.52882292026234,96.54828660436137,32.65822784810127,56.83452173909416,10000.0,5178088.0
15000.0,1.361746,1.926011924455977E-6,15000.0,85.34,46.67844111007648,53.69551484523058,25.482887156895984,91.24427632888712,54.984646878198575,95.09502863308158,45.5099966113182,59.28849493038253,15000.0,7753792.0
20000.0,2.051982,3.767786658217923E-6,20000.0,85.39999999999999,50.02290645313302,54.58786936236392,26.651595076613887,91.13162850027334,58.72208085948544,93.65753168112866,52.17282089927154,60.38011936482077,20000.0,1.0314336E7
25000.0,2.844933,6.412199401083506E-6,25000.0,85.844,53.578922128543496,55.982587064676615,29.516032662816173,91.28947303650102,62.234553409454705,92.8224635867661,58.07608046205935,61.420384248396196,25000.0,1.289096E7
30000.0,3.729824,9.951907561100606E-6,30000.0,86.39333333333333,56.02257668614363,57.45700885878061,31.97800366605564,91.5887080156604,64.41150828247602,92.60385849410392,61.55640726545576,62.08064629165029,30000.0,1.5462512E7
35000.0,4.708861,1.4529222918752995E-5,35000.0,86.75428571428571,57.90445327870374,58.54051153639779,33.894196492228716,91.76729649097884,66.13091759205145,92.32143495194197,64.53728789391131,62.621626225660506,35000.0,1.8072328E7
40000.0,5.719161,1.9932438892908394E-5,40000.0,86.97500000000001,59.24406629491597,59.429995327830554,35.30361356016392,91.8629349659524,67.38041572752317,92.05559207437318,66.81981870110518,63.022894803293184,40000.0,2.067304E7
45000.0,6.958814,2.737381807071881E-5,45000.0,87.24444444444444,60.26126102400391,60.27131782945736,36.5535536641981,92.0195756749993,68.24167312161114,92.04517008316412,68.16624295346524,63.28732357996927,45000.0,2.3203616E7
50000.0,8.297452,3.632350285368661E-5,50000.0,90.66,70.2001123079279,71.02977667493795,53.48605577689241,94.20235878336437,75.98971722365037,94.96871088861076,73.53233830845771,64.9039769962266,50000.0,2.584324E7
55000.0,9.999143,4.8813473703314864E-5,55000.0,90.46,69.87350852551288,70.70024570024569,52.67857142857141,94.05829596412555,75.81135902636917,94.58850056369785,74.11998016856718,64.9439144054824,55000.0,2.8371552E7
60000.0,11.647142,6.202603186303129E-5,60000.0,89.72,67.33442557523821,67.875,48.341708542713555,93.61014420686226,73.72188139059304,94.00749063670412,72.46231155778895,64.51158853153693,60000.0,3.0990768E7
65000.0,13.580671,7.879114196800316E-5,65000.0,89.7,66.9260520469627,67.26001271455817,47.87449392712551,93.61913021930368,73.30222913426645,94.16749750747758,71.5587044534413,64.36734458576781,65000.0,3.3516456E7
70000.0,15.520997,9.688546044783666E-5,70000.0,89.65333333333334,66.89070151236389,67.020824479388,47.407658420874256,93.5830645828165,73.30581355349157,93.92480703792846,72.2128092172145,64.44719083388021,70000.0,3.6047064E7
75000.0,17.448044,1.1620597788513947E-4,75000.0,89.865,67.71222561365089,68.10887350534925,49.13425345043913,93.70555538303884,74.00282159805053,94.21167655323134,72.39648682559599,64.5383923294552,75000.0,3.8755096E7
80000.0,19.66772,1.3991072927419096E-4,80000.0,90.056,68.29076940981189,68.77668927405175,50.07029524000804,93.82605672279342,74.46065337990548,94.350931521902,72.78569993974693,64.64066666225855,80000.0,4.1280808E7
85000.0,21.777495,1.6382192172895082E-4,85000.0,90.01666666666667,68.34069691960373,68.71082323443378,50.02502920073418,93.79055833143283,74.5474632446673,94.21835298038073,73.18538294677124,64.69229782732097,85000.0,4.3809416E7
90000.0,24.283596,1.93932426457581E-4,90000.0,90.06857142857143,68.34429582736918,68.78031255613438,49.9568096746329,93.83294301327088,74.50865356409506,94.26106794040065,73.13561762165276,64.69093552462613,90000.0,4.6443168E7
95000.0,26.497945,2.2198476820771271E-4,95000.0,90.11749999999999,68.35727206161327,68.82000315507175,49.98101986587368,93.8721728751027,74.481957265509,94.33280368881827,72.99759584967734,64.67812604321796,95000.0,4.8969472E7
100000.0,28.935368,2.544564460092224E-4,100000.0,90.17777777777778,68.57002825252644,69.04328337302144,50.281214848143996,93.90832161856721,74.6588693957115,94.34782608695652,73.23959505061868,64.72778019088388,100000.0,5.149632E7
