learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.296734,1.9865999355084367E-7,5000.0,82.3,21.19087445537108,43.70229007633586,8.950617283950601,89.92142125042707,27.399507793273177,98.01390268123139,17.181069958847736,53.66446045570549,5000.0,2587888.0
10000.0,0.904813,1.013227461822745E-6,10000.0,83.93,36.552682593641066,49.01649746192896,18.63291139240509,90.60398760451382,44.52882292026234,96.54828660436137,32.65822784810127,56.83452173909416,10000.0,5178088.0
15000.0,1.373662,1.95369707941802E-6,15000.0,85.34,46.67844111007648,53.69551484523058,25.482887156895984,91.24427632888712,54.984646878198575,95.09502863308158,45.5099966113182,59.28849493038253,15000.0,7753792.0
20000.0,1.984927,3.58475143275948E-6,20000.0,85.39999999999999,50.02290645313302,54.58786936236392,26.651595076613887,91.13162850027334,58.72208085948544,93.65753168112866,52.17282089927154,60.38011936482077,20000.0,1.0314336E7
25000.0,2.916424,6.691201310168124E-6,25000.0,85.844,53.578922128543496,55.982587064676615,29.516032662816173,91.28947303650102,62.234553409454705,92.8224635867661,58.07608046205935,61.420384248396196,25000.0,1.289096E7
30000.0,3.856918,1.0453330528622286E-5,30000.0,86.39333333333333,56.02257668614363,57.45700885878061,31.97800366605564,91.5887080156604,64.41150828247602,92.60385849410392,61.55640726545576,62.08064629165029,30000.0,1.5462512E7
35000.0,4.878515,1.5229627683307561E-5,35000.0,86.75428571428571,57.90445327870374,58.54051153639779,33.894196492228716,91.76729649097884,66.13091759205145,92.32143495194197,64.53728789391131,62.621626225660506,35000.0,1.8072328E7
40000.0,5.962902,2.1029070582017303E-5,40000.0,86.97500000000001,59.24406629491597,59.429995327830554,35.30361356016392,91.8629349659524,67.38041572752317,92.05559207437318,66.81981870110518,63.022894803293184,40000.0,2.067304E7
45000.0,7.210635,2.851895231962204E-5,45000.0,87.24444444444444,60.26126102400391,60.27131782945736,36.5535536641981,92.0195756749993,68.24167312161114,92.04517008316412,68.16624295346524,63.28732357996927,45000.0,2.3203616E7
50000.0,8.638486,3.8065085304824425E-5,50000.0,87.586,61.23403705457965,61.351183063511826,38.251094309590115,92.23940685912905,68.99445526749588,92.33753880044058,68.70274572224433,63.45082436869613,50000.0,2.584324E7
55000.0,10.431039,5.1221959682378084E-5,55000.0,90.25999999999999,69.55226956257302,70.37712895377128,51.87747035573121,93.9132608423947,75.63781890945474,94.20762286860582,74.70355731225297,64.98291702071761,55000.0,2.8371552E7
60000.0,12.3043,6.624051849875392E-5,60000.0,89.99000000000001,68.4532923417326,69.14303329223182,50.124564025909336,93.76129635400436,74.69026548672566,94.1073439259352,73.59242650722472,64.74947305445039,60000.0,3.0990768E7
65000.0,14.168698,8.240621228948028E-5,65000.0,89.88666666666667,67.8191962376504,68.32985386221296,49.23025435073631,93.71660522718801,74.09936827727506,94.18081918081919,72.62382864792504,64.57643684594719,65000.0,3.3516456E7
70000.0,16.109644,1.0050631251808048E-4,70000.0,89.805,67.56926125830948,67.88976377952757,48.54907898057029,93.66514431292136,73.90247024190452,93.99513624742782,72.84885187988898,64.58405146150959,70000.0,3.6047064E7
75000.0,18.247101,1.2193639452437559E-4,75000.0,89.944,68.08653149363757,68.575,49.68981388833299,93.74689085663118,74.33646386280114,94.21086836974453,72.86371823093857,64.62866751695472,75000.0,3.8755096E7
80000.0,20.586944,1.4692445431526956E-4,80000.0,90.09,68.50517220710796,69.05059337913805,50.37556334501754,93.84051215115919,74.66121196624904,94.32712732725228,73.10966449674513,64.69868465123487,80000.0,4.1280808E7
85000.0,22.778097,1.7175794655061429E-4,85000.0,90.05142857142857,68.51623475454792,68.95506419400857,50.29264810849394,93.80801650247183,74.70579689089061,94.21682443293446,73.40471092077088,64.73436787242642,85000.0,4.3809416E7
90000.0,25.248233,2.0143633609212105E-4,90000.0,90.0925,68.49842083132101,68.98575676944748,50.20105554159334,93.84292705663016,74.65302206587785,94.25441607889645,73.33500879617995,64.72816714442725,90000.0,4.6443168E7
95000.0,27.572277,2.3087834208591115E-4,95000.0,90.13333333333333,68.49364373454398,68.99874319229158,50.19629837352776,93.8767066611502,74.61406518010291,94.31896910073438,73.19125070106563,64.71286962455768,95000.0,4.8969472E7
100000.0,30.210776,2.660287814670139E-4,100000.0,90.18599999999999,68.67097689668229,69.18100741112924,50.444354675823064,93.90881217492769,74.75952883082147,94.33388198912664,73.38921430014138,64.75397599554564,100000.0,5.149632E7
