learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,1.087978,1.192515154224303E-7,5000.0,78.75999999999999,49.98118878229722,38.327526132404174,-0.8547008547008659,85.03803888419273,63.40454858718127,76.46313655941222,87.36942070275404,63.998546323757665,5000.0,423688.0,10.0,0.8214245915073347,0.1785754084926654
10000.0,1.911377,2.7193818212176364E-7,10000.0,80.53,53.37799977970088,40.76665652570733,3.374689826302743,86.44622345979813,65.44809228039041,77.7582968065122,91.5136476426799,65.05227598808364,10000.0,716792.0,10.0,0.8102316103322441,0.1897683896677559
15000.0,2.638603,4.5198833158653643E-7,15000.0,82.54,57.49135706286216,46.89781021897811,13.763582482713222,87.93810159812094,68.39628333534452,79.8043968904121,93.31577214356273,65.78756893098704,15000.0,957032.0,10.0,0.9231482530706044,0.07685174692939546
20000.0,3.523265,7.325227268392013E-7,20000.0,83.535,59.529360754393366,49.617503059975526,18.28784119106702,88.6803478739129,69.81391511595929,80.77019411396368,94.49131513647643,66.19318493063318,20000.0,1225776.0,10.0,0.6886445643386141,0.311355435661386
25000.0,4.355451,1.0434455428375966E-6,25000.0,84.256,61.02177302368407,51.74104953408533,22.13649851632048,89.20993475519491,70.89187989942317,81.5793431937829,94.81701285855588,66.40714495676252,25000.0,1444224.0,10.0,0.8579198531409129,0.1420801468590871
30000.0,5.116464,1.3618327328479954E-6,30000.0,84.78,61.94037408627931,53.12114989733059,24.215767634854764,89.62131199709053,71.4731975509184,82.22732012513035,94.93775933609957,66.55168657916002,30000.0,1617208.0,10.0,0.8180440438749237,0.18195595612507628
35000.0,5.835753,1.6967092968813247E-6,35000.0,85.22285714285715,62.80928266498383,54.40761636107193,26.429587482219063,89.95259926956251,72.07946447851435,82.77440114408294,94.96443812233287,66.6593652959612,35000.0,1799632.0,10.0,0.6371370966943215,0.3628629033056787
40000.0,6.414002,1.9936199429465665E-6,40000.0,85.57000000000001,63.47425044923683,55.276615527661555,27.931077537770012,90.21562245728235,72.52475247524751,83.17964427495234,95.11799225870895,66.76406902924306,40000.0,1984784.0,10.0,0.8130286223479986,0.1869713776520015
45000.0,6.986265,2.3216458721521E-6,45000.0,85.88444444444444,64.09269800141041,56.132596685082866,29.280783789801806,90.45156635199326,72.9425796558187,83.53045699372535,95.3239812959252,66.86823578681633,45000.0,2215720.0,10.0,0.8603497805872895,0.13965021941271044
50000.0,7.688072,2.7606762898320125E-6,50000.0,87.32,65.82203609667381,59.17578879587894,33.33333333333333,91.64690382081687,73.69294605809127,85.89775253148926,93.37539432176656,66.94646123083278,50000.0,2418128.0,10.0,0.7672753651547991,0.23272463484520078
55000.0,8.612801,3.376879910396205E-6,55000.0,87.17,65.75633134205823,59.192111959287544,34.37340153452687,91.50499900681983,73.80028588932,85.89185829707893,92.42966751918159,66.76854158513957,55000.0,2575800.0,10.0,0.8816035248991371,0.11839647510086296
60000.0,9.30865,3.878388970986836E-6,60000.0,87.42,67.18186443741263,61.100803957946816,36.97394789579157,91.5830322494313,75.10882469331223,85.5072463768116,95.09018036072145,67.19327100564702,60000.0,2785904.0,10.0,0.7447103358741708,0.2552896641258292
65000.0,10.059264,4.458860450300078E-6,65000.0,87.62,67.57773238660312,61.28830519074421,37.50630994447249,91.73344017094017,75.35828025477707,85.6590597331338,95.557799091368,67.30840564604502,65000.0,2989280.0,10.0,0.8219040456718547,0.17809595432814523
70000.0,10.760512,5.028063005850547E-6,70000.0,87.58666666666667,67.64670994956919,60.98072087175189,37.348586810228824,91.69417432420377,75.441835927196,85.45061523112737,96.23149394347242,67.3947529809628,70000.0,3137600.0,10.0,0.8962551392148803,0.1037448607851196
75000.0,11.549435,5.698281413308448E-6,75000.0,87.715,67.93088169165813,61.422515308525675,37.89180990899897,91.78617992177314,75.64191533657181,85.56469708302168,96.43579373104146,67.45377876999612,75000.0,3283856.0,10.0,0.7621153155280938,0.23788468447190625
80000.0,12.28795,6.352804605830461E-6,80000.0,87.436,67.42715463201833,60.79630554168748,36.927710843373525,91.57208403767206,75.32793967480951,85.23476523476523,96.285140562249,67.36466169235436,80000.0,3425848.0,10.0,0.8718532498895835,0.12814675011041668
85000.0,13.181413,7.173150186917434E-6,85000.0,87.32,67.21323363068832,60.56396433754924,36.398595552583174,91.48421759570181,75.18590998043054,85.07015279570341,96.35512456111019,67.34710041212124,85000.0,3549136.0,10.0,0.9250533996111594,0.07494660038884053
90000.0,14.088742,8.035845779341955E-6,90000.0,87.33142857142857,67.19050790675144,60.537557849768596,36.32969557725445,91.4985811795383,75.15131136516476,85.10843201597945,96.28087306145893,67.34042342409171,90000.0,3675320.0,10.0,0.8975887987737498,0.10241120122625029
95000.0,14.824944,8.750425965438286E-6,95000.0,87.2,66.90228961168887,60.09353078721745,35.67839195979898,91.40449249571904,74.94372124889888,84.96566791510611,96.19346733668341,67.29768481377899,95000.0,3751944.0,10.0,0.9036753762740803,0.09632462372591968
100000.0,15.579696,9.506210753172635E-6,100000.0,87.03555555555556,66.54028726824703,59.56473523703909,34.87385577137752,91.28681522193679,74.68321471966672,84.7927418012319,96.05938825630722,67.24063690536012,100000.0,3870760.0,10.0,0.6752420578371395,0.32475794216286047
