learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,1.503813,1.2175255309666197E-6,5000.0,74.74,48.88407831720071,39.56937799043062,12.53462603878113,79.37959183673469,67.40645161290323,68.36332958380203,90.4432132963989,63.0092340217291,5000.0,3129584.0
10000.0,3.941419,5.143186354918613E-6,10000.0,76.31,51.77138864606062,42.874367012298045,19.80365605958023,80.67857434140772,69.38880992376276,70.1958558047119,90.89370345294516,63.460530894733516,10000.0,6225176.0
15000.0,7.070422,1.2683772693762763E-5,15000.0,77.51333333333334,54.10301867970401,46.05789221173837,24.32129234911376,81.68341026337225,70.88476478204575,71.33643175566726,92.12474758806371,63.925968773208865,15000.0,9315400.0
20000.0,11.979388,2.845527854792981E-5,20000.0,77.765,54.775655215534414,46.882465360726215,25.523362920783764,81.80665221126702,71.4147971974031,71.26666191460545,93.03299279852621,64.08971343225286,20000.0,1.2418968E7
25000.0,18.768482,5.561755188282787E-5,25000.0,77.46,54.23218695273959,46.200114569409955,24.4739311084305,81.5276184232093,71.09515260323161,70.89913906152005,92.88299155609168,63.988696388036324,25000.0,1.546524E7
30000.0,28.932382,1.045279310606151E-4,30000.0,76.98333333333333,53.41431657504808,45.189712652802044,23.089775005569184,81.06403400521049,70.66071807945613,70.30729711730568,92.61528179995545,63.82056465537992,30000.0,1.8601288E7
35000.0,40.934941,1.7185443160236296E-4,35000.0,76.57714285714286,52.72185486691339,44.23129251700681,21.64022175492256,80.6814968423037,70.25830793789,69.76526204254625,92.55400497036895,63.702289404093484,35000.0,2.168276E7
40000.0,54.854526,2.611474974172749E-4,40000.0,76.0775,51.91603157244923,42.837514934289125,19.716419162681422,80.19947441388872,69.78814763363117,69.01107510416296,92.72589982381072,63.58792631623823,40000.0,2.4796696E7
45000.0,71.600086,3.817279535084073E-4,45000.0,75.77111111111111,51.413262992943245,42.23270107025538,18.761642202518438,79.89377985136555,69.52170631481843,68.59621900630165,92.65330452276284,63.492031690808346,45000.0,2.7834256E7
50000.0,91.824288,5.436410031794778E-4,50000.0,75.63,51.168398791622536,41.91257091099775,18.183039011616188,79.7668664795842,69.36671946099506,68.41655510297092,92.63412341368428,63.4528719832001,50000.0,3.0946592E7
55000.0,113.723649,7.361179496431186E-4,55000.0,73.1,46.91484051086789,36.13485280151947,9.427609427609434,77.32254257292193,66.94519537970017,65.25327262379055,91.65545087483177,62.63160613831932,55000.0,3.3974232E7
60000.0,140.005721,9.89422946002202E-4,60000.0,73.21,47.787678780912664,36.83093609997642,12.163934426229513,76.93102557478689,68.05770835817337,64.28263059433012,93.54310062274665,62.814355687429604,60000.0,3.7255168E7
65000.0,170.519107,0.001307321502610979,65000.0,72.73333333333333,46.791478449291205,35.38704581358611,10.483694462683314,76.56429062571625,67.40516416958877,64.05560882070948,92.5382932166302,62.56874260310409,65000.0,4.0271752E7
70000.0,203.008889,0.0016715055579034116,70000.0,72.05,45.62248398808321,33.95557655954632,7.603305785123974,75.94664371772805,66.64677804295943,63.266183955839125,92.29879358783673,62.362845016819875,70000.0,4.3328784E7
75000.0,237.338069,0.0020843543420151003,75000.0,71.836,45.15760108701139,33.191004839168805,6.580867719251682,75.81160465835308,66.29649131204825,63.18863818577483,91.86786946139559,62.26084396455979,75000.0,4.6486832E7
80000.0,273.863664,0.0025521759485368847,80000.0,71.89999999999999,45.1325244358887,33.41758154964063,6.747787610619463,75.94315392957023,66.2232550685151,63.485853332697175,91.40581794049331,62.22774125604883,80000.0,4.9509136E7
85000.0,313.054089,0.0030848730101490003,85000.0,71.87714285714286,45.086474397199325,33.560580492743846,6.692577495497219,75.92280032288838,66.1973282049521,63.47239263803681,91.35545023696683,62.21491840286453,85000.0,5.2541528E7
90000.0,354.373181,0.003679972004096705,90000.0,71.7175,44.949641793114694,33.18962971712041,5.913173652694606,75.7205708767035,66.13381230354737,63.05987488829312,91.85862785862786,62.233130796007885,90000.0,5.5672512E7
95000.0,398.06816,0.004344135316283937,95000.0,71.52888888888889,44.64463964216322,32.73481388145114,5.264714581484755,75.5300049658123,65.96355135221296,62.821286735504366,91.79297597042513,62.17199182628973,95000.0,5.875512E7
100000.0,443.840188,0.005075808821428073,100000.0,71.152,44.111694715448444,32.03599868067663,4.502118644067815,75.06741339970961,65.77773559836764,62.226680040120364,91.77093677590203,62.04788812200267,100000.0,6.1790192E7
