DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
DRIFT DETECTED
learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,5.005832366,3.3974806059434883E-6,5000.0,69.06,0.0,25.838926174496645,0.0,81.6988051579321,?,100.0,0.0,?,5000.0,2623704.0
10000.0,8.420166836,3.626789955959643E-6,10000.0,69.25,0.0,25.68873852102464,0.0,81.83161004431315,?,100.0,0.0,?,10000.0,259608.0
15000.0,19.492486727,4.4020845389859686E-6,15000.0,72.46000000000001,24.39476278074418,34.20926899187769,9.168865435356215,82.13621621621621,39.912727272727274,90.86299272866437,30.167106420404572,55.00684029033774,15000.0,270664.0
20000.0,37.934142624,5.767240241078335E-6,20000.0,74.17,33.92892371355004,38.01295896328294,13.539748953974891,82.45482950686048,51.06100795755968,86.55258467023172,45.10460251046025,57.3709829052745,20000.0,286144.0
25000.0,48.934207978,6.610895190479595E-6,25000.0,75.008,39.06018603294418,40.181905217807554,16.492916332531397,82.45732255166219,56.562847608453836,83.82235415001712,54.37048917401764,58.7777260797053,25000.0,296464.0
30000.0,64.680687574,7.83959841821811E-6,30000.0,75.72666666666666,42.77569920795186,42.128268298497964,19.633594525990514,82.53046732559255,60.242411006770034,82.14814461053537,60.88731928043263,59.7987173547577,30000.0,301624.0
35000.0,78.826674623,9.000152742410847E-6,35000.0,76.14857142857143,44.831176508260754,43.07146753955265,20.729275472414795,82.57784456131564,62.198877015033496,80.85332461481876,65.21697844459216,60.42977392383057,35000.0,317128.0
40000.0,89.941148772,9.971344642561758E-6,40000.0,76.4575,46.44612669436064,43.859544533206154,21.92189702346407,82.56918093475242,63.74590952839269,79.83106052471456,68.64273277506011,60.92491142787462,40000.0,337768.0
45000.0,103.91922048,1.1248824644958337E-5,45000.0,76.63333333333333,47.50475544177681,44.27662957074721,22.61554312628789,82.51783131328246,64.77740930559742,79.00165541831147,71.15837503679717,61.26990094147139,45000.0,353272.0
50000.0,118.392973942,1.2590926806073264E-5,50000.0,76.944,48.58842583825127,44.8579355209031,23.5036496350365,82.64325935740311,65.6720862366744,78.57142857142857,73.17186463171865,61.59206385630116,50000.0,358432.0
55000.0,131.633255723,1.3854002104006364E-5,55000.0,83.91999999999999,65.07818750580944,61.85958254269448,44.742268041237104,87.66492789199141,76.90982194141297,80.59238363892807,92.02749140893471,65.69244154540588,55000.0,368752.0
60000.0,159.828158831,1.65436945314316E-5,60000.0,91.96,81.6847280154774,80.66378066378066,72.69021739130433,94.06203840472674,87.55417956656348,90.24943310657596,96.05978260869566,68.24756693745053,60000.0,368752.0
65000.0,179.080857555,1.8380332797826254E-5,65000.0,94.64,87.59061934786668,87.0781099324976,81.8592057761733,96.09025481423848,91.47944044086478,93.48978046934141,97.3826714801444,69.07829831963977,65000.0,368752.0
70000.0,192.172689311,1.962924649688582E-5,70000.0,95.98,90.62617030777186,90.36433365292426,86.44410723318158,97.0833635638105,93.53385877432846,95.10981590731396,98.04417467543416,69.48992563363917,70000.0,368752.0
75000.0,205.238689518,2.0875695959006258E-5,75000.0,96.784,92.46232173390901,92.29294478527608,89.16149905634944,97.67576318223865,94.78193146417446,96.08690706404278,98.43623618225938,69.73577690939963,75000.0,368752.0
80000.0,220.160299176,2.2299163893915747E-5,80000.0,97.32,93.69737793989881,93.57005758157388,90.97237817201884,98.06805074971166,95.62663185378591,96.7384090262634,98.69750729845049,69.89919819366919,80000.0,368752.0
85000.0,232.610288017,2.3486848085590265E-5,85000.0,97.70285714285714,94.60106912184821,94.51194539249148,92.30769230769232,98.34308795647515,96.25628608679456,97.19732768453642,98.89016456180634,70.01562187225483,85000.0,368752.0
90000.0,246.947513478,2.4854567868312208E-5,90000.0,97.99,95.2595819885247,95.18505210204815,93.2505036937542,98.55406085893101,96.70437776684702,97.5505553973227,99.02619207521826,70.10291496659411,90000.0,368752.0
95000.0,260.672858059,2.6163916414108166E-5,95000.0,98.21333333333332,95.78990750343002,95.73361634385778,94.02630210268221,98.71380579107343,97.07530010913058,97.81871215243652,99.1381231889442,70.17065543041848,95000.0,368752.0
100000.0,272.180361413,2.7261690877501945E-5,100000.0,98.392,96.20446968938307,96.14554868402129,94.61883408071749,98.84393063583815,97.35995271557103,98.03759377050115,99.22361287731745,70.2248543337433,100000.0,368752.0
