learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.837276,6.707096442580224E-8,5000.0,64.8,36.3945388929325,17.370892018779358,-16.94352159468436,66.94214876033058,62.36099230111206,50.987124463519315,96.87707641196013,60.79971235036384,5000.0,309648.0,10.0,0.7110870191046826,0.2889129808953175,7824.599999999999,85.5793329152677,24584.0,2453.6840329050788,14.200000000000001,1.9321835661585918,7.6000000000000005,0.9660917830792959,7.6000000000000005,0.9660917830792959,6.0,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.609413,1.7898823579773308E-7,10000.0,73.32,48.8124507765907,36.40047675804528,10.439744880832498,76.7919276270007,68.62652869238006,62.86853724540664,97.95233299765022,63.4075843734519,10000.0,560280.0,10.0,0.6327865122293752,0.36721348777062485,15678.599999999999,77.97606470364252,48814.40000000001,5406.0414599470705,26.400000000000002,3.405877273185281,13.700000000000001,1.7029386365926404,13.700000000000001,1.7029386365926404,8.5,0.8498365855987975,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,2.362404,3.3210205202301346E-7,15000.0,77.82666666666667,55.95760404281123,47.473152242577385,25.49283154121863,81.4272950636587,72.4942110486272,69.20083523158695,98.18548387096774,64.68893241941674,15000.0,786008.0,10.0,0.6150512830721261,0.3849487169278739,23597.9,114.24481510238337,70630.40000000001,6984.2670688404305,37.6,4.526465385804787,19.3,2.2632326929023936,19.3,2.2632326929023936,9.8,0.7888106377466156,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,3.083645,5.121466710542639E-7,20000.0,80.155,59.906861082597175,52.77810826888757,33.783783783783775,83.63771282516387,74.78879502000888,72.426103098672,98.21488154821488,65.31481161399894,20000.0,964944.0,10.0,0.560925779344705,0.43907422065529494,31441.8,98.55150937453966,87913.6,6161.420673116804,46.599999999999994,3.502380143083654,23.799999999999997,1.751190071541827,23.799999999999997,1.751190071541827,10.700000000000001,0.6749485577105531,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,3.774545,7.15937538134555E-7,25000.0,81.244,61.68873506645033,55.56292645943898,37.35470941883769,84.70895157345508,75.74864235841738,74.15358264344847,97.83567134268537,65.5723367713348,25000.0,1140176.0,10.0,0.6882797012694273,0.3117202987305729,39278.6,111.88506006910254,104871.20000000001,5454.8417799643275,54.800000000000004,3.32665998663324,27.900000000000002,1.66332999331662,27.900000000000002,1.66332999331662,11.4,0.6992058987801011,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,4.385749,9.242535123022067E-7,30000.0,82.26333333333334,63.4768785280745,57.8167115902965,40.772484416740866,85.65420182793669,76.77332052904971,75.5852683669585,97.88512911843277,65.85408064148176,30000.0,1317464.0,10.0,0.8098065079419837,0.19019349205801625,47104.99999999999,123.73538073018895,121916.0,7321.177075974721,65.0,5.333333333333333,33.0,2.6666666666666665,33.0,2.6666666666666665,12.200000000000001,0.9189365834726817,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,4.872918,1.1139875903311703E-6,35000.0,82.99714285714286,64.7813196324976,59.51149816301539,43.25355201678269,86.32488452788564,77.52898085564323,76.62464814588178,97.89262896919996,66.05249372943494,35000.0,1505456.0,10.0,0.663811663845777,0.3361883361542231,54972.4,109.86982196116337,140071.2,7828.28916742917,74.39999999999999,5.0815570667092,37.699999999999996,2.5407785333546,37.699999999999996,2.5407785333546,12.8,1.2292725943057186,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,5.321002,1.3082670711229245E-6,40000.0,83.5475,65.7701849853894,60.818051917123114,45.2677977378576,86.81611475048581,78.12385732805905,77.45210180154419,97.72954091816366,66.17810112108609,40000.0,1675984.0,10.0,0.694389469021306,0.3056105309786939,62757.9,126.60915360975186,156607.19999999998,7642.113448225928,82.0,5.099019513592785,41.5,2.5495097567963927,41.5,2.5495097567963927,13.2,1.1352924243950935,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,5.77354,1.5274453439439338E-6,45000.0,84.02222222222223,66.60217371447818,62.00591841048404,46.811658529368245,87.2553885422575,78.59099571224392,78.18118289816402,97.62538837106081,66.2960351886191,45000.0,1872168.0,10.0,0.6796657121426237,0.3203342878573763,70600.59999999999,109.0180413203872,175521.6,7007.115925971259,92.4,4.812021982031625,46.7,2.4060109910158123,46.7,2.4060109910158123,14.1,1.5238839267549946,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,6.258645,1.7802605774253608E-6,50000.0,86.78,71.45651406394985,68.85014137606032,55.367994598244444,89.78519548755988,81.26948143950126,82.55186132423984,96.82646860229575,66.96609775224617,50000.0,2014512.0,10.0,0.7970162995363125,0.20298370046368744,78487.8,146.8958814943434,189268.80000000002,8076.397172557137,100.4,6.113736809658866,50.7,3.056868404829433,50.7,3.056868404829433,14.600000000000001,1.505545305418162,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,6.746341,2.056646710890863E-6,55000.0,87.51,72.95021540204772,70.70825515947466,58.08724832214766,90.36785686743272,82.24086449594768,83.46153846153847,97.0469798657718,67.1767292906015,55000.0,2190632.0,10.0,0.731549414335741,0.2684505856642589,86331.0,138.72514792447302,206251.2,9685.744631501839,109.39999999999999,5.64111888034832,55.199999999999996,2.82055944017416,55.199999999999996,2.82055944017416,15.2,1.6865480854231356,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,7.286331,2.3875167700441347E-6,60000.0,87.4,73.06771545827634,70.02854424357754,57.943925233644855,90.15932521087161,82.49027237354085,82.45714285714286,98.93333333333332,67.34064081044897,60000.0,2368504.0,10.0,0.7175500019347324,0.2824499980652677,94211.70000000001,154.0007575738937,223336.80000000002,10168.67063091336,121.0,8.537498983243797,61.0,4.268749491621898,61.0,4.268749491621898,15.6,1.7126976771553504,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,7.803791,2.726244876852466E-6,65000.0,87.76,73.83097245517433,70.94017094017096,59.510420112471074,90.43151969981238,83.01886792452831,82.9247311827957,98.9090909090909,67.42288596832063,65000.0,2530328.0,10.0,0.7808997278795575,0.2191002721204424,102110.90000000001,176.6172572416262,238952.80000000002,13724.811569643576,129.4,10.319345371140983,65.2,5.1596726855704915,65.2,5.1596726855704915,15.7,1.70293863659264,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,8.314359,3.082442438556916E-6,70000.0,87.58,73.50212826885313,70.40508339952343,59.036939313984185,90.26798307475318,82.84056369162751,82.67942583732058,98.83516483516483,67.36367542535172,70000.0,2696744.0,10.0,0.6422652008742556,0.35773479912574446,109966.0,206.7849124090061,255051.2,15346.599802924135,137.2,11.013123484683579,69.1,5.506561742341789,69.1,5.506561742341789,15.999999999999998,1.8257418583505538,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,8.812953,3.4469875320585235E-6,75000.0,87.625,73.52787213442423,70.41243275552898,58.914342629482064,90.33618367107883,82.7993606226979,82.78231000429369,98.85496183206108,67.38643629031638,75000.0,2826224.0,10.0,0.7815017726545485,0.2184982273454516,117815.5,230.45667223532072,267668.0,16697.707307691475,142.0,10.964589468932349,71.5,5.4822947344661745,71.5,5.4822947344661745,16.099999999999998,1.9119507199599979,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,9.305204,3.818662725531806E-6,80000.0,87.588,73.45508309888375,70.42508577964163,58.884324897310194,90.3022158327343,82.76398378048103,82.7860867572059,98.68856802225461,67.35626451553345,80000.0,2918632.0,10.0,0.7806619561412722,0.21933804385872765,125661.4,223.8522330070048,276569.6,12692.142128979736,150.6,11.423173328322077,75.8,5.711586664161039,75.8,5.711586664161039,16.099999999999998,1.9692073983655904,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,9.812229,4.219048548994792E-6,85000.0,87.60333333333334,73.41169365009188,70.50051558657889,58.705307572729296,90.34702935603602,82.68057560657572,82.9077743902439,98.54573712255772,67.35234062614336,85000.0,3052472.0,10.0,0.6968879294177759,0.3031120705822242,133513.40000000002,248.0439925138745,289653.60000000003,13200.114235195924,154.8,12.090400232323898,77.9,6.045200116161949,77.9,6.045200116161949,16.099999999999998,1.9692073983655904,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,10.323211,4.621657048943969E-6,90000.0,87.55142857142857,73.28467670511823,70.38471995649809,58.445398187887456,90.31454929420917,82.58245052968218,82.87031371109207,98.49337274721083,67.33566782513984,90000.0,3045648.0,10.0,0.5051666755867739,0.49483332441322636,141414.6,249.63137267222808,288951.19999999995,14668.888777121316,164.4,15.174540080894266,82.7,7.587270040447133,82.7,7.587270040447133,16.3,2.057506581601462,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,10.878181,5.073658036101195E-6,95000.0,87.515,73.21740111249359,70.19575077584149,58.327770360480635,90.28253424657534,82.54334451901566,82.81216534589848,98.50659102286001,67.32732661571349,95000.0,3148272.0,10.0,0.7271464948967405,0.27285350510325945,149245.2,298.48275587637573,298877.6,18256.1795881711,172.0,13.408123574079177,86.5,6.704061787039588,86.5,6.704061787039588,16.7,1.8885620632287061,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,11.451266,5.556517292716436E-6,100000.0,87.52444444444446,73.2330764719467,70.22382518298505,58.34384506937747,90.2919001175901,82.55004351610096,82.82414898004505,98.51621040136509,67.33133731432382,100000.0,3256896.0,10.0,0.7419369387834674,0.25806306121653255,157050.5,327.10047725771153,309454.4,18910.995950034525,176.2,13.138577633146683,88.6,6.569288816573342,88.6,6.569288816573342,16.7,1.8885620632287061,0.0,0.0,0.0,0.0,1.0,0.0
