learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.47045,2.0587744915650947E-8,5000.0,75.4,51.66510947106069,43.26568265682656,20.747422680412374,78.90222984562608,70.50359712230217,66.70533642691416,94.71649484536083,63.52594573720941,5000.0,169160.0,10.0,0.6188404089265086,0.3811595910734913,2576.8,67.47312222079411,11142.4,1059.219335170955,5.200000000000001,0.632455532033676,3.1000000000000005,0.316227766016838,3.1000000000000005,0.316227766016838,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.914202,5.005158673144048E-8,10000.0,76.2,53.195774797733975,43.44106463878327,21.27026132980484,79.76534602958681,71.1094925952901,67.23520137594954,96.8905061197486,64.05577793917153,10000.0,256656.0,10.0,0.6420649291350896,0.35793507086491044,4977.599999999999,64.59652553435917,19524.800000000003,2406.8737122389007,10.6,2.065591117977289,5.8,1.0327955589886444,5.8,1.0327955589886444,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.315511,8.381350124047861E-8,15000.0,77.67333333333333,55.548795185200525,46.46739130434784,24.82603815937152,81.35404487500696,72.18207492316637,69.28402086296823,97.53086419753086,64.57841842684347,15000.0,325200.0,10.0,0.8048240102500835,0.19517598974991648,7330.3,78.04421823556189,26135.999999999996,2950.6037047055675,14.200000000000001,1.6865480854231358,7.6000000000000005,0.8432740427115679,7.6000000000000005,0.8432740427115679,4.300000000000001,0.4830458915396481,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.70402,1.2804084624888168E-7,20000.0,78.515,57.06820500436661,48.61891665670215,27.84214945424013,82.11297506556217,73.10508856481191,70.22427910288359,98.0688497061293,64.86392078979902,20000.0,440040.0,10.0,0.5984050351507602,0.4015949648492398,9771.599999999999,67.82198922342423,37210.4,3296.2460533832186,20.2,2.5298221281347035,10.6,1.2649110640673518,10.6,1.2649110640673518,5.9,0.316227766016838,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.961313,1.6265036298996873E-7,25000.0,79.172,58.178475625853366,50.19131432944327,29.92867716323508,82.75313835248915,73.71396839820284,71.10251010302237,98.25057192840802,65.0678649625586,25000.0,519960.0,10.0,0.9594719514294214,0.04052804857057854,12153.7,75.76432757791316,44906.4,2753.454525177821,24.599999999999998,2.6331223544175333,12.799999999999999,1.3165611772087666,12.799999999999999,1.3165611772087666,6.400000000000001,0.6992058987801009,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,2.239083,2.0525200388497777E-7,30000.0,79.90666666666667,59.461290313772984,51.96047178833281,32.368450577807714,83.44319929685784,74.44896575110208,72.03490302081852,98.53023673286211,65.30029474544517,30000.0,592848.0,10.0,0.8109059216690135,0.18909407833098643,14558.8,111.91445145487003,52001.6,4504.406218113302,27.400000000000002,3.5023801430836525,14.200000000000001,1.7511900715418263,14.200000000000001,1.7511900715418263,7.3,0.8232726023485646,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,2.54344,2.5814903124546014E-7,35000.0,80.53714285714285,60.611454549828004,53.571428571428555,34.77594791267712,83.99661701827749,75.16949770357951,72.80094477928,98.7265415549598,65.48425122390876,35000.0,671816.0,10.0,0.5589194357493923,0.4410805642506077,17057.099999999995,112.23729821726538,59615.99999999999,4774.980721310705,31.599999999999998,3.272783388968954,16.3,1.636391694484477,16.3,1.636391694484477,8.1,0.7378647873726218,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,2.924533,3.311317308805883E-7,40000.0,81.13749999999999,61.62423841787981,55.0169915936326,36.57531943510422,84.58347806542571,75.70752438906598,73.64787930543694,98.83154001344991,65.66571010026595,40000.0,740272.0,10.0,0.8157782455071293,0.18422175449287073,19420.5,129.67844847930618,66281.6,3695.5147348584,34.2,2.1499353995462798,17.6,1.0749676997731399,17.6,1.0749676997731399,8.6,0.8432740427115678,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,3.227823,3.9428055568908656E-7,45000.0,81.64666666666666,62.53263170819076,56.14146885454835,38.34726784114662,85.04698278203249,76.24471481577358,74.31654220984686,98.93998208420423,65.81347208095983,45000.0,804840.0,10.0,0.638466114122879,0.36153388587712104,21869.600000000002,103.1602852092045,72522.4,4819.5543177997515,37.400000000000006,3.3730961708462712,19.200000000000003,1.6865480854231356,19.200000000000003,1.6865480854231356,9.3,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,3.511664,4.585604761809939E-7,50000.0,82.134,63.38223465302191,57.36445208094692,39.913903275711306,85.50425963488844,76.72182410423453,74.98932627444283,99.0179592385821,65.95591056020396,50000.0,875392.0,10.0,0.7604255754940086,0.2395744245059915,24264.1,124.55828622242159,79305.6,6223.699278653421,41.400000000000006,4.29987079909256,21.200000000000003,2.14993539954628,21.200000000000003,2.14993539954628,9.700000000000001,1.0593499054713804,0.0,0.0,0.0,0.0,1.0,0.0
