learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.380603,1.1051404993567202E-9,5000.0,75.66000000000001,49.74106530770694,49.03685092127304,38.72104733131925,79.35538592027142,70.35322777101096,77.70764119601328,72.56281407035175,61.292425157266585,5000.0,11224.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
10000.0,0.58876,2.242029400335418E-9,10000.0,77.39,54.328295885094605,52.249208025343194,43.46086521630409,79.8932859048466,74.17475728155338,74.90411872602968,81.11416437671745,62.45363942612695,10000.0,21112.0,9.0,5.0,5.0,4.0,0.0,0.0,1.0
15000.0,0.747034,3.951589965985881E-9,15000.0,79.75333333333333,59.17594171706339,57.7901320361362,49.909285832096316,81.86973912005253,77.07751528417239,76.76032687786858,84.16021097741883,63.42722953418496,15000.0,41752.0,21.0,11.0,11.0,7.0,0.0,0.0,1.0
20000.0,0.90122,6.317109606332249E-9,20000.0,81.85,63.27983019136813,62.32094664729084,54.90683229813664,83.89100914174138,79.21676399862592,79.12271890172443,85.89520735038491,64.22965169065401,20000.0,59304.0,33.0,17.0,17.0,8.0,0.0,0.0,1.0
25000.0,1.049392,9.14050630397267E-9,25000.0,83.152,65.87877860933177,65.0630391506304,58.139534883720934,85.08181624991144,80.64871818432418,80.42721307084506,87.19451619312537,64.73440531586941,25000.0,73656.0,35.0,18.0,18.0,8.0,0.0,0.0,1.0
30000.0,1.202892,1.2453637727432782E-8,30000.0,84.17999999999999,67.93790898419513,67.3567645642754,60.750909692358576,86.00990449239477,81.79935572940636,81.48458445040214,88.16964285714286,65.12569141812334,30000.0,83432.0,39.0,20.0,20.0,8.0,0.0,0.0,1.0
35000.0,1.324873,1.519779722309775E-8,35000.0,84.85714285714285,69.31805400430704,68.81252206661173,62.429999291132056,86.60127414298717,82.59098672973329,81.9953085355929,89.09361491035362,65.40048230822661,35000.0,86960.0,39.0,20.0,20.0,8.0,0.0,0.0,1.0
40000.0,1.450423,1.8565050802297065E-8,40000.0,85.28999999999999,70.17763538922087,69.69041364034409,63.46476249611922,87.00472635717126,83.05397154541788,82.44527227826379,89.50897014091501,65.56566220575729,40000.0,103672.0,51.0,26.0,26.0,10.0,0.0,0.0,1.0
45000.0,1.573563,2.2237712144851688E-8,45000.0,85.58,70.74487951985876,70.20250723240116,64.04587765957447,87.29216849773809,83.33461745897219,82.70372569392906,89.87369820518502,65.68436341685783,45000.0,115288.0,55.0,28.0,28.0,10.0,0.0,0.0,1.0
50000.0,1.687246,2.5958649327771534E-8,50000.0,86.03,71.66853485334813,71.14232596570955,65.2781229805637,87.66968525481474,83.88733823902562,83.10853776900164,90.36827195467421,65.85529776025537,50000.0,126520.0,61.0,31.0,31.0,10.0,0.0,0.0,1.0
