learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.740073,7.26588545863827E-8,5000.0,73.24000000000001,47.91270886303021,45.20884520884521,33.20019970044933,73.99922269724057,72.43510506798518,63.5938543754175,87.6370887337986,61.48799539528349,5000.0,379504.0,10.0,0.5585297480759714,0.44147025192402856
10000.0,1.466845,2.0523300405591723E-7,10000.0,76.81,54.97034916911653,52.22496909765143,41.689715866230834,77.45260087506078,76.12969634585693,66.16279069767442,92.91457286432161,63.062937523159356,10000.0,705120.0,10.0,0.7227129184560211,0.27728708154397885
15000.0,2.389708,4.494198054509858E-7,15000.0,80.34666666666666,61.52711094530202,59.21980910222714,50.67759745691818,81.24443313398652,79.35863324464361,70.78713968957871,94.76588628762542,64.33370539173151,15000.0,1022792.0,10.0,0.5948966798638811,0.40510332013611877
20000.0,3.285291,7.482453790948622E-7,20000.0,82.59,65.71679949683839,63.763138724112814,56.556456643792885,83.56927142317855,81.4866014461931,73.90252044733768,95.57246196058867,65.09127868000564,20000.0,1289776.0,10.0,0.4716378781236325,0.5283621218763677
25000.0,4.108027,1.0820350340319177E-6,25000.0,83.788,67.98741043504579,66.25593206227623,59.72374043525787,84.76831147356158,82.6728228805951,75.51895004687292,96.05603020067555,65.49331650014916,25000.0,1568248.0,10.0,0.5661501009341391,0.4338498990658609
30000.0,4.816915,1.416583569329232E-6,30000.0,84.70333333333333,69.72965581332384,68.18496949528563,62.07751425502024,85.68933794866996,83.5714030000358,76.77134555207867,96.43093192333113,65.80316813714401,30000.0,1824248.0,10.0,0.6208024502215582,0.3791975497784419
35000.0,5.450251,1.7628996724200747E-6,35000.0,85.28857142857143,70.83485418042063,69.41309255079005,63.552063424647834,86.29382170522001,84.12419449326303,77.66650694777192,96.54635527246992,65.99486006884207,35000.0,2113688.0,10.0,0.6995509906242096,0.30044900937579044
40000.0,6.027518,2.1165783476063774E-6,40000.0,85.6025,71.40444896425291,70.0955447086925,64.21870146008078,86.66496862481765,84.3560698666232,78.29470337210275,96.45297552490992,66.09608136966455,40000.0,2368288.0,10.0,0.6550133213673034,0.3449866786326966
45000.0,6.733643,2.5824347795897887E-6,45000.0,85.95777777777778,72.073167811243,70.80753949921463,65.0517117416072,87.04299862617646,84.67415294317384,78.8564422648239,96.52731696527317,66.21626673826022,45000.0,2550192.0,10.0,0.7719786103301598,0.2280213896698402
50000.0,7.363765,3.0258653831626807E-6,50000.0,88.68,77.25738532257547,76.98251321675478,72.11822660098524,89.76491862567812,87.33780760626398,83.56902356902357,96.1576354679803,67.03108589248049,50000.0,2720216.0,10.0,0.682188781727846,0.317811218272154
55000.0,7.985316,3.4906189494559334E-6,55000.0,88.86,77.63734763686584,76.95490277203143,72.66928361138369,89.89477503628447,87.58912655971479,83.6428089128967,96.44259077526988,67.09795073028806,55000.0,2890336.0,10.0,0.48851689325667924,0.5114831067433208
60000.0,8.711014,4.080552178697867E-6,60000.0,87.7,75.27499830342265,74.83633387888707,68.92369883779688,88.97651908944255,86.08912010857271,82.23989396951623,96.01412714429868,66.75590256932621,60000.0,3142312.0,10.0,0.48027185711103665,0.5197281428889634
65000.0,9.42144,4.688124956060201E-6,65000.0,88.08,76.05914676164814,75.56876409100227,70.15523284927392,89.26899531868922,86.59469185784975,82.59203731467599,96.32224168126095,66.87942116150845,65000.0,3305840.0,10.0,0.49557520122804083,0.5044247987719591
70000.0,10.178145,5.366457279268652E-6,70000.0,88.28,76.45327115496787,75.76509511993383,70.72927072927074,89.44904573280517,86.8196131354026,82.88288288288288,96.35546679980031,66.93996371426474,70000.0,3465120.0,10.0,0.5430371578218097,0.45696284217819033
75000.0,10.896153,6.03201592022553E-6,75000.0,88.275,76.41489698268386,75.60341240116522,70.71678321678321,89.47344795080127,86.76860576651809,83.12619901576444,95.98052677568344,66.91538048002266,75000.0,3583104.0,10.0,0.6951432798686563,0.3048567201313437
80000.0,11.666538,6.779920261769245E-6,80000.0,88.39200000000001,76.64241762200842,75.88298844843348,70.83710179881419,89.60527258399598,86.8580744497781,83.13172936328593,96.34317862165963,66.98412274280852,80000.0,3752672.0,10.0,0.6142529419082581,0.3857470580917419
85000.0,12.456484,7.569225683048781E-6,85000.0,88.45333333333333,76.77556192681094,75.89757862510436,70.96152234051469,89.65414252434144,86.93717474922694,83.06951516493247,96.60576600737512,67.02150423041616,85000.0,3862336.0,10.0,0.52879553541692,0.47120446458307996
90000.0,13.223497,8.375638595233775E-6,90000.0,88.52285714285715,76.92307010505236,76.05935991417844,71.12564692351928,89.71028971028971,87.02561286780143,83.04956129950202,96.81638519583183,67.05705527670706,90000.0,4064032.0,10.0,0.6395221467377505,0.36047785326224946
95000.0,13.951323,9.160502907685521E-6,95000.0,88.5025,76.89826826676254,76.03689037098789,71.18782107505324,89.66354257973165,87.04762441208776,82.99147077179114,96.79924835577826,67.04303079507396,95000.0,4168400.0,10.0,0.43616857213631705,0.5638314278636829
100000.0,14.69264,9.992082231692555E-6,100000.0,88.65111111111112,77.19992656831649,76.38927415626445,71.65454848198924,89.78334366935402,87.23664808937095,83.17272053372868,96.8534961154273,67.08692433126518,100000.0,4336128.0,10.0,0.4522355717784085,0.5477644282215915
