learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.719864,7.330582426653967E-8,5000.0,84.92,69.74434371709596,67.59776536312849,61.84210526315789,86.4339690536164,83.0256641152634,79.5364238410596,93.13131313131314,65.70154811196855,5000.0,393632.0,10.0,0.5629788002438599,0.43702119975614007
10000.0,1.419866,1.8696289336101877E-7,10000.0,86.42,72.82956329185166,71.09408258833545,65.43649783659964,87.73925604911521,84.78260869565217,80.08900609856602,96.186117467582,66.38432110938321,10000.0,627624.0,10.0,0.7047144487857582,0.2952855512142419
15000.0,2.148651,3.490430457662377E-7,15000.0,87.9,75.78504915123597,74.39334085778782,69.67925158703642,89.02195608782434,86.5226108264647,81.67591564927858,97.26210350584307,66.8838581339178,15000.0,859672.0,10.0,0.748165450009363,0.2518345499906371
20000.0,2.869949,5.62867592819449E-7,20000.0,88.67,77.27092634516296,76.1699442633295,71.56838143036387,89.78174603174602,87.28680430879713,82.77897887909529,97.55455229495863,67.14416042628984,20000.0,1145896.0,10.0,0.5478436538716371,0.452156346128363
25000.0,3.526456,8.011555480232669E-7,25000.0,89.2,78.32511448433698,77.39072182214035,73.0834413318712,90.24707412223668,87.90105753719305,83.47477447377214,97.7379172894868,67.30763176699558,25000.0,1403024.0,10.0,0.5438521138417849,0.4561478861582151
30000.0,4.181388,1.080865063884606E-6,30000.0,89.66,79.22365983363066,78.31982107911656,74.21874999999999,90.68915836234844,88.37505621346125,84.0959697172122,97.96444001329345,67.46488155524058,30000.0,1650872.0,10.0,0.5430324776770981,0.45696752232290194
35000.0,4.715139,1.3378263921042284E-6,35000.0,89.80285714285714,79.51353059183967,78.65685922736515,74.6609868654597,90.80510112070075,88.55539522206189,84.27621825833293,98.00553623394137,67.50588020540772,35000.0,1860936.0,10.0,0.4721165341078118,0.527883465892188
40000.0,5.28849,1.6414040785282852E-6,40000.0,90.005,79.91924719638499,79.13905557004958,75.20620155038759,90.98290405521222,88.78918737031015,84.4958317623895,98.15859631719263,67.57485258577745,40000.0,2046688.0,10.0,0.40730895335475753,0.5926910466452426
45000.0,5.932527,2.01305199559778E-6,45000.0,90.10444444444444,80.11508306490026,79.39379916705228,75.438499724214,91.0784765491956,88.8916606381121,84.60507704905828,98.25190250358443,67.61231018694797,45000.0,2230608.0,10.0,0.6882946450643558,0.3117053549356442
50000.0,6.518945,2.372285098201699E-6,50000.0,90.256,80.41093975611936,79.77919814061593,75.80933465739822,91.22478386167147,89.04676258992805,84.82047159699893,98.31215250198571,67.66325149203676,50000.0,2367944.0,10.0,0.6325097308117726,0.3674902691882274
55000.0,7.229846,2.837724566097475E-6,55000.0,90.68,81.23389175257732,80.550918196995,76.68834417208605,91.65472779369627,89.44746376811594,85.3,98.75,67.83251432757008,55000.0,2530792.0,10.0,0.5768738072474187,0.4231261927525814
60000.0,7.945677,3.336406737781234E-6,60000.0,90.88000000000001,81.60740547164362,80.94840192187175,77.29083665338646,91.85277827407539,89.64342493754258,85.92679257897376,98.25740602439632,67.85723959228118,60000.0,2692872.0,10.0,0.5040368631807352,0.4959631368192648
65000.0,8.753421,3.937514109429387E-6,65000.0,91.03999999999999,81.9382135312776,81.40307181403071,77.71883289124668,91.98473282442747,89.84280532043532,86.00423776067804,98.52478037460634,67.92072918765014,65000.0,2876608.0,10.0,0.5509086428451755,0.4490913571548245
70000.0,9.455866,4.490505993765676E-6,70000.0,91.05499999999999,81.96855521642642,81.45345220816918,77.72936636374952,92.00089425441539,89.85540119081372,85.97693464816982,98.61837191934279,67.93292768744635,70000.0,3043048.0,10.0,0.5399273980099418,0.46007260199005817
75000.0,10.073494,5.004408358759765E-6,75000.0,91.096,82.02729107890148,81.47932440302853,77.76890042944173,92.06756467821253,89.85322271857052,86.2004537568397,98.42220890752947,67.93796116023228,75000.0,3216296.0,10.0,0.608767896503187,0.391232103496813
80000.0,10.716475,5.565948376539682E-6,80000.0,91.08333333333334,82.00585821988543,81.47891712248149,77.78608204617174,92.0474477509885,89.85320335318438,86.21150526257169,98.34758781034625,67.92626389566078,80000.0,3375864.0,10.0,0.6046039514080699,0.39539604859193017
85000.0,11.406282,6.192353222442585E-6,85000.0,91.10000000000001,82.04904705162024,81.53526970954358,77.90309995034406,92.04525141091447,89.89980869621608,86.22141421873505,98.33309689317635,67.9254207038704,85000.0,3510184.0,10.0,0.5155034844025501,0.48449651559744983
90000.0,12.118648,6.867187805153017E-6,90000.0,91.095,82.0226306917401,81.48744867730369,77.84688102493938,92.06151103186984,89.86051807571876,86.34615384615385,98.1592039800995,67.91637465042089,90000.0,3661816.0,10.0,0.6846132363624243,0.3153867636375757
95000.0,12.797573,7.539521699709198E-6,95000.0,91.07111111111111,81.95428928957978,81.37831950688233,77.69264934488119,92.06900635584857,89.78595759825106,86.41938711231334,98.04030422472658,67.9079692188332,95000.0,3827944.0,10.0,0.5089653130420435,0.49103468695795643
100000.0,13.474213,8.217055391830704E-6,100000.0,91.014,81.8356003539054,81.24556497057227,77.55071449985009,92.02138049828638,89.71547599972531,86.4098716024679,97.91156632525606,67.88251577684123,100000.0,3870576.0,10.0,0.5055779207748206,0.4944220792251795
