learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.262076,5.689170550968911E-9,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,83912.0,10.0,0.9999999999999994,8.156750926714144E-230,4983.3,68.98478093028926,3016.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.439534,9.618571868373288E-9,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,85592.0,10.0,0.9999999999999994,2.5E-323,9980.100000000002,62.197624106105835,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.560957,1.2307206340548065E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,85592.0,10.0,0.9999999999999994,2.5E-323,15012.599999999999,85.42599136094356,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.671788,1.4809474270376893E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,87272.0,10.0,0.9999999999999994,2.5E-323,20015.699999999997,77.68747932868267,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,0.779404,1.7239156088067425E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,87272.0,10.0,0.9999999999999994,2.5E-323,24972.3,79.35580914113629,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,0.876627,1.9434191727389893E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,87272.0,10.0,0.9999999999999994,2.5E-323,29947.7,105.47885517433784,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,0.956407,2.127008478053742E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,88952.0,10.0,0.9999999999999994,2.5E-323,34964.7,95.31357604128526,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.040173,2.319770345050428E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,88952.0,10.0,0.9999999999999994,2.5E-323,39927.5,131.33946686185203,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.123874,2.51238263439801E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,88952.0,10.0,0.9999999999999994,2.5E-323,44919.2,112.1752597005638,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,1.760879,5.565020189724035E-8,50000.0,93.46,44.081228940683026,26.351351351351326,-39.743589743589915,96.51348757863312,47.34299516908212,94.96433067561897,62.82051282051282,62.80621854086819,50000.0,185240.0,10.0,0.81081062108877,0.18918937891123,51128.399999999994,169.46530290560713,12728.8,8259.302913819194,15.2,3.1902629637347726,8.1,1.5951314818673865,8.1,1.5951314818673865,2.3,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,2.237367,8.808343570472466E-8,55000.0,91.88,42.814356244587756,9.374999999999957,-68.46473029045647,95.6060606060606,46.57894736842106,92.81361630594662,73.44398340248964,64.47045829456238,55000.0,263112.0,10.0,0.9999999999999887,1.1236478132924005E-14,57276.4,152.95765572355106,20269.6,10562.313584942774,23.7,5.618422079789544,11.8,4.104198392432369,11.8,4.104198392432369,3.2,1.3165611772087666,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,2.577283,1.1620342186134723E-7,60000.0,99.58,0.0,-Infinity,-Infinity,99.7895580719511,?,99.58,?,?,60000.0,319776.0,10.0,0.9999999999999994,1.8330630684746179E-243,62278.2,158.42123875569501,25800.0,10218.395960227808,25.7,5.2925524193068805,12.799999999999999,3.9944405810520647,12.799999999999999,3.9944405810520647,3.6999999999999997,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,2.88971,1.461061181438466E-7,65000.0,99.79,0.0,-Infinity,-Infinity,99.89488963411583,?,99.79,?,?,65000.0,369968.0,10.0,0.9999999999999994,2.5E-323,67300.29999999999,174.78052904523824,30683.2,8844.98899942787,27.7,4.90011337737313,13.8,3.7058512292499457,13.8,3.7058512292499457,4.199999999999999,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,3.182698,1.761584039260116E-7,70000.0,99.86,0.0,-Infinity,-Infinity,99.92995096567597,?,99.86,?,?,70000.0,396488.0,10.0,0.9999999999999994,2.5E-323,72301.9,161.4396688136683,33294.399999999994,8020.694832743607,28.3,5.3343748982946035,14.100000000000001,3.900142447541001,14.100000000000001,3.900142447541001,4.3,0.9486832980505137,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,3.445445,2.0428338866680862E-7,75000.0,99.895,0.0,-Infinity,-Infinity,99.94747242302209,?,99.895,?,?,75000.0,413768.0,10.0,0.9999999999999994,2.5E-323,77283.4,168.45256503439361,35008.799999999996,7984.7333887168015,28.5,5.400617248673217,14.200000000000001,3.938414796731181,14.200000000000001,3.938414796731181,4.3,0.9486832980505137,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,3.678627,2.3034495572249095E-7,80000.0,99.91600000000001,0.0,-Infinity,-Infinity,99.95798235258809,?,99.91600000000001,?,?,80000.0,432024.0,10.0,0.9999999999999994,2.5E-323,82289.0,163.82511000047563,36780.0,8177.571712379605,29.3,5.657836257007719,14.6,4.087922591134904,14.6,4.087922591134904,4.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
