learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.243197,1.9002817769017485E-7,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,3020384.0
10000.0,0.655818,8.346727266121242E-7,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,6039088.0
15000.0,1.117142,1.91497943299926E-6,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,9051976.0
20000.0,1.564874,3.310526746689445E-6,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,1.2048384E7
25000.0,2.233875,5.91542584967696E-6,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,1.505104E7
30000.0,2.953599,9.279128077746265E-6,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,1.8065664E7
35000.0,3.777003,1.3771385258581074E-5,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,2.1088904E7
40000.0,4.712723,1.9592937916744912E-5,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,2.4048904E7
45000.0,5.749646,2.686026253261707E-5,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,2.7091336E7
50000.0,8.509755,2.864619625216143E-5,50000.0,87.83999999999999,45.088193058352815,33.03964757709249,-15.809523809523867,93.04188601510643,51.822503961965126,90.83798882681565,62.28571428571429,61.871581342432556,50000.0,2501160.0
55000.0,9.765324,3.0102122989748086E-5,55000.0,83.87,40.59902404159673,9.382022471910137,-56.45004849660529,90.42559506143527,48.84237234379955,84.92585572527595,74.68477206595539,63.16854988663887,55000.0,4482304.0
60000.0,9.987579,3.0487260747779574E-5,60000.0,95.84,0.0,-Infinity,-Infinity,97.87581699346404,?,95.84,?,?,60000.0,6698336.0
65000.0,10.30574,3.128226516973848E-5,65000.0,97.92,0.0,-Infinity,-Infinity,98.94907033144705,?,97.92,?,?,65000.0,9658840.0
70000.0,10.691761,3.254246541056782E-5,70000.0,98.61333333333333,0.0,-Infinity,-Infinity,99.30182599355531,?,98.61333333333333,?,?,70000.0,1.2619176E7
75000.0,11.243495,3.476614321215285E-5,75000.0,98.96000000000001,0.0,-Infinity,-Infinity,99.47728186570166,?,98.96000000000001,?,?,75000.0,1.5579176E7
80000.0,11.982776,3.831190379540953E-5,80000.0,99.168,0.0,-Infinity,-Infinity,99.58226221079691,?,99.168,?,?,80000.0,1.853968E7
85000.0,12.823114,4.298584912276102E-5,85000.0,99.30666666666667,0.0,-Infinity,-Infinity,99.65212737489966,?,99.30666666666667,?,?,85000.0,2.149968E7
90000.0,13.739309,4.8783289856728575E-5,90000.0,99.40571428571428,0.0,-Infinity,-Infinity,99.70197157267309,?,99.40571428571428,?,?,90000.0,2.445968E7
95000.0,14.767563,5.607720017227861E-5,95000.0,99.48,0.0,-Infinity,-Infinity,99.73932223781831,?,99.48,?,?,95000.0,2.741968E7
100000.0,16.069927,6.63129676617268E-5,100000.0,99.53777777777778,0.0,-Infinity,-Infinity,99.76835352815397,?,99.53777777777778,?,?,100000.0,3.0380184E7
