learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.273721,1.8287973533694941E-7,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,2582616.0
10000.0,0.786902,8.686418703115649E-7,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,5165416.0
15000.0,1.231346,1.7587967974113094E-6,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,7741960.0
20000.0,1.827442,3.341298385014136E-6,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,1.026196E7
25000.0,2.469198,5.477446522158052E-6,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,1.28666E7
30000.0,3.279963,8.704716406822618E-6,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,1.53866E7
35000.0,4.215995,1.3071465460684977E-5,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,1.803308E7
40000.0,5.374486,1.923127389623473E-5,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,2.055308E7
45000.0,6.617915,2.665343740534244E-5,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,2.3073416E7
50000.0,8.489248,2.7559859822235168E-5,50000.0,95.34,-0.0793762606567052,46.31336405529956,-0.8658008658007701,97.61441589024265,?,99.95806248689453,0.0,49.9895145222712,50000.0,1872328.0
55000.0,8.803881,2.777013768575464E-5,55000.0,90.8,19.4776691445956,45.594322885866376,7.164480322906153,95.11158342189161,22.033898305084744,99.34509934509934,13.118062563067609,53.024325056564116,55000.0,2583400.0
60000.0,9.094929,2.811633135787521E-5,60000.0,87.0,57.84209646973606,59.75232198142414,37.07647628267183,91.97530864197529,65.78947368421053,93.92334846192637,60.44487427466151,62.122504524646274,60000.0,4597872.0
65000.0,9.540104,2.893794904691063E-5,65000.0,87.02,56.62551883130834,58.911047799936675,33.843017329255865,92.05727573124464,64.51612903225806,93.59213636929202,60.11207335710647,61.988750940472755,65000.0,7134136.0
70000.0,10.112455,3.0368857875648464E-5,70000.0,87.44,59.92662232730351,60.65984547922321,36.947791164658625,92.20327760304585,67.71761480466073,92.74831404545833,66.10906657745065,63.019318590196804,70000.0,9663888.0
75000.0,10.71232,3.226265486875755E-5,75000.0,87.455,60.412976124685656,60.562716127004116,36.481012658227876,92.1845310407127,68.228441180195,92.19889089662907,68.18526955201214,63.32143405842946,75000.0,1.220344E7
80000.0,11.408671,3.491803015685536E-5,80000.0,87.312,60.381991937690394,59.90393123498926,35.63311688311687,92.06801700425106,68.31168831168831,91.7193961436899,69.36498275512274,63.459510496617575,80000.0,1.4740088E7
85000.0,12.290461,3.8859736065295414E-5,85000.0,87.46000000000001,61.323784527792135,60.57017084163087,36.74121405750802,92.1280602636535,69.18918918918918,91.52669216697156,71.01546738399462,63.74601155189362,85000.0,1.7279112E7
90000.0,13.205926,4.354995178928805E-5,90000.0,87.53428571428572,61.62793350748201,60.789071627572554,36.94175458881337,92.16963692815737,69.44891814298718,91.44586894586895,71.66184971098266,63.856816131257986,90000.0,1.9804024E7
95000.0,14.273135,4.971588315005517E-5,95000.0,87.785,62.4446154156445,61.71746454595315,38.4247006931317,92.32388613083641,70.11255199412773,91.63859780439122,72.21522177419355,64.00269907952804,95000.0,2.2333232E7
100000.0,15.663792,5.869962671565512E-5,100000.0,87.97555555555554,62.9264156487929,62.22160161977237,39.311350381336915,92.45085592309945,70.46880969273592,91.82440484438655,72.40103173713133,64.07523635959485,100000.0,2.4971216E7
