learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.236379,1.5793062629178165E-7,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,2582616.0
10000.0,0.685021,7.574495012292432E-7,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,5165416.0
15000.0,1.085136,1.5588200645769636E-6,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,7741960.0
20000.0,1.551651,2.7973130726503827E-6,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,1.026196E7
25000.0,2.053948,4.469258174594077E-6,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,1.28666E7
30000.0,2.76129,7.284850281750162E-6,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,1.53866E7
35000.0,3.642392,1.1395341509460575E-5,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,1.803308E7
40000.0,4.593425,1.6452075740357655E-5,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,2.055308E7
45000.0,5.615474,2.25527978502007E-5,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,2.3073416E7
50000.0,7.170762,2.3256817772698898E-5,50000.0,92.82000000000001,43.55566009375734,57.66509433962265,27.32793522267209,96.1517847572087,46.49776453055141,99.53395472703063,31.57894736842105,57.25227115483098,50000.0,1749752.0
55000.0,7.387798,2.3322887504063545E-5,55000.0,93.17999999999999,52.84118057471526,60.34883720930231,32.807881773399004,96.30232053784428,56.169665809768645,98.84251530328325,43.05418719211823,59.56020116138827,55000.0,1176720.0
60000.0,7.550148,2.3462375755012032E-5,60000.0,99.48,0.0,-Infinity,-Infinity,99.73932223781831,?,99.48,?,?,60000.0,3321144.0
65000.0,7.808041,2.3852405009766418E-5,65000.0,99.67,0.0,-Infinity,-Infinity,99.83472730004507,?,99.67,?,?,65000.0,5846016.0
70000.0,8.178466,2.465457218106836E-5,70000.0,99.78,0.0,-Infinity,-Infinity,99.88987886675343,?,99.78,?,?,70000.0,8370800.0
75000.0,8.64128,2.5959131638863018E-5,75000.0,99.835,0.0,-Infinity,-Infinity,99.91743188130208,?,99.835,?,?,75000.0,1.0895816E7
80000.0,9.16679,2.778323770870351E-5,80000.0,99.868,0.0,-Infinity,-Infinity,99.93395641123142,?,99.868,?,?,80000.0,1.3417496E7
85000.0,9.951069,3.101813819554738E-5,85000.0,99.89,0.0,-Infinity,-Infinity,99.94496973335335,?,99.89,?,?,85000.0,1.5943832E7
90000.0,10.744763,3.481029758523115E-5,90000.0,99.90571428571428,0.0,-Infinity,-Infinity,99.95283490788515,?,99.90571428571428,?,?,90000.0,1.846868E7
95000.0,11.547292,3.916881708659025E-5,95000.0,99.9175,0.0,-Infinity,-Infinity,99.95873297735316,?,99.9175,?,?,95000.0,2.0993296E7
100000.0,12.462375,4.4735738202439E-5,100000.0,99.92666666666666,0.0,-Infinity,-Infinity,99.96331988395745,?,99.92666666666666,?,?,100000.0,2.3515648E7
