learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.413832,9.080285131931305E-9,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,84816.0,10.0,0.9999999999999994,8.156750926714144E-230,4983.3,68.98478093028926,3016.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.64231,1.4192840705315271E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,86496.0,10.0,0.9999999999999994,2.5E-323,9980.100000000002,62.197624106105835,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.851954,1.8883955826361973E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,86496.0,10.0,0.9999999999999994,2.5E-323,15012.599999999999,85.42599136094356,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.995609,2.2160897937913735E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,88176.0,10.0,0.9999999999999994,2.5E-323,20015.699999999997,77.68747932868267,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.126452,2.5145583028594653E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,88176.0,10.0,0.9999999999999994,2.5E-323,24972.3,79.35580914113629,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.245052,2.7850990667939185E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,88176.0,10.0,0.9999999999999994,2.5E-323,29947.7,105.47885517433784,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.354714,3.0400172844529154E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,89856.0,10.0,0.9999999999999994,2.5E-323,34964.7,95.31357604128526,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.439078,3.2361282482743266E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,89856.0,10.0,0.9999999999999994,2.5E-323,39927.5,131.33946686185203,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.532335,3.452911712229252E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,89856.0,10.0,0.9999999999999994,2.5E-323,44919.2,112.1752597005638,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,1.931884,5.215798788393537E-8,50000.0,88.38000000000001,46.630854530957805,28.36004932182493,-21.54811715481166,93.3728755560625,52.87915652879157,90.51304732419283,68.20083682008368,62.990849364069646,50000.0,170552.0,10.0,0.6493421499692537,0.3506578500307463,46330.2,128.40803020926015,11200.0,3127.048448617322,7.6000000000000005,0.9660917830792958,4.3,0.4830458915396479,4.3,0.4830458915396479,1.9,0.5676462121975466,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,2.120626,6.229930386568109E-8,55000.0,85.83,47.06959022823202,16.647058823529402,-42.41206030150754,91.6178645371192,54.21647819063005,85.99666851749028,84.321608040201,65.25302225906692,55000.0,207696.0,10.0,0.9999999999954416,4.55834440298237E-12,47242.399999999994,121.99927140037452,14805.6,5075.932649934066,9.2,1.751190071541826,5.1,0.875595035770913,5.1,0.875595035770913,2.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,2.237729,6.859137730672956E-8,60000.0,80.67999999999999,0.0,-Infinity,-Infinity,89.30706220943104,?,80.67999999999999,?,?,60000.0,207696.0,10.0,0.9999999999999994,7.436255986661726E-241,47242.399999999994,121.99927140037452,14805.6,5075.932649934066,9.2,1.751190071541826,5.1,0.875595035770913,5.1,0.875595035770913,2.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,2.354456,7.486324785277248E-8,65000.0,81.14,0.0,-Infinity,-Infinity,89.58816385116485,?,81.14,?,?,65000.0,207696.0,10.0,0.9999999999999994,2.5E-323,47242.399999999994,121.99927140037452,14805.6,5075.932649934066,9.2,1.751190071541826,5.1,0.875595035770913,5.1,0.875595035770913,2.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,2.470789,8.111394834394256E-8,70000.0,81.62666666666667,0.0,-Infinity,-Infinity,89.88401115842021,?,81.62666666666667,?,?,70000.0,207696.0,10.0,0.9999999999999994,2.5E-323,47242.399999999994,121.99927140037452,14805.6,5075.932649934066,9.2,1.751190071541826,5.1,0.875595035770913,5.1,0.875595035770913,2.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,2.578939,8.692496721322337E-8,75000.0,81.425,0.0,-Infinity,-Infinity,89.76160948050159,?,81.425,?,?,75000.0,207696.0,10.0,0.9999999999999994,2.5E-323,47242.399999999994,121.99927140037452,14805.6,5075.932649934066,9.2,1.751190071541826,5.1,0.875595035770913,5.1,0.875595035770913,2.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,2.682527,9.249086478725075E-8,80000.0,81.188,0.0,-Infinity,-Infinity,89.61741395677419,?,81.188,?,?,80000.0,207696.0,10.0,0.9999999999999994,2.5E-323,47242.399999999994,121.99927140037452,14805.6,5075.932649934066,9.2,1.751190071541826,5.1,0.875595035770913,5.1,0.875595035770913,2.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
