learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.448622,2.094815498424901E-8,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,180496.0,10.0,0.9999999999999994,8.156750926714144E-230
10000.0,0.753575,3.5320303671889836E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,182176.0,10.0,0.9999999999999994,2.5E-323
15000.0,0.966019,4.533259001043108E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,182176.0,10.0,0.9999999999999994,2.5E-323
20000.0,1.129362,5.3101783978442355E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,183856.0,10.0,0.9999999999999994,2.5E-323
25000.0,1.265642,5.958376211010748E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,183856.0,10.0,0.9999999999999994,2.5E-323
30000.0,1.400618,6.600371720476284E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,183856.0,10.0,0.9999999999999994,2.5E-323
35000.0,1.523142,7.188466041038435E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,185536.0,10.0,0.9999999999999994,2.5E-323
40000.0,1.635182,7.726238948189551E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,185536.0,10.0,0.9999999999999994,2.5E-323
45000.0,1.748378,8.269560458345547E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,185536.0,10.0,0.9999999999999994,2.5E-323
50000.0,2.544272,1.671369874684347E-7,50000.0,80.76,35.91820551790878,-12.778429073857001,-93.95161290322591,88.33939393939394,45.02857142857143,80.90586145648314,79.43548387096774,63.31298155344031,50000.0,410112.0,10.0,0.7434897114433031,0.25651028855669683
55000.0,3.257062,2.6391268145293E-7,55000.0,81.45,38.11442699163787,-9.246171967020054,-90.45174537987671,88.76642645188639,46.80240894751936,81.19875914026147,83.77823408624229,64.22168505000934,55000.0,524816.0,10.0,0.9999999999787954,2.1204585147323383E-11
60000.0,3.745723,3.3927741046994926E-7,60000.0,97.14,0.0,-Infinity,-Infinity,98.54925433701938,?,97.14,?,?,60000.0,596160.0,10.0,0.9999999999999994,3.45921039102039E-240
65000.0,4.212905,4.1890308829645317E-7,65000.0,98.57000000000001,0.0,-Infinity,-Infinity,99.27985093417938,?,98.57000000000001,?,?,65000.0,658824.0,10.0,0.9999999999999994,2.5E-323
70000.0,4.648775,4.97916191915671E-7,70000.0,99.04666666666667,0.0,-Infinity,-Infinity,99.52105033995377,?,99.04666666666667,?,?,70000.0,700720.0,10.0,0.9999999999999994,2.5E-323
75000.0,5.056921,5.748161085695028E-7,75000.0,99.285,0.0,-Infinity,-Infinity,99.64121735203352,?,99.285,?,?,75000.0,728304.0,10.0,0.9999999999999994,2.5E-323
80000.0,5.454869,6.523518557349841E-7,80000.0,99.42800000000001,0.0,-Infinity,-Infinity,99.71317969392463,?,99.42800000000001,?,?,80000.0,753144.0,10.0,0.9999999999999994,2.5E-323
85000.0,5.874157,7.355414845380519E-7,85000.0,99.52333333333333,0.0,-Infinity,-Infinity,99.76109728185509,?,99.52333333333333,?,?,85000.0,766936.0,10.0,0.9999999999999994,2.5E-323
90000.0,6.302737,8.237190954718326E-7,90000.0,99.59142857142858,0.0,-Infinity,-Infinity,99.79529610490002,?,99.59142857142858,?,?,90000.0,795296.0,10.0,0.9999999999999994,2.5E-323
95000.0,6.695853,9.066740677836869E-7,95000.0,99.6425,0.0,-Infinity,-Infinity,99.82092991221809,?,99.6425,?,?,95000.0,815688.0,10.0,0.9999999999999994,2.5E-323
100000.0,7.006586,9.740060927801662E-7,100000.0,99.68222222222222,0.0,-Infinity,-Infinity,99.84085825255684,?,99.68222222222222,?,?,100000.0,837600.0,10.0,0.9999999999999994,2.5E-323
