learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.249967,1.9531808983120654E-7,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,3020384.0
10000.0,0.70621,9.081140040813222E-7,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,6039088.0
15000.0,1.134286,1.910562117865516E-6,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,9051976.0
20000.0,1.594431,3.3447998285003834E-6,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,1.2048384E7
25000.0,2.172866,5.597060755818254E-6,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,1.505104E7
30000.0,2.929863,9.134962084024317E-6,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,1.8065664E7
35000.0,3.96346,1.4773972272630783E-5,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,2.1088904E7
40000.0,5.023902,2.1371478945490804E-5,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,2.4048904E7
45000.0,6.193294,2.956721890612816E-5,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,2.7091336E7
50000.0,7.745036,4.16690054930312E-5,50000.0,100.0,?,?,?,100.0,?,100.0,?,?,50000.0,3.0146184E7
55000.0,11.009837,4.4750224066842354E-5,55000.0,77.92,54.966185479270735,47.924528301886795,27.463863337713533,81.90757128810226,71.67778347870703,71.85163887291547,91.78712220762155,63.96068344704757,55000.0,3648112.0
60000.0,13.9506,4.9841639176832724E-5,60000.0,79.32000000000001,57.80257867054209,50.69146399618503,31.95129976966107,83.06860979204193,73.43950680708964,72.87746013503808,94.07699901283317,64.60542917353604,60000.0,6692384.0
65000.0,17.901981,5.981249631087814E-5,65000.0,80.78,60.43418552245263,54.16534181240063,36.28729281767954,84.42715929346946,74.90206320188038,74.60620525059666,95.07182320441989,65.13025956784921,65000.0,9754072.0
70000.0,24.418524,8.142661877406969E-5,70000.0,81.455,61.63575063961964,55.55954948478313,37.91429527954469,85.07504728179953,75.51653574493366,75.36717524597177,95.74824238366254,65.4055459478847,70000.0,1.2821024E7
75000.0,33.135015,1.1710275861593172E-4,75000.0,81.684,62.159374539863286,56.45682769113732,39.34295933236191,85.20947059013534,75.9518932829158,75.58306114262793,95.78752152602993,65.45429372253929,75000.0,1.5821168E7
80000.0,43.391463,1.6738757014048182E-4,80000.0,81.53,61.96486570423995,55.960896518836435,38.854557492827205,85.0360528234627,75.87828131121849,75.1934282166396,96.17082321783272,65.4530846168598,80000.0,1.895144E7
85000.0,57.938362,2.500510444028303E-4,85000.0,81.41428571428571,61.75567789139775,55.64268666893967,38.335387240496736,84.93759696204877,75.73938015141908,75.01124698376344,96.25556924826998,65.43447413864374,85000.0,2.1965728E7
90000.0,75.498326,3.635168502566508E-4,90000.0,81.4225,61.76993521544848,55.62787364901176,38.3063511830635,84.9480443193097,75.74026313212107,75.00983723841888,96.30552096305522,65.44374649297558,90000.0,2.49772E7
95000.0,96.442723,5.155069154406421E-4,95000.0,81.28666666666666,61.56912956474402,55.53854276663146,38.04443790464978,84.79771812322858,75.66677261825642,74.77712684666326,96.32872277810478,65.40371733028024,95000.0,2.8051088E7
100000.0,120.414678,7.08197282526998E-4,100000.0,81.248,61.48729627660807,55.44149795646801,37.89494601576472,84.76834102280849,75.61127874310685,74.75002148812423,96.2707822746241,65.38746129089819,100000.0,3.1071264E7
