learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.434277,9.528888501226902E-9,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,84816.0,10.0,0.9999999999999994,8.156750926714144E-230,4983.3,68.98478093028926,3016.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.680088,1.5029297284781934E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,86496.0,10.0,0.9999999999999994,2.5E-323,9980.100000000002,62.197624106105835,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.879578,1.9493200642367204E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,86496.0,10.0,0.9999999999999994,2.5E-323,15012.599999999999,85.42599136094356,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.037464,2.3094768859446048E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,88176.0,10.0,0.9999999999999994,2.5E-323,20015.699999999997,77.68747932868267,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.180847,2.636550632615884E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,88176.0,10.0,0.9999999999999994,2.5E-323,24972.3,79.35580914113629,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.2989,2.9058436242242656E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,88176.0,10.0,0.9999999999999994,2.5E-323,29947.7,105.47885517433784,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.399043,3.1386341539522017E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,89856.0,10.0,0.9999999999999994,2.5E-323,34964.7,95.31357604128526,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.509095,3.394458958258232E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,89856.0,10.0,0.9999999999999994,2.5E-323,39927.5,131.33946686185203,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.611069,3.631505796064934E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,89856.0,10.0,0.9999999999999994,2.5E-323,44919.2,112.1752597005638,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,2.485497,1.272879325474302E-7,50000.0,93.74,56.68611409403405,50.63091482649844,8.746355685131203,96.60410111750028,60.02554278416346,95.59802447927851,68.5131195335277,64.05293592272064,50000.0,402152.0,10.0,0.84320403957935,0.15679596042065003,51666.6,142.64579286548323,33429.6,18830.536731596367,26.6,4.6951511631090685,13.8,2.3475755815545343,13.8,2.3475755815545343,3.9999999999999996,1.8257418583505538,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,3.114033,2.2280336763709784E-7,55000.0,91.39,71.45203125594752,64.64065708418893,43.688685415304164,94.7271725151571,76.54590029964588,91.29972848542084,91.89012426422498,67.67382299487112,55000.0,587416.0,10.0,0.6154524536168126,0.38454754638318744,59570.0,121.04269219301638,51376.799999999996,21987.46906156626,37.4,4.788875998951459,19.2,2.3944379994757297,19.2,2.3944379994757297,5.5,0.5270462766947299,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,3.64494,3.311572914322217E-7,60000.0,89.58,77.77306030062086,75.38970240906944,66.75175494575623,91.79656746968982,85.72211564812278,84.91115642295368,99.8085513720485,67.95581428306966,60000.0,788912.0,10.0,0.7587265828601202,0.2412734171398798,67393.1,137.27543277820735,70788.0,19272.075549872672,48.4,2.988868236194653,24.7,1.4944341180973264,24.7,1.4944341180973264,7.0,1.0540925533894598,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,4.17707,4.6699044487128657E-7,65000.0,90.16999999999999,78.69017825763439,76.33036359258367,67.63253210405003,92.40868020696578,86.05871507587577,85.92560677868735,99.90121830754035,68.15915659070096,65000.0,986712.0,10.0,0.6747389067406475,0.32526109325935243,75298.20000000001,183.44227066481795,89961.59999999999,19260.217716549545,57.2,4.4671641514002545,29.1,2.2335820757001272,29.1,2.2335820757001272,8.299999999999999,1.494434118097326,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,4.713878,6.25187460295856E-7,70000.0,89.86,77.98642701850714,75.32046081453836,66.28242074927952,92.18838272302399,85.55418368316079,85.5658308704357,99.84482376413212,68.08279052641862,70000.0,1139152.0,10.0,0.7058529991540579,0.29414700084594225,83171.0,193.5912073301772,104714.4,19370.02386965775,64.39999999999999,5.660781257427673,32.699999999999996,2.8303906287138365,32.699999999999996,2.8303906287138365,9.0,1.4907119849998596,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,5.241583,7.985201118451854E-7,75000.0,90.05,78.40971376271169,75.96908585919574,67.08567648031756,92.32667540680188,85.85241006682782,85.79618747312598,99.86768111147867,68.12926474441888,75000.0,1269672.0,10.0,0.7520462791809707,0.24795372081902947,90998.8,213.42123189181967,117387.2,20385.368591767532,70.00000000000001,5.59761854124889,35.50000000000001,2.798809270624445,35.50000000000001,2.798809270624445,9.7,1.7669811040931427,0.0,0.0,0.0,0.0,1.0,0.0
