learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.357668,7.772433261076609E-9,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,84000.0,10.0,4983.3,68.98478093028926,3016.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.561658,1.2293968970576922E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,85680.0,10.0,9980.100000000002,62.197624106105835,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.71736,1.5745178113381068E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,85680.0,10.0,15012.599999999999,85.42599136094356,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.859999,1.8968832989533742E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,87360.0,10.0,20015.699999999997,77.68747932868267,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,0.977098,2.1615281452735264E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,87360.0,10.0,24972.3,79.35580914113629,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.077236,2.38784097135067E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,87360.0,10.0,29947.7,105.47885517433784,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.164314,2.5884226337075234E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,89040.0,10.0,34964.7,95.31357604128526,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.238829,2.7600657877822717E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,89040.0,10.0,39927.5,131.33946686185203,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.320188,2.9474738985300065E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,89040.0,10.0,44919.2,112.1752597005638,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,1.791116,6.129658098022143E-8,50000.0,99.36399999999999,15.329196356917555,48.37662337662311,7.826086956521501,99.68079980727536,15.425531914893615,99.99597220823684,8.405797101449275,52.05808518128718,50000.0,261200.0,10.0,49915.3,145.87365156950807,20125.6,1921.8363440556877,9.400000000000002,1.2649110640673522,5.200000000000001,0.6324555320336761,5.200000000000001,0.6324555320336761,2.9,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,2.22014,8.365239217877388E-8,55000.0,88.12,61.97888996281098,66.383701188455,47.940403155127065,92.65215239980209,68.99791231732776,97.04586680487172,57.93163891323401,62.24498086554966,55000.0,201424.0,10.0,54895.799999999996,133.27815524933845,14336.8,7375.089314713416,22.4,4.005551702879947,11.7,2.0027758514399734,11.7,2.0027758514399734,2.2000000000000006,0.9189365834726815,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,2.526482,1.0845285009592771E-7,60000.0,87.94999999999999,67.75473863516432,68.71754932502596,53.60030804774739,91.98323464839332,75.74964781646206,93.38106173173037,72.46823257604929,64.39124441796797,60000.0,312936.0,10.0,59897.6,142.66915885673762,25066.4,10216.826591461753,29.799999999999997,3.7947331922020546,15.399999999999999,1.8973665961010273,15.399999999999999,1.8973665961010273,3.8,1.1352924243950933,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,2.847813,1.4423936244928172E-7,65000.0,88.11333333333333,69.83484178298383,70.1239946380697,56.23465881197839,91.86030586624058,77.97405806053119,92.08310452132528,77.46686303387335,65.10567708641057,65000.0,430496.0,10.0,64919.7,169.8084214637199,36482.399999999994,11480.657542144527,34.79999999999999,4.9396356140913875,17.899999999999995,2.4698178070456938,17.899999999999995,2.4698178070456938,4.8,0.7888106377466155,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,3.216375,1.9733176402333708E-7,70000.0,88.35499999999999,71.50928910942146,71.11855158730157,58.36610654272432,91.84209604539562,79.66116496375862,91.00374843815077,81.53378619949946,65.67677189038189,70000.0,556832.0,10.0,69921.3,163.5019877555015,48614.4,10456.739445076664,42.2,4.3410188256265885,21.6,2.1705094128132942,21.6,2.1705094128132942,6.300000000000001,1.2516655570345727,0.0,0.0,0.0,0.0,1.0,0.0
