learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.363848,7.983538210391998E-9,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,84816.0,10.0,0.9999999999999994,8.156750926714144E-230,4983.3,68.98478093028926,3016.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.568836,1.2570467988650003E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,86496.0,10.0,0.9999999999999994,2.5E-323,9980.100000000002,62.197624106105835,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.752702,1.6684759706258774E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,86496.0,10.0,0.9999999999999994,2.5E-323,15012.599999999999,85.42599136094356,3184.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.904393,2.014501257489125E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,88176.0,10.0,0.9999999999999994,2.5E-323,20015.699999999997,77.68747932868267,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,1.035271,2.31304960573713E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,88176.0,10.0,0.9999999999999994,2.5E-323,24972.3,79.35580914113629,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.137434,2.546095609664917E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,88176.0,10.0,0.9999999999999994,2.5E-323,29947.7,105.47885517433784,3352.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,1.237263,2.7781562209129334E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,89856.0,10.0,0.9999999999999994,2.5E-323,34964.7,95.31357604128526,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,1.32856,2.990383505821228E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,89856.0,10.0,0.9999999999999994,2.5E-323,39927.5,131.33946686185203,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,1.418457,3.199356377124786E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,89856.0,10.0,0.9999999999999994,2.5E-323,44919.2,112.1752597005638,3520.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,1.88697,5.951283672824502E-8,50000.0,90.88000000000001,37.23724980235246,28.526645768025144,-28.81355932203387,95.04993486756405,42.131979695431475,94.23159707275074,46.89265536723164,59.397864532317655,50000.0,227048.0,10.0,0.9113972831654373,0.08860271683456256,46200.4,127.00148730537626,16641.6,2414.0177298437557,8.599999999999998,0.8432740427115684,4.799999999999999,0.4216370213557842,4.799999999999999,0.4216370213557842,2.8,0.42163702135578385,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,2.205361,8.263649379420611E-8,55000.0,86.22,56.688951426941905,42.75031159119235,7.57880617035545,91.44099378881987,64.66666666666666,86.50840286755201,84.57411133467471,65.39925729743166,55000.0,280736.0,10.0,0.5410092375551273,0.45899076244487275,48105.2,121.03149268773961,21840.0,4188.071102017676,12.200000000000001,2.6997942308422114,6.6000000000000005,1.3498971154211057,6.6000000000000005,1.3498971154211057,3.4000000000000004,0.6992058987801009,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,2.51558,1.0923070259185301E-7,60000.0,80.92,61.60496710986501,54.28845232390993,37.15415019762847,84.15282392026577,76.03015075376885,72.76644642344155,99.60500329163924,65.64515399385563,60000.0,331376.0,10.0,0.622158543028078,0.3778414569719221,50570.2,127.65039060740247,26726.4,7919.387451059583,15.799999999999999,3.552776691859795,8.4,1.776388345929897,8.4,1.776388345929897,3.9,1.1005049346146119,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,2.890452,1.532400698028505E-7,65000.0,80.94,61.62281916032099,54.1385948026949,37.05416116248348,84.19044459190445,76.00704934541793,72.80160665614689,99.66985803895675,65.66419585571418,65000.0,453800.0,10.0,0.5195503495632243,0.48044965043677584,53034.299999999996,143.66090475684607,38506.4,11569.817622686289,22.6,5.4812812776251905,11.8,2.7406406388125952,11.8,2.7406406388125952,5.0,1.154700538379252,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,3.236436,2.0285234238331517E-7,70000.0,81.8,63.15499685994196,56.179775280898866,40.10530934620445,84.97688751926039,76.91917483936422,73.94885547361363,99.7806536521167,65.9032452019114,70000.0,554288.0,10.0,0.5806456380031241,0.4193543619968759,55528.3,160.291435967255,48254.4,12359.551405020058,27.0,5.656854249492381,14.0,2.8284271247461903,14.0,2.8284271247461903,5.9,1.1005049346146116,0.0,0.0,0.0,0.0,1.0,0.0
75000.0,3.552555,2.53848519474268E-7,75000.0,82.195,63.7616369311274,57.33796573619263,40.86682165393557,85.4135091959202,77.15403862192854,74.59397581741433,99.83396978250042,66.0355861638092,75000.0,623576.0,10.0,0.6377981273616817,0.3622018726383183,57911.6,161.68020561865032,54968.79999999999,11407.082680900012,30.2,4.3410188256265885,15.6,2.1705094128132942,15.6,2.1705094128132942,6.5,0.97182531580755,0.0,0.0,0.0,0.0,1.0,0.0
80000.0,3.897262,3.174452381394804E-7,80000.0,82.396,64.12368755628775,57.92140740032507,41.56930430164631,85.59552253461197,77.36926004010903,74.8611667716265,99.8672507633081,66.0924385869773,80000.0,713160.0,10.0,0.6653372379208093,0.33466276207919066,60374.8,185.49621140186247,63638.4,11967.720020492161,34.4,5.7387571244419595,17.7,2.8693785622209798,17.7,2.8693785622209798,7.1,1.1972189997378648,0.0,0.0,0.0,0.0,1.0,0.0
85000.0,4.232557,3.845411800034345E-7,85000.0,82.84666666666666,64.8760567778201,58.901046242312916,42.8349255720951,86.04285326823977,77.7518374405534,75.54412535124065,99.8778185049428,66.22347466272504,85000.0,773520.0,10.0,0.6167370809328,0.38326291906719984,62765.2,189.84601947660346,69461.6,11936.644635556322,37.6,5.815687596683837,19.3,2.9078437983419185,19.3,2.9078437983419185,7.3,1.2516655570345725,0.0,0.0,0.0,0.0,1.0,0.0
90000.0,4.597493,4.654121043139862E-7,90000.0,83.26571428571428,65.61488522502138,60.110331676088,44.208420651552686,86.43176500567564,78.1723996571386,76.13974939798376,99.89522811696352,66.33908680313351,90000.0,856600.0,10.0,0.6852878086003825,0.3147121913996175,65193.5,207.70933216075576,77496.0,10683.092020155544,41.6,4.221637386396683,21.3,2.1108186931983415,21.3,2.1108186931983415,8.200000000000001,1.1352924243950935,0.0,0.0,0.0,0.0,1.0,0.0
95000.0,5.005576,5.626864036276109E-7,95000.0,83.535,66.11353024711512,60.827930767858206,45.207986688851925,86.66639672834758,78.48134352741292,76.50023231709497,99.90849346976125,66.40947330517992,95000.0,921408.0,10.0,0.7854386635243281,0.21456133647567183,67659.79999999999,215.3698627426321,83769.6,10184.144748905848,44.599999999999994,4.195235392680607,22.799999999999997,2.0976176963403037,22.799999999999997,2.0976176963403037,8.600000000000001,1.3498971154211057,0.0,0.0,0.0,0.0,1.0,0.0
100000.0,5.379148,6.600766069545515E-7,100000.0,83.85111111111111,66.65866103409445,61.56043374768579,46.15441612329579,86.96806125925794,78.77442532932207,76.9704472589912,99.91109135363413,66.49840949463103,100000.0,1007728.0,10.0,0.6968526430411129,0.30314735695888706,70052.1,222.70930230534512,92066.4,12886.497215647429,49.6,6.397916327472042,25.3,3.198958163736021,25.3,3.198958163736021,8.9,1.5238839267549946,0.0,0.0,0.0,0.0,1.0,0.0
