learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1
5000.0,0.386277,1.803698985526959E-8,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,180496.0,10.0,0.9999999999999994,8.156750926714144E-230
10000.0,0.715777,3.356601561523146E-8,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,182176.0,10.0,0.9999999999999994,2.5E-323
15000.0,0.925213,4.343653773681985E-8,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,182176.0,10.0,0.9999999999999994,2.5E-323
20000.0,1.144134,5.3849225838979084E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,183856.0,10.0,0.9999999999999994,2.5E-323
25000.0,1.315138,6.198280514942275E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,183856.0,10.0,0.9999999999999994,2.5E-323
30000.0,1.488755,7.02406683522794E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,183856.0,10.0,0.9999999999999994,2.5E-323
35000.0,1.65163,7.805839079535669E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,185536.0,10.0,0.9999999999999994,2.5E-323
40000.0,1.803226,8.533474045909113E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,185536.0,10.0,0.9999999999999994,2.5E-323
45000.0,1.966148,9.315471882207525E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,185536.0,10.0,0.9999999999999994,2.5E-323
50000.0,2.12484,1.0077166439344484E-7,50000.0,100.0,?,?,?,100.0,?,100.0,?,?,50000.0,185536.0,10.0,0.9999999999999994,2.5E-323
55000.0,2.856885,1.984950660417477E-7,55000.0,81.24,60.24372545961306,53.883972468043275,36.01637107776263,85.28396611233134,74.13127413127414,76.91001697792869,91.67803547066849,64.92073098182837,55000.0,516016.0,10.0,0.7235459833232569,0.2764540166767431
60000.0,3.553302,3.3013842903077597E-7,60000.0,82.19,63.05495257384383,56.58215504631886,41.37590520078997,85.65907077864561,76.50705711647541,76.40045963803504,95.45753785385122,65.54731067936468,60000.0,730688.0,10.0,0.8110787179673257,0.18892128203267436
65000.0,4.337092,5.288647211301657E-7,65000.0,83.10666666666665,64.86075020680478,59.22111361441904,44.11116012351123,86.44629867351306,77.58315640481246,77.21192432639022,96.7137185707984,65.94043579193055,65000.0,980072.0,10.0,0.6198986636811391,0.3801013363188609
70000.0,5.297911,8.342392114570571E-7,70000.0,83.935,66.48231767523109,61.24713544807624,46.95393759286776,87.14440043212099,78.58999133737589,78.10370795381195,97.35842826481756,66.23106073033813,70000.0,1228552.0,10.0,0.7992350948641317,0.20076490513586825
75000.0,6.216169,1.1854105405157639E-6,75000.0,84.492,67.5613593496285,62.774843975036,48.73727356868967,87.62330407023146,79.239625167336,78.70619946091644,97.83154832738332,66.433754181948,75000.0,1478280.0,10.0,0.5766743797597591,0.42332562024024095
80000.0,7.045586,1.545050035065247E-6,80000.0,84.82,68.24810885903699,63.68421052631577,49.999999999999986,87.87733588883566,79.70045466702327,79.00631820792647,98.15546772068511,66.55106797201145,80000.0,1676088.0,10.0,0.8858690954600591,0.11413090453994099
85000.0,7.873337,1.945076840987636E-6,85000.0,85.17142857142858,68.91909077596947,64.63614063777598,51.097710355224734,88.18413623531555,80.09664058904741,79.41526222987657,98.39819089795535,66.67335545925222,85000.0,1868064.0,10.0,0.8220928124656653,0.17790718753433465
90000.0,8.697665,2.3798288832811844E-6,90000.0,85.4675,69.45240340507588,65.357568533969,51.91496401687483,88.45825474039512,80.38468027669985,79.81082727240157,98.5275870626189,66.77170327597996,90000.0,2038656.0,10.0,0.7644381979297439,0.23556180207025612
95000.0,9.556782,2.884214302661518E-6,95000.0,85.76444444444445,70.00579575801689,66.07710230883288,52.817264491419316,88.72262516724174,80.70249427641885,80.19285236928364,98.65949767989983,66.86784542087166,95000.0,2269408.0,10.0,0.7755989747603249,0.22440102523967517
100000.0,10.291554,3.3472456524396934E-6,100000.0,86.002,70.47024662720094,66.6650790626786,53.63979598595747,88.9223025909688,80.99079279719709,80.4830530326906,98.76134331324104,66.94109282532136,100000.0,2435904.0,10.0,0.710818882267368,0.2891811177326319
