learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
5000.0,0.202881,3.6546675364176433E-9,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,69632.0,10.0,0.9999999999999994,8.156750926714144E-230,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.328947,5.925601323445639E-9,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.453741,8.17362149556478E-9,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.576563,1.0386118359035918E-8,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,0.673214,1.212717480129666E-8,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,0.732342,1.3192297617594402E-8,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35000.0,0.790427,1.4238631990220812E-8,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
40000.0,0.839259,1.5118284225463866E-8,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
45000.0,0.887439,1.5986191431681315E-8,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,69632.0,10.0,0.9999999999999994,2.5E-323,5.7,2.2135943621178655,1554.4,81.15170977866086,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
50000.0,1.048904,2.090482329121894E-8,50000.0,78.25999999999999,27.36532448655904,-69.84375000000003,-207.06214689265553,86.92723992784124,35.489614243323444,77.78734395178648,84.4632768361582,63.68881785446027,50000.0,117752.0,10.0,0.8397970775621778,0.16020292243782208,690.6999999999999,35.2894381429408,6203.2,1046.6739702505265,3.4000000000000004,0.8432740427115678,2.2,0.42163702135578385,2.2,0.42163702135578385,1.2000000000000002,0.4216370213557839,0.0,0.0,0.0,0.0,1.0,0.0
55000.0,1.215634,2.883304504677653E-8,55000.0,76.84,42.549492768578645,2.1132713440405766,-56.486486486486484,84.45220193340494,54.62382445141066,73.82629107981221,94.1891891891892,64.81039273700657,55000.0,183808.0,10.0,0.7898905078263165,0.2101094921736835,2848.5,35.40950908065986,12618.4,2148.87356538257,6.199999999999999,1.398411797560202,3.5999999999999996,0.699205898780101,3.5999999999999996,0.699205898780101,2.1,0.31622776601683794,0.0,0.0,0.0,0.0,1.0,0.0
60000.0,1.401925,4.218923071399331E-8,60000.0,79.2,58.71108062789012,50.57034220532319,32.33571893298635,82.4086603518268,74.55968688845401,70.38428199942213,99.02534113060429,65.07872600359245,60000.0,277136.0,10.0,0.7068991416587899,0.29310085834121014,5769.9,73.6047250898715,21611.2,3716.614373324195,11.2,2.394437999475729,6.1,1.1972189997378646,6.1,1.1972189997378646,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
65000.0,1.634145,6.230874929370152E-8,65000.0,80.32000000000001,60.49360986146948,52.85098227120268,34.98513379583746,83.6245631552671,75.34452518165871,72.08434944771194,99.27368768570484,65.45189782073106,65000.0,334904.0,10.0,0.5765139658077887,0.4234860341922112,8618.3,111.14260109327014,27212.800000000003,2832.3570396403065,13.8,1.6865480854231356,7.4,0.8432740427115678,7.4,0.8432740427115678,4.700000000000001,0.8232726023485645,0.0,0.0,0.0,0.0,1.0,0.0
70000.0,1.860692,8.750872720032931E-8,70000.0,81.28,62.15912214913186,55.30797389781951,38.25857519788918,84.53063023358308,76.29979743416612,73.41626794258373,99.34065934065934,65.71851475863615,70000.0,429976.0,10.0,0.5179179512676014,0.4820820487323986,11489.300000000001,136.43480331482718,36378.4,3983.3164072164795,18.800000000000004,2.573367875415838,9.900000000000002,1.286683937707919,9.900000000000002,1.286683937707919,6.3,0.48304589153964794,0.0,0.0,0.0,0.0,1.0,0.0
