learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.286105,2.2323095343179173E-10,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,3016.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.384631,3.0438712280657554E-10,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,3184.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.460822,3.704572758740849E-10,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,3352.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.538707,4.3799640610814093E-10,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,3352.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.613154,5.057898184491529E-10,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,3520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.69437,5.797472616864576E-10,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,3520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,0.766475,6.454079867237145E-10,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,3520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,0.830223,7.034586059550445E-10,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,3520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,0.888486,7.590466489394507E-10,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,3688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,1.097627,2.00605698964662E-9,50000.0,90.74,1.7293928871607311,42.412935323383095,0.0,95.14012805710088,2.1141649048625792,99.88979501873484,1.079913606911447,50.24184227952989,50000.0,23048.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
55000.0,1.278401,4.056294347263045E-9,55000.0,85.94000000000001,47.05917082763009,50.9078212290503,28.84615384615387,91.68047337278107,54.64516129032258,96.54785643070788,42.864372469635626,59.03647789721697,55000.0,43840.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
60000.0,1.385832,5.383663026409017E-9,60000.0,84.38,68.82828849183517,66.87871077184055,61.16360019890602,85.69859000183116,82.79356686494823,78.2870525259284,93.43610144206862,65.52159071023785,60000.0,47760.0,33.0,17.0,17.0,6.0,0.0,0.0,1.0
65000.0,1.484084,6.901211099078258E-9,65000.0,85.61999999999999,71.2892343693341,70.04166666666666,64.07694229328003,86.87237538798611,84.10347114746848,79.33966983491746,95.02872845365975,66.0243133793486,65000.0,59704.0,37.0,19.0,19.0,6.0,0.0,0.0,1.0
70000.0,1.576432,8.61903315410018E-9,70000.0,86.16,72.35458993707074,71.15464776990413,65.22613065326635,87.40596942489687,84.64042616158628,79.77851605758582,95.81239530988275,66.2553604185104,70000.0,71904.0,43.0,22.0,22.0,8.0,0.0,0.0,1.0
75000.0,1.671398,1.0739133616702423E-8,75000.0,86.535,73.01213531933819,71.80990264838269,66.15983915556671,87.84033954937463,84.91570044250267,80.77561866799535,95.25006282985674,66.33733516991998,75000.0,86296.0,49.0,25.0,25.0,9.0,0.0,0.0,1.0
80000.0,1.768728,1.3067316166642639E-8,80000.0,86.748,73.3555214417585,72.2715098761299,66.78030682843679,88.10541054823538,85.04086332234615,81.65302455579956,94.42494735786624,66.34718756542469,80000.0,92464.0,51.0,26.0,26.0,9.0,0.0,0.0,1.0
85000.0,1.870341,1.576229588025146E-8,85000.0,87.02666666666666,73.8827651548577,72.86102782232759,67.5531471446436,88.38000835970622,85.31653210593828,82.20494307136906,94.26427678199249,66.42085889488361,85000.0,102520.0,57.0,29.0,29.0,9.0,0.0,0.0,1.0
90000.0,1.965758,1.848548397835758E-8,90000.0,87.13714285714286,74.07543733488454,73.03545759463344,67.82906960125769,88.50827036961405,85.3944977939268,82.53356183947443,94.04744890667429,66.44189392735368,90000.0,110320.0,59.0,30.0,30.0,9.0,0.0,0.0,1.0
95000.0,2.061025,2.1315197899109786E-8,95000.0,87.385,74.56129238435093,73.68997340841545,68.44869630463329,88.74314014188195,85.65417638028089,82.85083517307453,94.19120865378603,66.52857352800761,95000.0,114816.0,61.0,31.0,31.0,9.0,0.0,0.0,1.0
100000.0,2.15512,2.4208248659140533E-8,100000.0,87.52222222222223,74.83936175952219,73.97088818839237,68.81421827270204,88.86199988098308,85.81605072372243,82.97462493054269,94.34046098306025,66.57985542069068,100000.0,118848.0,61.0,31.0,31.0,9.0,0.0,0.0,1.0
