learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
5000.0,0.286359,2.2342913473645844E-10,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,3016.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
10000.0,0.397525,3.149969110058413E-10,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,3184.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
15000.0,0.479823,3.863628394901752E-10,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,3352.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
20000.0,0.548762,4.4614431344800523E-10,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,3352.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
25000.0,0.624674,5.152717936370107E-10,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,3520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
30000.0,0.702165,5.858371530969937E-10,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,3520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35000.0,0.77091,6.484381730357806E-10,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,3520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
40000.0,0.827085,6.995926176508268E-10,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,3520.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
45000.0,0.883092,7.53028237571319E-10,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,3688.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
50000.0,1.047236,1.17766993948155E-9,50000.0,86.78,53.58539809263374,54.97275204359673,35.63777994157743,92.03518496204363,61.140505584950034,96.12383589227285,50.63291139240506,60.571599633136216,50000.0,10000.0,11.0,6.0,6.0,2.0,0.0,0.0,1.0
55000.0,1.174034,1.8536686669621204E-9,55000.0,86.56,58.8443871368867,53.90946502057614,33.432392273402684,91.54185022026432,67.2992700729927,91.12893121162762,68.49925705794948,63.172024716162355,55000.0,20608.0,17.0,9.0,9.0,3.0,0.0,0.0,1.0
60000.0,1.291375,2.6936854504876666E-9,60000.0,97.0,0.0,-Infinity,-Infinity,98.47715736040608,?,97.0,?,?,60000.0,27672.0,19.0,10.0,10.0,4.0,0.0,0.0,1.0
65000.0,1.408715,3.7022312647766535E-9,65000.0,98.5,0.0,-Infinity,-Infinity,99.24433249370279,?,98.5,?,?,65000.0,33224.0,21.0,11.0,11.0,4.0,0.0,0.0,1.0
70000.0,1.523711,4.84889782137341E-9,70000.0,99.0,0.0,-Infinity,-Infinity,99.49748743718592,?,99.0,?,?,70000.0,38544.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
75000.0,1.627248,5.921801624612676E-9,75000.0,99.25,0.0,-Infinity,-Infinity,99.62358845671267,?,99.25,?,?,75000.0,40056.0,23.0,12.0,12.0,5.0,0.0,0.0,1.0
80000.0,1.749592,7.336704695804252E-9,80000.0,99.4,0.0,-Infinity,-Infinity,99.69909729187563,?,99.4,?,?,80000.0,44704.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
85000.0,1.836198,8.36088361632493E-9,85000.0,99.5,0.0,-Infinity,-Infinity,99.74937343358395,?,99.5,?,?,85000.0,45712.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
90000.0,1.922154,9.388583201087185E-9,90000.0,99.57142857142857,0.0,-Infinity,-Infinity,99.78525411596279,?,99.57142857142857,?,?,90000.0,46216.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
95000.0,2.003184,1.0382038899179964E-8,95000.0,99.625,0.0,-Infinity,-Infinity,99.81214777708203,?,99.625,?,?,95000.0,47392.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
100000.0,2.08425,1.139002904088961E-8,100000.0,99.66666666666667,0.0,-Infinity,-Infinity,99.83305509181972,?,99.66666666666667,?,?,100000.0,48064.0,25.0,13.0,13.0,5.0,0.0,0.0,1.0
