learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),F1 Score for class 0 (percent),F1 Score for class 1 (percent),Recall for class 0 (percent),Recall for class 1 (percent),GMean (percent),model training instances,model serialized size (bytes)
5000.0,0.224958,1.5029997516423464E-7,5000.0,100.0,?,?,?,100.0,?,100.0,?,?,5000.0,2582616.0
10000.0,0.692246,7.747354404835237E-7,10000.0,100.0,?,?,?,100.0,?,100.0,?,?,10000.0,5165416.0
15000.0,1.040684,1.472604693952534E-6,15000.0,100.0,?,?,?,100.0,?,100.0,?,?,15000.0,7741960.0
20000.0,1.551555,2.8288529636276263E-6,20000.0,100.0,?,?,?,100.0,?,100.0,?,?,20000.0,1.026196E7
25000.0,2.163854,4.866950571168628E-6,25000.0,100.0,?,?,?,100.0,?,100.0,?,?,25000.0,1.28666E7
30000.0,2.971478,8.081717628617254E-6,30000.0,100.0,?,?,?,100.0,?,100.0,?,?,30000.0,1.53866E7
35000.0,3.838836,1.2128090750326714E-5,35000.0,100.0,?,?,?,100.0,?,100.0,?,?,35000.0,1.803308E7
40000.0,4.72237,1.6825926284910078E-5,40000.0,100.0,?,?,?,100.0,?,100.0,?,?,40000.0,2.055308E7
45000.0,5.668472,2.247331245677339E-5,45000.0,100.0,?,?,?,100.0,?,100.0,?,?,45000.0,2.3073416E7
50000.0,6.817493,3.0137408360352535E-5,50000.0,100.0,?,?,?,100.0,?,100.0,?,?,50000.0,2.5783112E7
55000.0,8.728999,3.169708649537837E-5,55000.0,76.48,53.06592082987116,50.93867334167711,42.26804123711341,78.31858407079648,74.3006993006993,71.87817258883248,83.12958435207824,62.25105560167449,55000.0,3154000.0
60000.0,9.020128,3.212603955406696E-5,60000.0,78.41,57.400918561684534,54.79480737018426,47.05738106915155,79.51807228915662,77.17517708002958,70.86574230639161,89.32941752325011,63.2841132966327,60000.0,5695432.0
65000.0,9.495781,3.313930591916666E-5,65000.0,80.59333333333333,61.636641243264854,59.172510518934075,51.61236702127658,81.83916651069934,79.16398253525159,73.07263814616756,91.79946879150066,64.20126691461552,65000.0,8234472.0
70000.0,9.994339,3.452968958795692E-5,70000.0,81.99499999999999,64.32104716388983,62.24575382679806,55.36134870459897,83.20664086181971,80.59492374845073,74.80922431865828,92.60681114551083,64.69467432953216,70000.0,1.0780064E7
75000.0,10.541515,3.641681354895856E-5,75000.0,82.992,66.20154481133366,64.24787690237956,57.842554035296445,84.24484956276864,81.52268381713888,76.26459143968872,92.92649098474341,65.03673623891963,75000.0,1.33314E7
80000.0,11.204373,3.9137108151289744E-5,80000.0,83.95,67.9995719629835,66.37804622582223,60.203322588643694,85.2531316039325,82.3942374492669,77.78460850611971,93.06186503675559,65.35412640814566,80000.0,1.5863456E7
85000.0,11.9878,4.287118537322929E-5,85000.0,84.69428571428571,69.41100342598065,67.97776316576005,62.11456859971711,86.00757476818598,83.10893898786063,78.9564550163054,93.1509754028838,65.59486077795829,85000.0,1.8424136E7
90000.0,12.886406,4.774370667110715E-5,90000.0,85.25500000000001,70.47354782320062,69.21551229187328,63.443659352919305,86.59118810530623,83.62303548619981,79.82228183418559,93.28459918225747,65.78504408610726,90000.0,2.0959784E7
95000.0,13.917554,5.401067153270874E-5,95000.0,85.72444444444444,71.37024236500133,70.18472106191405,64.51808892571114,87.07548688234347,84.05797101449275,80.48499274742441,93.50190470932479,65.95204649151329,95000.0,2.3493008E7
100000.0,14.921562,6.0770383808985356E-5,100000.0,86.156,72.20377814535718,71.06066307119863,65.53818580105546,87.50586621421608,84.47912462442262,81.05396910319,93.74937792375833,66.10660841151744,100000.0,2.602516E7
